,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,4,4,3,0.500,1.333,0.375,0.433
1,"(15, 24]","(5, 10]",Female,4,1,2,4,4.000,0.500,8.000,11.321
2,"(15, 24]","(10, 15]",Female,9,11,1,4,0.818,0.250,3.273,3.947
3,"(15, 24]","(10, 15]",Male,13,15,22,21,0.867,1.048,0.827,0.405
4,"(15, 24]","(15, 20]",Female,11,23,8,23,0.478,0.348,1.375,0.760
5,"(15, 24]","(15, 20]",Male,53,65,113,153,0.815,0.739,1.104,0.252
6,"(15, 24]","(20, 25]",Female,3,2,6,17,1.500,0.353,4.250,4.378
7,"(15, 24]","(20, 25]",Male,17,16,56,84,1.062,0.667,1.594,0.625
8,"(15, 24]","(25, 30]",Female,2,5,4,4,0.400,1.000,0.400,0.439
9,"(15, 24]","(25, 30]",Male,4,6,16,11,0.667,1.455,0.458,0.347
10,"(15, 24]","(30, 35]",Female,2,2,2,1,1.000,2.000,0.500,0.791
11,"(15, 24]","(30, 35]",Male,4,1,8,3,4.000,2.667,1.500,1.962
12,"(15, 24]","(35, 40]",Male,1,3,4,6,0.333,0.667,0.500,0.662
13,"(15, 24]","(40, 45]",Male,3,2,4,2,1.500,2.000,0.750,0.944
14,"(15, 24]","(45, 50]",Female,3,2,1,1,1.500,1.000,1.500,2.526
15,"(15, 24]","(45, 50]",Male,4,3,5,4,1.333,1.250,1.067,1.086
16,"(24, 34]","(0, 5]",Female,5,13,8,13,0.385,0.615,0.625,0.434
17,"(24, 34]","(0, 5]",Male,6,9,5,7,0.667,0.714,0.933,0.737
18,"(24, 34]","(5, 10]",Female,6,16,12,9,0.375,1.333,0.281,0.184
19,"(24, 34]","(5, 10]",Male,4,9,8,15,0.444,0.533,0.833,0.621
20,"(24, 34]","(10, 15]",Female,6,8,1,7,0.750,0.143,5.250,6.293
21,"(24, 34]","(10, 15]",Male,5,10,2,12,0.500,0.167,3.000,2.824
22,"(24, 34]","(15, 20]",Female,5,6,3,3,0.833,1.000,0.833,0.848
23,"(24, 34]","(15, 20]",Male,10,14,14,26,0.714,0.538,1.327,0.707
24,"(24, 34]","(20, 25]",Female,1,4,3,7,0.250,0.429,0.583,0.767
25,"(24, 34]","(20, 25]",Male,14,13,26,39,1.077,0.667,1.615,0.749
26,"(24, 34]","(25, 30]",Male,10,10,23,36,1.000,0.639,1.565,0.819
27,"(24, 34]","(30, 35]",Female,7,2,2,2,3.500,1.000,3.500,4.490
28,"(24, 34]","(30, 35]",Male,5,4,15,15,1.250,1.000,1.250,0.957
29,"(24, 34]","(35, 40]",Male,2,4,10,9,0.500,1.111,0.450,0.442
30,"(24, 34]","(40, 45]",Female,1,3,2,4,0.333,0.500,0.667,0.963
31,"(24, 34]","(40, 45]",Male,1,1,8,5,1.000,1.600,0.625,0.954
32,"(24, 34]","(45, 50]",Female,3,3,2,2,1.000,1.000,1.000,1.292
33,"(24, 34]","(45, 50]",Male,2,3,3,4,0.667,0.750,0.889,1.059
34,"(24, 34]","(50, 55]",Male,5,1,4,4,5.000,1.000,5.000,6.524
35,"(24, 34]","(55, 60]",Male,3,2,1,2,1.500,0.500,3.000,4.585
36,"(34, 54]","(0, 5]",Female,2,5,1,7,0.400,0.143,2.800,3.804
37,"(34, 54]","(0, 5]",Male,5,3,5,8,1.667,0.625,2.667,2.474
38,"(34, 54]","(5, 10]",Female,9,13,2,15,0.692,0.133,5.192,4.518
39,"(34, 54]","(5, 10]",Male,9,10,4,16,0.900,0.250,3.600,2.611
40,"(34, 54]","(10, 15]",Female,5,20,9,13,0.250,0.692,0.361,0.240
41,"(34, 54]","(10, 15]",Male,8,16,6,16,0.500,0.375,1.333,0.863
42,"(34, 54]","(15, 20]",Female,3,11,4,8,0.273,0.500,0.545,0.488
43,"(34, 54]","(15, 20]",Male,5,11,5,25,0.455,0.200,2.273,1.660
44,"(34, 54]","(20, 25]",Female,2,4,3,5,0.500,0.600,0.833,0.945
45,"(34, 54]","(20, 25]",Male,9,14,13,22,0.643,0.591,1.088,0.603
46,"(34, 54]","(25, 30]",Male,10,12,8,21,0.833,0.381,2.188,1.310
47,"(34, 54]","(30, 35]",Male,6,8,6,15,0.750,0.400,1.875,1.362
48,"(34, 54]","(35, 40]",Female,1,1,1,3,1.000,0.333,3.000,5.479
49,"(34, 54]","(35, 40]",Male,10,8,12,18,1.250,0.667,1.875,1.135
50,"(34, 54]","(40, 45]",Male,6,3,10,8,2.000,1.250,1.600,1.365
51,"(34, 54]","(45, 50]",Female,1,1,1,1,1.000,1.000,1.000,2.001
52,"(34, 54]","(45, 50]",Male,4,6,10,10,0.667,1.000,0.667,0.525
53,"(34, 54]","(50, 55]",Female,3,2,2,2,1.500,1.000,1.500,2.032
54,"(34, 54]","(50, 55]",Male,1,4,5,9,0.250,0.556,0.450,0.563
55,"(34, 54]","(55, 60]",Female,2,1,1,2,2.000,0.500,4.000,6.931
56,"(34, 54]","(60, 65]",Male,2,1,1,1,2.000,1.000,2.000,3.743
57,"(34, 54]","(65, 70]",Male,6,3,2,2,2.000,1.000,2.000,2.452
58,"(34, 54]","(80, 85]",Male,3,2,1,1,1.500,1.000,1.500,2.526
59,"(54, 100]","(25, 30]",Female,1,1,1,2,1.000,0.500,2.000,3.743
60,"(54, 100]","(30, 35]",Male,1,3,1,3,0.333,0.333,1.000,1.634
61,"(54, 100]","(35, 40]",Male,2,2,1,4,1.000,0.250,4.000,6.003
62,"(54, 100]","(45, 50]",Male,5,4,1,3,1.250,0.333,3.750,5.011
63,"(54, 100]","(50, 55]",Male,3,3,2,2,1.000,1.000,1.000,1.292
64,"(54, 100]","(60, 65]",Male,3,4,4,4,0.750,1.000,0.750,0.782
65,"(54, 100]","(65, 70]",Male,2,1,3,3,2.000,1.000,2.000,2.946
66,"(54, 100]","(70, 75]",Male,3,1,1,1,3.000,1.000,3.000,5.479
