,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.980,0.396,3.000
1,"(5, 10]",1.347,0.480,8.000
2,"(10, 15]",1.072,0.318,13.000
3,"(15, 20]",1.163,0.212,18.000
4,"(20, 25]",1.471,0.360,23.000
5,"(25, 30]",1.226,0.402,28.000
6,"(30, 35]",1.510,0.640,33.000
7,"(35, 40]",1.327,0.589,38.000
8,"(40, 45]",1.024,0.600,43.000
9,"(45, 50]",1.042,0.464,48.000
10,"(50, 55]",1.319,0.856,53.000
11,"(55, 60]",3.402,3.900,58.000
12,"(60, 65]",0.946,0.861,63.000
13,"(65, 70]",2.000,1.884,68.000
14,"(70, 75]",3.000,5.479,73.000
15,"(80, 85]",1.500,2.526,83.000
