,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,482,458,523,622,1.052,0.841,1.252,0.127
1,"(15, 24]","(15, 22]",Male,343,283,1042,1098,1.212,0.949,1.277,0.133
2,"(15, 24]","(22, 27]",Female,75,56,199,218,1.339,0.913,1.467,0.305
3,"(15, 24]","(22, 27]",Male,51,46,257,233,1.109,1.103,1.005,0.229
4,"(15, 24]","(27, 32]",Female,14,9,82,59,1.556,1.390,1.119,0.518
5,"(15, 24]","(27, 32]",Male,16,12,48,55,1.333,0.873,1.528,0.661
6,"(15, 24]","(32, 37]",Female,23,21,21,24,1.095,0.875,1.252,0.535
7,"(15, 24]","(32, 37]",Male,24,12,46,26,2.000,1.769,1.130,0.490
8,"(15, 24]","(37, 42]",Female,44,24,15,7,1.833,2.143,0.856,0.450
9,"(15, 24]","(37, 42]",Male,36,16,37,17,2.250,2.176,1.034,0.437
10,"(15, 24]","(42, 47]",Female,66,24,21,12,2.750,1.750,1.571,0.685
11,"(15, 24]","(42, 47]",Male,32,11,24,10,2.909,2.400,1.212,0.626
12,"(15, 24]","(47, 52]",Female,39,20,16,7,1.950,2.286,0.853,0.454
13,"(15, 24]","(47, 52]",Male,13,9,39,16,1.444,2.438,0.593,0.313
14,"(15, 24]","(52, 57]",Female,21,10,15,2,2.100,7.500,0.280,0.237
15,"(15, 24]","(52, 57]",Male,18,6,16,6,3.000,2.667,1.125,0.758
16,"(15, 24]","(57, 62]",Female,10,6,6,3,1.667,2.000,0.833,0.731
17,"(15, 24]","(57, 62]",Male,10,3,14,7,3.333,2.000,1.667,1.344
18,"(15, 24]","(62, 67]",Female,14,2,6,1,7.000,6.000,1.167,1.539
19,"(15, 24]","(62, 67]",Male,4,1,12,3,4.000,4.000,1.000,1.292
20,"(15, 24]","(77, 82]",Male,4,2,3,1,2.000,3.000,0.667,0.963
21,"(24, 34]","(15, 22]",Female,28,29,28,40,0.966,0.700,1.379,0.504
22,"(24, 34]","(15, 22]",Male,63,54,84,102,1.167,0.824,1.417,0.343
23,"(24, 34]","(22, 27]",Female,37,47,108,122,0.787,0.885,0.889,0.232
24,"(24, 34]","(22, 27]",Male,96,86,157,189,1.116,0.831,1.344,0.256
25,"(24, 34]","(27, 32]",Female,39,23,130,152,1.696,0.855,1.983,0.581
26,"(24, 34]","(27, 32]",Male,84,63,128,108,1.333,1.185,1.125,0.245
27,"(24, 34]","(32, 37]",Female,18,14,88,88,1.286,1.000,1.286,0.502
28,"(24, 34]","(32, 37]",Male,34,18,66,61,1.889,1.082,1.746,0.602
29,"(24, 34]","(37, 42]",Female,17,7,45,35,2.429,1.286,1.889,0.954
30,"(24, 34]","(37, 42]",Male,18,14,27,36,1.286,0.750,1.714,0.756
31,"(24, 34]","(42, 47]",Female,14,5,22,19,2.800,1.158,2.418,1.475
32,"(24, 34]","(42, 47]",Male,8,5,31,17,1.600,1.824,0.877,0.568
33,"(24, 34]","(47, 52]",Female,24,18,15,12,1.333,1.250,1.067,0.533
34,"(24, 34]","(47, 52]",Male,16,8,23,14,2.000,1.643,1.217,0.672
35,"(24, 34]","(52, 57]",Female,23,6,17,6,3.833,2.833,1.353,0.896
36,"(24, 34]","(52, 57]",Male,5,5,18,10,1.000,1.800,0.556,0.415
37,"(24, 34]","(57, 62]",Male,4,2,21,5,2.000,4.200,0.476,0.476
38,"(24, 34]","(62, 67]",Female,2,2,9,2,1.000,4.500,0.222,0.282
39,"(24, 34]","(72, 77]",Female,3,1,3,2,3.000,1.500,2.000,2.946
40,"(34, 54]","(15, 22]",Female,55,73,34,78,0.753,0.436,1.728,0.478
41,"(34, 54]","(15, 22]",Male,20,26,57,79,0.769,0.722,1.066,0.371
42,"(34, 54]","(22, 27]",Female,32,44,28,44,0.727,0.636,1.143,0.387
43,"(34, 54]","(22, 27]",Male,29,24,41,63,1.208,0.651,1.857,0.640
44,"(34, 54]","(27, 32]",Female,24,37,33,42,0.649,0.786,0.826,0.292
45,"(34, 54]","(27, 32]",Male,44,39,52,60,1.128,0.867,1.302,0.383
46,"(34, 54]","(32, 37]",Female,29,39,61,84,0.744,0.726,1.024,0.309
47,"(34, 54]","(32, 37]",Male,52,37,51,44,1.405,1.159,1.213,0.366
48,"(34, 54]","(37, 42]",Female,26,28,133,100,0.929,1.330,0.698,0.214
49,"(34, 54]","(37, 42]",Male,83,65,75,69,1.277,1.087,1.175,0.282
50,"(34, 54]","(42, 47]",Female,37,38,134,140,0.974,0.957,1.017,0.270
51,"(34, 54]","(42, 47]",Male,79,53,55,58,1.491,0.948,1.572,0.414
52,"(34, 54]","(47, 52]",Female,36,29,184,179,1.241,1.028,1.208,0.332
53,"(34, 54]","(47, 52]",Male,64,59,48,29,1.085,1.655,0.655,0.197
54,"(34, 54]","(52, 57]",Female,36,28,160,139,1.286,1.151,1.117,0.315
55,"(34, 54]","(52, 57]",Male,38,27,48,33,1.407,1.455,0.968,0.331
56,"(34, 54]","(57, 62]",Female,36,23,76,56,1.565,1.357,1.153,0.373
57,"(34, 54]","(57, 62]",Male,16,9,19,16,1.778,1.188,1.497,0.808
58,"(34, 54]","(62, 67]",Female,25,18,48,32,1.389,1.500,0.926,0.359
59,"(34, 54]","(62, 67]",Male,20,6,25,12,3.333,2.083,1.600,0.936
60,"(34, 54]","(67, 72]",Female,29,10,26,17,2.900,1.529,1.896,0.918
61,"(34, 54]","(67, 72]",Male,12,10,22,6,1.200,3.667,0.327,0.206
62,"(34, 54]","(72, 77]",Female,30,12,22,8,2.500,2.750,0.909,0.489
63,"(34, 54]","(72, 77]",Male,12,2,26,5,6.000,5.200,1.154,1.048
64,"(34, 54]","(77, 82]",Female,9,2,9,1,4.500,9.000,0.500,0.657
65,"(34, 54]","(77, 82]",Male,10,1,11,6,10.000,1.833,5.455,6.361
66,"(34, 54]","(82, 87]",Female,3,1,10,6,3.000,1.667,1.800,2.279
67,"(34, 54]","(82, 87]",Male,4,1,4,1,4.000,4.000,1.000,1.582
68,"(34, 54]","(87, 92]",Female,1,1,6,2,1.000,3.000,0.333,0.545
69,"(54, 100]","(15, 22]",Female,11,41,4,33,0.268,0.121,2.213,1.397
70,"(54, 100]","(15, 22]",Male,7,19,2,42,0.368,0.048,7.737,6.573
71,"(54, 100]","(22, 27]",Female,5,38,4,22,0.132,0.182,0.724,0.524
72,"(54, 100]","(22, 27]",Male,7,14,3,11,0.500,0.273,1.833,1.468
73,"(54, 100]","(27, 32]",Female,15,45,11,20,0.333,0.550,0.606,0.292
74,"(54, 100]","(27, 32]",Male,5,12,8,18,0.417,0.444,0.938,0.640
75,"(54, 100]","(32, 37]",Female,17,63,7,26,0.270,0.269,1.002,0.510
76,"(54, 100]","(32, 37]",Male,8,23,8,23,0.348,0.348,1.000,0.583
77,"(54, 100]","(37, 42]",Female,27,64,10,35,0.422,0.286,1.477,0.633
78,"(54, 100]","(37, 42]",Male,8,22,14,26,0.364,0.538,0.675,0.359
79,"(54, 100]","(42, 47]",Female,32,84,21,55,0.381,0.382,0.998,0.333
80,"(54, 100]","(42, 47]",Male,18,29,20,32,0.621,0.625,0.993,0.414
81,"(54, 100]","(47, 52]",Female,44,116,31,75,0.379,0.413,0.918,0.259
82,"(54, 100]","(47, 52]",Male,24,46,15,40,0.522,0.375,1.391,0.552
83,"(54, 100]","(52, 57]",Female,49,143,89,130,0.343,0.685,0.501,0.111
84,"(54, 100]","(52, 57]",Male,66,80,33,66,0.825,0.500,1.650,0.454
85,"(54, 100]","(57, 62]",Female,81,150,169,231,0.540,0.732,0.738,0.132
