,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,11,13,13,14,0.846,0.929,0.911,0.514
1,"(15, 24]","(5, 10]",Female,12,8,10,8,1.500,1.250,1.200,0.792
2,"(15, 24]","(5, 10]",Male,2,3,3,8,0.667,0.375,1.778,2.022
3,"(15, 24]","(10, 15]",Female,110,122,43,63,0.902,0.683,1.321,0.321
4,"(15, 24]","(10, 15]",Male,89,90,147,145,0.989,1.014,0.975,0.192
5,"(15, 24]","(15, 20]",Female,394,414,195,229,0.952,0.852,1.118,0.145
6,"(15, 24]","(15, 20]",Male,538,466,870,848,1.155,1.026,1.125,0.106
7,"(15, 24]","(20, 25]",Female,101,117,138,166,0.863,0.831,1.038,0.192
8,"(15, 24]","(20, 25]",Male,233,187,431,389,1.246,1.108,1.125,0.147
9,"(15, 24]","(25, 30]",Female,31,20,48,53,1.550,0.906,1.711,0.604
10,"(15, 24]","(25, 30]",Male,39,29,91,78,1.345,1.167,1.153,0.339
11,"(15, 24]","(30, 35]",Female,10,14,20,29,0.714,0.690,1.036,0.526
12,"(15, 24]","(30, 35]",Male,16,13,42,24,1.231,1.750,0.703,0.320
13,"(15, 24]","(35, 40]",Female,11,16,10,9,0.688,1.111,0.619,0.375
14,"(15, 24]","(35, 40]",Male,25,19,30,27,1.316,1.111,1.184,0.482
15,"(15, 24]","(40, 45]",Female,29,25,12,9,1.160,1.333,0.870,0.453
16,"(15, 24]","(40, 45]",Male,28,11,23,13,2.545,1.769,1.439,0.719
17,"(15, 24]","(45, 50]",Female,24,11,6,6,2.182,1.000,2.182,1.493
18,"(15, 24]","(45, 50]",Male,26,12,25,17,2.167,1.471,1.473,0.696
19,"(15, 24]","(50, 55]",Female,27,13,5,4,2.077,1.250,1.662,1.251
20,"(15, 24]","(50, 55]",Male,15,4,23,8,3.750,2.875,1.304,0.911
21,"(15, 24]","(55, 60]",Female,14,4,8,5,3.500,1.600,2.188,1.762
22,"(15, 24]","(65, 70]",Female,9,2,7,1,4.500,7.000,0.643,0.852
23,"(15, 24]","(65, 70]",Male,7,1,3,1,7.000,3.000,2.333,3.674
24,"(15, 24]","(70, 75]",Female,10,2,5,1,5.000,5.000,1.000,1.343
25,"(24, 34]","(0, 5]",Female,9,16,9,17,0.562,0.529,1.062,0.625
26,"(24, 34]","(0, 5]",Male,3,4,3,10,0.750,0.300,2.500,2.524
27,"(24, 34]","(5, 10]",Female,51,39,38,39,1.308,0.974,1.342,0.424
28,"(24, 34]","(5, 10]",Male,11,16,13,17,0.688,0.765,0.899,0.486
29,"(24, 34]","(10, 15]",Female,32,38,16,29,0.842,0.552,1.526,0.605
30,"(24, 34]","(10, 15]",Male,6,6,9,24,1.000,0.375,2.667,1.864
31,"(24, 34]","(15, 20]",Female,19,22,9,11,0.864,0.818,1.056,0.581
32,"(24, 34]","(15, 20]",Male,36,54,42,58,0.667,0.724,0.921,0.276
33,"(24, 34]","(20, 25]",Female,29,40,30,38,0.725,0.789,0.918,0.320
34,"(24, 34]","(20, 25]",Male,168,173,146,156,0.971,0.936,1.038,0.172
35,"(24, 34]","(25, 30]",Female,35,42,68,87,0.833,0.782,1.066,0.304
36,"(24, 34]","(25, 30]",Male,172,143,156,159,1.203,0.981,1.226,0.205
37,"(24, 34]","(30, 35]",Female,25,24,60,86,1.042,0.698,1.493,0.501
38,"(24, 34]","(30, 35]",Male,83,72,61,70,1.153,0.871,1.323,0.322
39,"(24, 34]","(35, 40]",Female,24,15,24,27,1.600,0.889,1.800,0.784
40,"(24, 34]","(35, 40]",Male,44,28,37,40,1.571,0.925,1.699,0.571
41,"(24, 34]","(40, 45]",Female,10,10,17,24,1.000,0.708,1.412,0.777
42,"(24, 34]","(40, 45]",Male,19,13,23,23,1.462,1.000,1.462,0.684
43,"(24, 34]","(45, 50]",Female,20,15,9,9,1.333,1.000,1.333,0.779
44,"(24, 34]","(45, 50]",Male,18,12,30,22,1.500,1.364,1.100,0.516
45,"(24, 34]","(50, 55]",Female,31,12,7,6,2.583,1.167,2.214,1.448
46,"(24, 34]","(50, 55]",Male,12,2,14,12,6.000,1.167,5.143,4.426
47,"(24, 34]","(55, 60]",Female,28,7,8,4,4.000,2.000,2.000,1.491
48,"(24, 34]","(55, 60]",Male,16,8,6,5,2.000,1.200,1.667,1.244
49,"(24, 34]","(60, 65]",Female,12,4,9,3,3.000,3.000,1.000,0.883
50,"(24, 34]","(65, 70]",Female,11,4,4,1,2.750,4.000,0.688,0.868
51,"(24, 34]","(65, 70]",Male,9,1,2,2,9.000,1.000,9.000,13.084
52,"(24, 34]","(70, 75]",Female,7,2,2,2,3.500,1.000,3.500,4.490
53,"(24, 34]","(80, 85]",Female,7,1,1,1,7.000,1.000,7.000,12.415
54,"(34, 54]","(0, 5]",Female,10,11,3,6,0.909,0.500,1.818,1.514
55,"(34, 54]","(0, 5]",Male,3,2,3,5,1.500,0.600,2.500,2.925
56,"(34, 54]","(5, 10]",Female,26,42,29,37,0.619,0.784,0.790,0.281
57,"(34, 54]","(5, 10]",Male,10,27,19,25,0.370,0.760,0.487,0.235
58,"(34, 54]","(10, 15]",Female,65,117,45,84,0.556,0.536,1.037,0.255
59,"(34, 54]","(10, 15]",Male,12,32,33,70,0.375,0.471,0.795,0.320
60,"(34, 54]","(15, 20]",Female,65,142,33,79,0.458,0.418,1.096,0.286
61,"(34, 54]","(15, 20]",Male,18,46,26,74,0.391,0.351,1.114,0.404
62,"(34, 54]","(20, 25]",Female,28,53,17,29,0.528,0.586,0.901,0.349
63,"(34, 54]","(20, 25]",Male,23,30,47,68,0.767,0.691,1.109,0.377
64,"(34, 54]","(25, 30]",Female,22,35,16,29,0.629,0.552,1.139,0.475
65,"(34, 54]","(25, 30]",Male,47,50,46,57,0.940,0.807,1.165,0.336
66,"(34, 54]","(30, 35]",Female,17,35,27,37,0.486,0.730,0.666,0.261
67,"(34, 54]","(30, 35]",Male,84,102,63,77,0.824,0.818,1.007,0.232
68,"(34, 54]","(35, 40]",Female,29,28,40,56,1.036,0.714,1.450,0.493
69,"(34, 54]","(35, 40]",Male,113,140,44,55,0.807,0.800,1.009,0.246
70,"(34, 54]","(40, 45]",Female,37,29,49,74,1.276,0.662,1.927,0.603
71,"(34, 54]","(40, 45]",Male,142,167,60,64,0.850,0.938,0.907,0.198
72,"(34, 54]","(45, 50]",Female,28,38,60,81,0.737,0.741,0.995,0.304
73,"(34, 54]","(45, 50]",Male,157,160,48,60,0.981,0.800,1.227,0.281
74,"(34, 54]","(50, 55]",Female,51,36,71,68,1.417,1.044,1.357,0.381
75,"(34, 54]","(50, 55]",Male,114,99,41,36,1.152,1.139,1.011,0.274
76,"(34, 54]","(55, 60]",Female,57,35,43,37,1.629,1.162,1.401,0.441
77,"(34, 54]","(55, 60]",Male,37,31,30,19,1.194,1.579,0.756,0.291
78,"(34, 54]","(60, 65]",Female,37,22,19,13,1.682,1.462,1.151,0.520
79,"(34, 54]","(60, 65]",Male,31,15,34,15,2.067,2.267,0.912,0.405
80,"(34, 54]","(65, 70]",Female,58,22,24,10,2.636,2.400,1.098,0.500
81,"(34, 54]","(65, 70]",Male,32,7,12,10,4.571,1.200,3.810,2.286
82,"(34, 54]","(70, 75]",Female,72,26,11,6,2.769,1.833,1.510,0.844
83,"(34, 54]","(70, 75]",Male,39,12,11,5,3.250,2.200,1.477,0.937
84,"(34, 54]","(75, 80]",Male,22,6,21,6,3.667,3.500,1.048,0.686
85,"(34, 54]","(80, 85]",Male,24,3,17,8,8.000,2.125,3.765,2.821
86,"(34, 54]","(85, 90]",Female,19,4,9,1,4.750,9.000,0.528,0.628
87,"(34, 54]","(90, 95]",Male,4,1,4,1,4.000,4.000,1.000,1.582
88,"(54, 100]","(5, 10]",Female,14,27,2,18,0.519,0.111,4.667,3.810
89,"(54, 100]","(10, 15]",Female,12,49,11,52,0.245,0.212,1.158,0.539
90,"(54, 100]","(10, 15]",Male,9,16,6,29,0.562,0.207,2.719,1.670
91,"(54, 100]","(15, 20]",Female,5,35,6,30,0.143,0.200,0.714,0.469
92,"(54, 100]","(15, 20]",Male,4,18,8,31,0.222,0.258,0.861,0.587
93,"(54, 100]","(20, 25]",Female,10,19,7,15,0.526,0.467,1.128,0.681
94,"(54, 100]","(20, 25]",Male,2,16,10,24,0.125,0.417,0.300,0.252
95,"(54, 100]","(25, 30]",Female,8,20,4,10,0.400,0.400,1.000,0.726
96,"(54, 100]","(25, 30]",Male,2,21,11,31,0.095,0.355,0.268,0.220
97,"(54, 100]","(30, 35]",Female,14,24,3,9,0.583,0.333,1.750,1.310
98,"(54, 100]","(30, 35]",Male,9,17,8,26,0.529,0.308,1.721,0.997
99,"(54, 100]","(35, 40]",Female,13,34,5,15,0.382,0.333,1.147,0.703
100,"(54, 100]","(35, 40]",Male,14,24,16,31,0.583,0.516,1.130,0.518
101,"(54, 100]","(40, 45]",Female,15,33,12,22,0.455,0.545,0.833,0.398
102,"(54, 100]","(40, 45]",Male,23,44,19,41,0.523,0.463,1.128,0.431
103,"(54, 100]","(45, 50]",Female,17,44,10,27,0.386,0.370,1.043,0.491
104,"(54, 100]","(45, 50]",Male,51,76,7,29,0.671,0.241,2.780,1.282
105,"(54, 100]","(50, 55]",Female,36,51,17,33,0.706,0.515,1.370,0.511
106,"(54, 100]","(50, 55]",Male,142,181,25,36,0.785,0.694,1.130,0.325
107,"(54, 100]","(55, 60]",Female,42,64,43,62,0.656,0.694,0.946,0.270
108,"(54, 100]","(55, 60]",Male,250,264,21,31,0.947,0.677,1.398,0.420
109,"(54, 100]","(60, 65]",Female,43,49,78,77,0.878,1.013,0.866,0.232
110,"(54, 100]","(60, 65]",Male,273,274,35,39,0.996,0.897,1.110,0.281
111,"(54, 100]","(65, 70]",Female,76,52,88,75,1.462,1.173,1.246,0.304
112,"(54, 100]","(65, 70]",Male,328,317,35,41,1.035,0.854,1.212,0.301
113,"(54, 100]","(70, 75]",Female,84,85,124,103,0.988,1.204,0.821,0.172
114,"(54, 100]","(70, 75]",Male,445,473,33,38,0.941,0.868,1.083,0.273
115,"(54, 100]","(75, 80]",Female,160,116,190,130,1.379,1.462,0.944,0.164
116,"(54, 100]","(75, 80]",Male,561,469,33,34,1.196,0.971,1.232,0.317
117,"(54, 100]","(80, 85]",Female,202,125,203,112,1.616,1.812,0.892,0.153
118,"(54, 100]","(80, 85]",Male,383,320,29,34,1.197,0.853,1.403,0.377
119,"(54, 100]","(85, 90]",Female,148,58,115,74,2.552,1.554,1.642,0.362
120,"(54, 100]","(85, 90]",Male,226,155,29,10,1.458,2.900,0.503,0.193
121,"(54, 100]","(90, 95]",Female,93,21,56,17,4.429,3.294,1.344,0.499
122,"(54, 100]","(90, 95]",Male,78,23,19,1,3.391,19.000,0.178,0.188
123,"(54, 100]","(95, 100]",Female,16,4,7,3,4.000,2.333,1.714,1.525
