,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,315,303,467,576,1.040,0.811,1.282,0.145
1,"(15, 24]","(15, 22]",Male,318,235,1299,1313,1.353,0.989,1.368,0.146
2,"(15, 24]","(22, 27]",Female,55,52,209,233,1.058,0.897,1.179,0.261
3,"(15, 24]","(22, 27]",Male,68,37,418,351,1.838,1.191,1.543,0.343
4,"(15, 24]","(27, 32]",Female,29,14,88,67,2.071,1.313,1.577,0.579
5,"(15, 24]","(27, 32]",Male,14,5,132,96,2.800,1.375,2.036,1.100
6,"(15, 24]","(32, 37]",Female,20,11,30,27,1.818,1.111,1.636,0.757
7,"(15, 24]","(32, 37]",Male,21,12,56,38,1.750,1.474,1.188,0.500
8,"(15, 24]","(37, 42]",Female,15,8,11,14,1.875,0.786,2.386,1.425
9,"(15, 24]","(37, 42]",Male,25,16,37,24,1.562,1.542,1.014,0.422
10,"(15, 24]","(42, 47]",Female,14,10,13,8,1.400,1.625,0.862,0.528
11,"(15, 24]","(42, 47]",Male,14,7,40,14,2.000,2.857,0.700,0.392
12,"(15, 24]","(47, 52]",Female,10,4,7,6,2.500,1.167,2.143,1.744
13,"(15, 24]","(47, 52]",Male,5,1,30,6,5.000,5.000,1.000,1.184
14,"(15, 24]","(52, 57]",Female,8,5,2,1,1.600,2.000,0.800,1.081
15,"(15, 24]","(62, 67]",Male,2,2,6,2,1.000,3.000,0.333,0.431
16,"(24, 34]","(15, 22]",Female,23,27,41,48,0.852,0.854,0.997,0.357
17,"(24, 34]","(15, 22]",Male,47,60,161,187,0.783,0.861,0.910,0.207
18,"(24, 34]","(22, 27]",Female,45,41,108,132,1.098,0.818,1.341,0.344
19,"(24, 34]","(22, 27]",Male,81,81,277,265,1.000,1.045,0.957,0.178
20,"(24, 34]","(27, 32]",Female,24,26,109,131,0.923,0.832,1.109,0.350
21,"(24, 34]","(27, 32]",Male,60,48,195,163,1.250,1.196,1.045,0.237
22,"(24, 34]","(32, 37]",Female,17,14,77,83,1.214,0.928,1.309,0.520
23,"(24, 34]","(32, 37]",Male,30,31,72,76,0.968,0.947,1.022,0.315
24,"(24, 34]","(37, 42]",Female,15,7,42,35,2.143,1.200,1.786,0.918
25,"(24, 34]","(37, 42]",Male,12,5,42,29,2.400,1.448,1.657,0.972
26,"(24, 34]","(42, 47]",Female,6,8,18,10,0.750,1.800,0.417,0.279
27,"(24, 34]","(42, 47]",Male,11,4,32,22,2.750,1.455,1.891,1.225
28,"(24, 34]","(47, 52]",Female,12,7,13,7,1.714,1.857,0.923,0.618
29,"(24, 34]","(47, 52]",Male,10,6,23,13,1.667,1.769,0.942,0.588
30,"(24, 34]","(52, 57]",Female,6,3,12,5,2.000,2.400,0.833,0.739
31,"(24, 34]","(57, 62]",Female,2,1,9,4,2.000,2.250,0.889,1.213
32,"(24, 34]","(57, 62]",Male,5,1,11,6,5.000,1.833,2.727,3.295
33,"(24, 34]","(62, 67]",Female,2,1,2,1,2.000,2.000,1.000,1.733
34,"(34, 54]","(15, 22]",Female,21,43,19,42,0.488,0.452,1.080,0.418
35,"(34, 54]","(15, 22]",Male,12,12,55,79,1.000,0.696,1.436,0.642
36,"(34, 54]","(22, 27]",Female,20,19,25,37,1.053,0.676,1.558,0.646
37,"(34, 54]","(22, 27]",Male,10,17,72,94,0.588,0.766,0.768,0.331
38,"(34, 54]","(27, 32]",Female,10,21,35,54,0.476,0.648,0.735,0.326
39,"(34, 54]","(27, 32]",Male,33,32,70,90,1.031,0.778,1.326,0.397
40,"(34, 54]","(32, 37]",Female,24,18,50,83,1.333,0.602,2.213,0.803
41,"(34, 54]","(32, 37]",Male,44,54,72,98,0.815,0.735,1.109,0.289
42,"(34, 54]","(37, 42]",Female,10,17,79,98,0.588,0.806,0.730,0.313
43,"(34, 54]","(37, 42]",Male,48,45,103,108,1.067,0.954,1.118,0.284
44,"(34, 54]","(42, 47]",Female,18,15,71,83,1.200,0.855,1.403,0.545
45,"(34, 54]","(42, 47]",Male,47,41,77,71,1.146,1.085,1.057,0.290
46,"(34, 54]","(47, 52]",Female,17,13,59,65,1.308,0.908,1.441,0.595
47,"(34, 54]","(47, 52]",Male,37,39,62,48,0.949,1.292,0.734,0.223
48,"(34, 54]","(52, 57]",Female,7,9,46,46,0.778,1.000,0.778,0.426
49,"(34, 54]","(52, 57]",Male,17,10,39,41,1.700,0.951,1.787,0.822
50,"(34, 54]","(57, 62]",Female,7,2,18,20,3.500,0.900,3.889,3.370
51,"(34, 54]","(57, 62]",Male,14,5,15,10,2.800,1.500,1.867,1.239
52,"(34, 54]","(62, 67]",Female,13,6,16,9,2.167,1.778,1.219,0.790
53,"(34, 54]","(62, 67]",Male,3,2,7,6,1.500,1.167,1.286,1.376
54,"(34, 54]","(67, 72]",Female,7,3,9,3,2.333,3.000,0.778,0.747
55,"(34, 54]","(67, 72]",Male,7,4,14,3,1.750,4.667,0.375,0.335
56,"(34, 54]","(72, 77]",Female,6,2,9,6,3.000,1.500,2.000,1.946
57,"(34, 54]","(72, 77]",Male,3,2,6,4,1.500,1.500,1.000,1.119
58,"(34, 54]","(77, 82]",Female,4,1,6,5,4.000,1.200,3.333,4.242
59,"(34, 54]","(77, 82]",Male,2,2,3,2,1.000,1.500,0.667,0.903
60,"(34, 54]","(82, 87]",Male,1,1,2,1,1.000,2.000,0.500,0.936
61,"(54, 100]","(15, 22]",Female,1,8,2,4,0.125,0.500,0.250,0.343
62,"(54, 100]","(15, 22]",Male,2,4,7,13,0.500,0.538,0.929,0.916
63,"(54, 100]","(22, 27]",Female,1,4,3,2,0.250,1.500,0.167,0.241
64,"(54, 100]","(22, 27]",Male,4,3,2,12,1.333,0.167,8.000,8.650
65,"(54, 100]","(27, 32]",Female,2,9,3,5,0.222,0.600,0.370,0.397
66,"(54, 100]","(27, 32]",Male,1,4,6,13,0.250,0.462,0.542,0.663
67,"(54, 100]","(32, 37]",Female,5,9,4,10,0.556,0.400,1.389,1.131
68,"(54, 100]","(32, 37]",Male,3,8,7,13,0.375,0.538,0.696,0.575
69,"(54, 100]","(37, 42]",Female,1,13,6,12,0.077,0.500,0.154,0.177
70,"(54, 100]","(37, 42]",Male,2,4,7,13,0.500,0.538,0.929,0.916
71,"(54, 100]","(42, 47]",Female,7,15,4,14,0.467,0.286,1.633,1.193
72,"(54, 100]","(42, 47]",Male,10,16,16,16,0.625,1.000,0.625,0.337
73,"(54, 100]","(47, 52]",Female,11,17,11,16,0.647,0.688,0.941,0.520
