,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.253,0.087,19.000
1,"(22, 27]",1.196,0.121,25.000
2,"(27, 32]",1.148,0.150,30.000
3,"(32, 37]",1.274,0.176,35.000
4,"(37, 42]",1.132,0.184,40.000
5,"(42, 47]",1.009,0.169,45.000
6,"(47, 52]",0.933,0.170,50.000
7,"(52, 57]",0.977,0.215,55.000
8,"(57, 62]",1.127,0.306,60.000
9,"(62, 67]",0.793,0.222,65.000
10,"(67, 72]",0.793,0.236,70.000
11,"(72, 77]",1.017,0.320,75.000
12,"(77, 82]",1.213,0.416,80.000
13,"(82, 87]",1.537,0.715,85.000
14,"(87, 92]",0.555,0.549,90.000
