,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,5,10,11,9,0.500,1.222,0.409,0.291
1,"(15, 24]","(0, 5]",Male,5,2,6,9,2.500,0.667,3.750,3.713
2,"(15, 24]","(5, 10]",Female,1,7,2,4,0.143,0.500,0.286,0.393
3,"(15, 24]","(5, 10]",Male,1,4,6,5,0.250,1.200,0.208,0.265
4,"(15, 24]","(10, 15]",Female,13,21,10,13,0.619,0.769,0.805,0.444
5,"(15, 24]","(10, 15]",Male,29,35,37,47,0.829,0.787,1.053,0.355
6,"(15, 24]","(15, 20]",Female,36,47,31,63,0.766,0.492,1.557,0.491
7,"(15, 24]","(15, 20]",Male,80,97,188,253,0.825,0.743,1.110,0.206
8,"(15, 24]","(20, 25]",Female,10,12,21,23,0.833,0.913,0.913,0.480
9,"(15, 24]","(20, 25]",Male,30,28,98,102,1.071,0.961,1.115,0.337
10,"(15, 24]","(25, 30]",Female,3,2,3,6,1.500,0.500,3.000,3.467
11,"(15, 24]","(25, 30]",Male,8,7,21,34,1.143,0.618,1.850,1.091
12,"(15, 24]","(30, 35]",Female,1,1,3,7,1.000,0.429,2.333,3.674
13,"(15, 24]","(30, 35]",Male,5,3,10,9,1.667,1.111,1.500,1.296
14,"(15, 24]","(40, 45]",Male,3,2,9,4,1.500,2.250,0.667,0.729
15,"(15, 24]","(45, 50]",Male,1,1,3,3,1.000,1.000,1.000,1.634
16,"(15, 24]","(50, 55]",Male,4,2,4,2,2.000,2.000,1.000,1.226
17,"(24, 34]","(0, 5]",Female,10,14,6,7,0.714,0.857,0.833,0.579
18,"(24, 34]","(0, 5]",Male,9,8,3,5,1.125,0.600,1.875,1.647
19,"(24, 34]","(5, 10]",Female,5,13,10,16,0.385,0.625,0.615,0.409
20,"(24, 34]","(5, 10]",Male,3,12,5,11,0.250,0.455,0.550,0.463
21,"(24, 34]","(10, 15]",Female,7,10,3,7,0.700,0.429,1.633,1.387
22,"(24, 34]","(10, 15]",Male,1,6,11,11,0.167,1.000,0.167,0.194
23,"(24, 34]","(15, 20]",Female,2,7,1,5,0.286,0.200,1.429,1.941
24,"(24, 34]","(15, 20]",Male,10,12,18,38,0.833,0.474,1.759,0.910
25,"(24, 34]","(20, 25]",Female,4,8,7,9,0.500,0.778,0.643,0.511
26,"(24, 34]","(20, 25]",Male,13,18,34,45,0.722,0.756,0.956,0.413
27,"(24, 34]","(25, 30]",Female,1,3,4,7,0.333,0.571,0.583,0.767
28,"(24, 34]","(25, 30]",Male,7,6,14,27,1.167,0.519,2.250,1.459
29,"(24, 34]","(30, 35]",Female,3,1,7,3,3.000,2.333,1.286,1.731
30,"(24, 34]","(30, 35]",Male,10,7,15,15,1.429,1.000,1.429,0.879
31,"(24, 34]","(35, 40]",Male,4,2,9,9,2.000,1.000,2.000,1.975
32,"(24, 34]","(40, 45]",Male,3,1,6,11,3.000,0.545,5.500,6.943
33,"(34, 54]","(0, 5]",Female,5,11,3,12,0.455,0.250,1.818,1.532
34,"(34, 54]","(0, 5]",Male,3,7,5,6,0.429,0.833,0.514,0.473
35,"(34, 54]","(5, 10]",Female,6,6,6,11,1.000,0.545,1.833,1.412
36,"(34, 54]","(5, 10]",Male,7,7,6,13,1.000,0.462,2.167,1.580
37,"(34, 54]","(10, 15]",Female,10,15,6,17,0.667,0.353,1.889,1.187
38,"(34, 54]","(10, 15]",Male,2,8,7,12,0.250,0.583,0.429,0.396
39,"(34, 54]","(15, 20]",Female,6,11,2,3,0.545,0.667,0.818,0.856
40,"(34, 54]","(15, 20]",Male,1,8,3,8,0.125,0.375,0.333,0.420
41,"(34, 54]","(20, 25]",Female,4,2,6,4,2.000,1.500,1.333,1.442
42,"(34, 54]","(20, 25]",Male,5,4,7,13,1.250,0.538,2.321,1.903
43,"(34, 54]","(25, 30]",Male,5,6,6,8,0.833,0.750,1.111,0.903
44,"(34, 54]","(30, 35]",Female,2,1,3,7,2.000,0.429,4.667,6.564
45,"(34, 54]","(30, 35]",Male,1,5,6,7,0.200,0.857,0.233,0.287
46,"(34, 54]","(35, 40]",Female,2,4,1,4,0.500,0.250,2.000,2.830
47,"(34, 54]","(35, 40]",Male,5,5,9,9,1.000,1.000,1.000,0.790
48,"(34, 54]","(40, 45]",Female,1,1,1,5,1.000,0.200,5.000,8.948
49,"(34, 54]","(40, 45]",Male,4,4,6,6,1.000,1.000,1.000,0.914
50,"(34, 54]","(45, 50]",Female,1,2,2,1,0.500,2.000,0.250,0.433
51,"(34, 54]","(45, 50]",Male,2,6,4,3,0.333,1.333,0.250,0.280
52,"(34, 54]","(50, 55]",Female,3,2,1,1,1.500,1.000,1.500,2.526
53,"(54, 100]","(0, 5]",Female,1,1,1,3,1.000,0.333,3.000,5.479
54,"(54, 100]","(5, 10]",Female,2,2,1,4,1.000,0.250,4.000,6.003
55,"(54, 100]","(5, 10]",Male,2,5,2,5,0.400,0.400,1.000,1.184
56,"(54, 100]","(15, 20]",Male,1,4,1,1,0.250,1.000,0.250,0.451
57,"(54, 100]","(50, 55]",Male,3,2,1,2,1.500,0.500,3.000,4.585
