,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,10,10,12,16,1.000,0.750,1.333,0.787
1,"(15, 24]","(0, 5]",Male,9,7,4,7,1.286,0.571,2.250,1.813
2,"(15, 24]","(5, 10]",Female,6,6,5,4,1.000,1.250,0.800,0.709
3,"(15, 24]","(5, 10]",Male,1,2,9,8,0.500,1.125,0.444,0.586
4,"(15, 24]","(10, 15]",Female,69,71,19,29,0.972,0.655,1.483,0.510
5,"(15, 24]","(10, 15]",Male,95,81,119,121,1.173,0.983,1.193,0.245
6,"(15, 24]","(15, 20]",Female,264,276,137,201,0.957,0.682,1.403,0.209
7,"(15, 24]","(15, 20]",Male,517,426,1007,1007,1.214,1.000,1.214,0.114
8,"(15, 24]","(20, 25]",Female,75,72,143,172,1.042,0.831,1.253,0.258
9,"(15, 24]","(20, 25]",Male,201,165,606,625,1.218,0.970,1.256,0.163
10,"(15, 24]","(25, 30]",Female,22,26,56,47,0.846,1.191,0.710,0.252
11,"(15, 24]","(25, 30]",Male,54,58,168,140,0.931,1.200,0.776,0.176
12,"(15, 24]","(30, 35]",Female,16,14,13,11,1.143,1.182,0.967,0.533
13,"(15, 24]","(30, 35]",Male,29,12,56,47,2.417,1.191,2.028,0.810
14,"(15, 24]","(35, 40]",Female,18,13,9,5,1.385,1.800,0.769,0.514
15,"(15, 24]","(35, 40]",Male,23,8,54,40,2.875,1.350,2.130,0.986
16,"(15, 24]","(40, 45]",Female,11,7,6,5,1.571,1.200,1.310,1.017
17,"(15, 24]","(40, 45]",Male,10,7,34,22,1.429,1.545,0.924,0.523
18,"(15, 24]","(45, 50]",Male,11,6,18,12,1.833,1.500,1.222,0.772
19,"(15, 24]","(50, 55]",Male,9,4,8,6,2.250,1.333,1.688,1.366
20,"(24, 34]","(0, 5]",Female,19,18,16,18,1.056,0.889,1.188,0.568
21,"(24, 34]","(0, 5]",Male,7,7,8,10,1.000,0.800,1.250,0.895
22,"(24, 34]","(5, 10]",Female,14,19,22,21,0.737,1.048,0.703,0.330
23,"(24, 34]","(5, 10]",Male,2,6,6,3,0.333,2.000,0.167,0.180
24,"(24, 34]","(10, 15]",Female,16,26,8,17,0.615,0.471,1.308,0.701
25,"(24, 34]","(10, 15]",Male,2,6,9,11,0.333,0.818,0.407,0.380
26,"(24, 34]","(15, 20]",Female,15,32,8,20,0.469,0.400,1.172,0.615
27,"(24, 34]","(15, 20]",Male,57,69,80,102,0.826,0.784,1.053,0.251
28,"(24, 34]","(20, 25]",Female,35,45,27,49,0.778,0.551,1.412,0.470
29,"(24, 34]","(20, 25]",Male,175,166,215,288,1.054,0.747,1.412,0.211
30,"(24, 34]","(25, 30]",Female,34,29,54,69,1.172,0.783,1.498,0.472
31,"(24, 34]","(25, 30]",Male,137,106,198,238,1.292,0.832,1.554,0.262
32,"(24, 34]","(30, 35]",Female,18,19,61,54,0.947,1.130,0.839,0.320
33,"(24, 34]","(30, 35]",Male,91,85,128,118,1.071,1.085,0.987,0.201
34,"(24, 34]","(35, 40]",Female,11,10,22,28,1.100,0.786,1.400,0.734
35,"(24, 34]","(35, 40]",Male,53,27,56,55,1.963,1.018,1.928,0.592
36,"(24, 34]","(40, 45]",Female,13,6,19,18,2.167,1.056,2.053,1.222
37,"(24, 34]","(40, 45]",Male,23,16,49,38,1.438,1.289,1.115,0.439
38,"(24, 34]","(45, 50]",Female,10,7,6,4,1.429,1.500,0.952,0.775
39,"(24, 34]","(45, 50]",Male,11,7,33,18,1.571,1.833,0.857,0.486
40,"(24, 34]","(50, 55]",Male,8,6,17,6,1.333,2.833,0.471,0.339
41,"(24, 34]","(55, 60]",Male,4,1,12,9,4.000,1.333,3.000,3.609
42,"(34, 54]","(0, 5]",Female,7,11,6,6,0.636,1.000,0.636,0.480
43,"(34, 54]","(0, 5]",Male,4,5,4,7,0.800,0.571,1.400,1.287
44,"(34, 54]","(5, 10]",Female,14,21,11,20,0.667,0.550,1.212,0.621
45,"(34, 54]","(5, 10]",Male,3,7,10,15,0.429,0.667,0.643,0.516
46,"(34, 54]","(10, 15]",Female,21,35,11,16,0.600,0.688,0.873,0.420
47,"(34, 54]","(10, 15]",Male,10,14,15,29,0.714,0.517,1.381,0.724
48,"(34, 54]","(15, 20]",Female,25,41,17,25,0.610,0.680,0.897,0.365
49,"(34, 54]","(15, 20]",Male,20,20,24,60,1.000,0.400,2.500,1.003
50,"(34, 54]","(20, 25]",Female,12,21,16,34,0.571,0.471,1.214,0.576
