,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.233,0.334,3.000
1,"(5, 10]",0.775,0.211,8.000
2,"(10, 15]",1.219,0.179,13.000
3,"(15, 20]",1.254,0.090,18.000
4,"(20, 25]",1.357,0.110,23.000
5,"(25, 30]",1.168,0.123,28.000
6,"(30, 35]",1.012,0.126,33.000
7,"(35, 40]",1.331,0.189,38.000
8,"(40, 45]",1.218,0.181,43.000
9,"(45, 50]",1.155,0.193,48.000
10,"(50, 55]",0.875,0.163,53.000
11,"(55, 60]",1.055,0.276,58.000
12,"(60, 65]",1.052,0.334,63.000
13,"(65, 70]",1.115,0.404,68.000
14,"(70, 75]",0.854,0.290,73.000
15,"(75, 80]",1.389,0.539,78.000
16,"(80, 85]",1.402,0.523,83.000
17,"(85, 90]",1.282,0.519,88.000
18,"(90, 95]",2.056,1.398,93.000
