,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,7,12,9,11,0.583,0.818,0.713,0.468
1,"(15, 24]","(0, 5]",Male,3,2,4,8,1.500,0.500,3.000,3.301
2,"(15, 24]","(5, 10]",Female,3,3,2,7,1.000,0.286,3.500,4.009
3,"(15, 24]","(5, 10]",Male,5,6,5,4,0.833,1.250,0.667,0.603
4,"(15, 24]","(10, 15]",Female,16,22,6,8,0.727,0.750,0.970,0.615
5,"(15, 24]","(10, 15]",Male,34,41,37,55,0.829,0.673,1.233,0.393
6,"(15, 24]","(15, 20]",Female,40,52,53,74,0.769,0.716,1.074,0.302
7,"(15, 24]","(15, 20]",Male,94,102,254,320,0.922,0.794,1.161,0.201
8,"(15, 24]","(20, 25]",Female,15,6,27,29,2.500,0.931,2.685,1.489
9,"(15, 24]","(20, 25]",Male,23,26,113,145,0.885,0.779,1.135,0.359
10,"(15, 24]","(25, 30]",Female,2,3,6,13,0.667,0.462,1.444,1.501
11,"(15, 24]","(25, 30]",Male,11,8,44,35,1.375,1.257,1.094,0.568
12,"(15, 24]","(30, 35]",Female,2,1,6,6,2.000,1.000,2.000,2.710
13,"(15, 24]","(30, 35]",Male,7,3,13,10,2.333,1.300,1.795,1.453
14,"(15, 24]","(35, 40]",Male,4,2,4,5,2.000,0.800,2.500,2.741
15,"(15, 24]","(40, 45]",Female,1,3,2,1,0.333,2.000,0.167,0.281
16,"(15, 24]","(40, 45]",Male,4,5,4,5,0.800,0.800,1.000,0.950
17,"(15, 24]","(45, 50]",Male,4,1,3,1,4.000,3.000,1.333,2.144
18,"(15, 24]","(50, 55]",Female,1,2,1,1,0.500,1.000,0.500,0.936
19,"(24, 34]","(0, 5]",Female,11,11,12,6,1.000,2.000,0.500,0.330
20,"(24, 34]","(0, 5]",Male,8,6,4,9,1.333,0.444,3.000,2.428
21,"(24, 34]","(5, 10]",Female,12,13,12,24,0.923,0.500,1.846,0.990
22,"(24, 34]","(5, 10]",Male,4,5,5,5,0.800,1.000,0.800,0.739
23,"(24, 34]","(10, 15]",Female,2,10,3,8,0.200,0.375,0.533,0.549
24,"(24, 34]","(10, 15]",Male,3,12,6,9,0.250,0.667,0.375,0.313
25,"(24, 34]","(15, 20]",Female,4,4,1,5,1.000,0.200,5.000,6.524
26,"(24, 34]","(15, 20]",Male,10,17,26,37,0.588,0.703,0.837,0.399
