,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.000,0.357,3.000
1,"(5, 10]",1.209,0.371,8.000
2,"(10, 15]",0.909,0.210,13.000
3,"(15, 20]",1.143,0.154,18.000
4,"(20, 25]",1.414,0.307,23.000
5,"(25, 30]",1.019,0.294,28.000
6,"(30, 35]",0.918,0.370,33.000
7,"(35, 40]",1.726,0.748,38.000
8,"(40, 45]",0.878,0.357,43.000
9,"(45, 50]",2.243,1.728,48.000
10,"(50, 55]",0.584,0.451,53.000
11,"(55, 60]",0.549,0.499,58.000
12,"(60, 65]",1.000,1.415,63.000
13,"(65, 70]",1.000,1.310,68.000
14,"(70, 75]",1.377,1.751,73.000
15,"(75, 80]",1.333,2.144,78.000
16,"(85, 90]",1.500,2.526,88.000
