,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,50,51,67,81,0.980,0.827,1.185,0.312
1,"(15, 24]","(15, 22]",Male,31,27,189,169,1.148,1.118,1.027,0.296
2,"(15, 24]","(22, 27]",Female,18,11,37,35,1.636,1.057,1.548,0.700
3,"(15, 24]","(22, 27]",Male,7,6,64,52,1.167,1.231,0.948,0.558
4,"(15, 24]","(27, 32]",Female,5,5,12,12,1.000,1.000,1.000,0.754
5,"(15, 24]","(32, 37]",Female,5,6,5,7,0.833,0.714,1.167,0.984
6,"(15, 24]","(32, 37]",Male,5,2,17,10,2.500,1.700,1.471,1.365
7,"(15, 24]","(37, 42]",Female,4,5,3,1,0.800,3.000,0.267,0.356
8,"(15, 24]","(37, 42]",Male,7,1,9,6,7.000,1.500,4.667,5.567
9,"(15, 24]","(42, 47]",Female,6,3,8,5,2.000,1.600,1.250,1.137
10,"(15, 24]","(42, 47]",Male,7,2,17,6,3.500,2.833,1.235,1.153
11,"(15, 24]","(47, 52]",Female,12,3,7,2,4.000,3.500,1.143,1.178
12,"(15, 24]","(47, 52]",Male,9,1,9,5,9.000,1.800,5.000,5.968
13,"(15, 24]","(52, 57]",Female,3,1,5,4,3.000,1.250,2.400,3.207
14,"(15, 24]","(67, 72]",Female,4,2,4,1,2.000,4.000,0.500,0.708
15,"(15, 24]","(72, 77]",Male,2,1,2,2,2.000,1.000,2.000,3.164
16,"(24, 34]","(15, 22]",Female,1,3,1,6,0.333,0.167,2.000,3.164
17,"(24, 34]","(15, 22]",Male,11,8,23,20,1.375,1.150,1.196,0.668
18,"(24, 34]","(22, 27]",Female,5,6,27,29,0.833,0.931,0.895,0.594
19,"(24, 34]","(22, 27]",Male,23,17,37,31,1.353,1.194,1.134,0.459
20,"(24, 34]","(27, 32]",Female,9,4,39,43,2.250,0.907,2.481,1.593
21,"(24, 34]","(27, 32]",Male,20,11,34,56,1.818,0.607,2.995,1.308
22,"(24, 34]","(32, 37]",Female,9,7,36,39,1.286,0.923,1.393,0.775
23,"(24, 34]","(32, 37]",Male,3,3,32,21,1.000,1.524,0.656,0.568
24,"(24, 34]","(37, 42]",Male,5,4,27,11,1.250,2.455,0.509,0.388
25,"(24, 34]","(42, 47]",Female,2,2,7,5,1.000,1.400,0.714,0.828
26,"(24, 34]","(52, 57]",Female,6,3,6,4,2.000,1.500,1.333,1.278
27,"(24, 34]","(57, 62]",Female,5,5,6,2,1.000,3.000,0.333,0.345
28,"(34, 54]","(15, 22]",Female,6,17,8,17,0.353,0.471,0.750,0.481
29,"(34, 54]","(15, 22]",Male,6,10,10,22,0.600,0.455,1.320,0.850
30,"(34, 54]","(22, 27]",Female,6,10,4,6,0.600,0.667,0.900,0.745
31,"(34, 54]","(22, 27]",Male,9,10,13,21,0.900,0.619,1.454,0.845
32,"(34, 54]","(27, 32]",Female,8,13,11,18,0.615,0.611,1.007,0.597
33,"(34, 54]","(27, 32]",Male,6,5,12,25,1.200,0.480,2.500,1.754
34,"(34, 54]","(32, 37]",Female,7,8,31,37,0.875,0.838,1.044,0.600
35,"(34, 54]","(32, 37]",Male,17,17,23,34,1.000,0.676,1.478,0.649
36,"(34, 54]","(37, 42]",Female,10,11,52,58,0.909,0.897,1.014,0.486
37,"(34, 54]","(37, 42]",Male,25,12,32,30,2.083,1.067,1.953,0.852
38,"(34, 54]","(42, 47]",Female,7,11,73,68,0.636,1.074,0.593,0.305
39,"(34, 54]","(42, 47]",Male,25,20,25,31,1.250,0.806,1.550,0.629
40,"(34, 54]","(47, 52]",Female,14,11,56,52,1.273,1.077,1.182,0.531
41,"(34, 54]","(47, 52]",Male,17,13,25,23,1.308,1.087,1.203,0.567
42,"(34, 54]","(52, 57]",Female,7,10,52,44,0.700,1.182,0.592,0.317
43,"(34, 54]","(52, 57]",Male,8,7,17,11,1.143,1.545,0.739,0.479
44,"(34, 54]","(57, 62]",Female,13,5,33,21,2.600,1.571,1.655,0.989
45,"(34, 54]","(57, 62]",Male,8,1,15,10,8.000,1.500,5.333,6.067
46,"(34, 54]","(62, 67]",Female,6,3,12,7,2.000,1.714,1.167,0.996
47,"(34, 54]","(62, 67]",Male,7,2,11,4,3.500,2.750,1.273,1.264
48,"(34, 54]","(67, 72]",Female,4,3,8,6,1.333,1.333,1.000,0.937
49,"(34, 54]","(72, 77]",Female,7,1,6,1,7.000,6.000,1.167,1.774
50,"(34, 54]","(77, 82]",Female,2,2,1,1,1.000,1.000,1.000,1.733
51,"(54, 100]","(15, 22]",Female,2,8,1,6,0.250,0.167,1.500,2.009
52,"(54, 100]","(22, 27]",Male,1,6,1,7,0.167,0.143,1.167,1.774
53,"(54, 100]","(27, 32]",Female,1,15,3,7,0.067,0.429,0.156,0.193
54,"(54, 100]","(27, 32]",Male,3,8,2,4,0.375,0.500,0.750,0.825
55,"(54, 100]","(32, 37]",Female,8,21,2,11,0.381,0.182,2.095,1.834
56,"(54, 100]","(32, 37]",Male,3,10,2,13,0.300,0.154,1.950,1.962
57,"(54, 100]","(37, 42]",Female,7,24,4,17,0.292,0.235,1.240,0.873
58,"(54, 100]","(37, 42]",Male,2,14,4,11,0.143,0.364,0.393,0.376
59,"(54, 100]","(42, 47]",Female,5,18,7,22,0.278,0.318,0.873,0.583
60,"(54, 100]","(42, 47]",Male,5,12,11,20,0.417,0.550,0.758,0.495
61,"(54, 100]","(47, 52]",Female,11,30,13,29,0.367,0.448,0.818,0.399
62,"(54, 100]","(47, 52]",Male,8,17,11,13,0.471,0.846,0.556,0.331
63,"(54, 100]","(52, 57]",Female,8,35,23,44,0.229,0.523,0.437,0.206
64,"(54, 100]","(52, 57]",Male,18,28,23,37,0.643,0.622,1.034,0.419
65,"(54, 100]","(57, 62]",Female,15,41,67,82,0.366,0.817,0.448,0.156
66,"(54, 100]","(57, 62]",Male,14,29,13,22,0.483,0.591,0.817,0.392
67,"(54, 100]","(62, 67]",Female,10,31,84,113,0.323,0.743,0.434,0.171
68,"(54, 100]","(62, 67]",Male,21,33,15,22,0.636,0.682,0.933,0.410
69,"(54, 100]","(67, 72]",Female,7,15,98,118,0.467,0.831,0.562,0.270
70,"(54, 100]","(67, 72]",Male,25,39,9,16,0.641,0.562,1.140,0.560
71,"(54, 100]","(72, 77]",Female,7,17,117,117,0.412,1.000,0.412,0.194
72,"(54, 100]","(72, 77]",Male,17,36,14,13,0.472,1.077,0.438,0.214
73,"(54, 100]","(77, 82]",Female,13,14,101,124,0.929,0.815,1.140,0.468
74,"(54, 100]","(77, 82]",Male,25,26,14,15,0.962,0.933,1.030,0.482
75,"(54, 100]","(82, 87]",Female,7,13,73,78,0.538,0.936,0.575,0.287
76,"(54, 100]","(82, 87]",Male,13,20,5,5,0.650,1.000,0.650,0.473
77,"(54, 100]","(87, 92]",Female,1,1,37,26,1.000,1.423,0.703,1.011
