,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(5, 10]",Female,1,1,1,2,1.000,0.500,2.000,3.743
1,"(15, 24]","(10, 15]",Female,8,10,2,3,0.800,0.667,1.200,1.236
2,"(15, 24]","(10, 15]",Male,9,10,23,20,0.900,1.150,0.783,0.434
3,"(15, 24]","(15, 20]",Female,42,41,17,18,1.024,0.944,1.085,0.441
4,"(15, 24]","(15, 20]",Male,65,57,135,151,1.140,0.894,1.276,0.284
5,"(15, 24]","(20, 25]",Female,17,20,12,22,0.850,0.545,1.558,0.764
6,"(15, 24]","(20, 25]",Male,39,34,73,76,1.147,0.961,1.194,0.347
7,"(15, 24]","(25, 30]",Female,4,1,11,9,4.000,1.222,3.273,3.947
8,"(15, 24]","(25, 30]",Male,9,6,19,25,1.500,0.760,1.974,1.205
9,"(15, 24]","(30, 35]",Male,4,1,7,7,4.000,1.000,4.000,4.961
10,"(15, 24]","(35, 40]",Female,6,2,4,4,3.000,1.000,3.000,3.244
11,"(15, 24]","(35, 40]",Male,5,4,8,5,1.250,1.600,0.781,0.689
12,"(15, 24]","(40, 45]",Female,4,2,5,4,2.000,1.250,1.600,1.755
13,"(15, 24]","(40, 45]",Male,7,3,9,5,2.333,1.800,1.296,1.152
14,"(15, 24]","(45, 50]",Female,6,3,2,2,2.000,1.000,2.000,2.452
15,"(15, 24]","(45, 50]",Male,4,1,13,3,4.000,4.333,0.923,1.190
16,"(15, 24]","(50, 55]",Female,5,2,4,1,2.500,4.000,0.625,0.873
17,"(15, 24]","(60, 65]",Male,1,1,5,1,1.000,5.000,0.200,0.358
18,"(24, 34]","(0, 5]",Male,2,3,1,4,0.667,0.250,2.667,3.851
19,"(24, 34]","(5, 10]",Female,3,10,5,6,0.300,0.833,0.360,0.322
20,"(24, 34]","(5, 10]",Male,3,2,6,7,1.500,0.857,1.750,1.873
21,"(24, 34]","(10, 15]",Female,6,8,4,3,0.750,1.333,0.562,0.527
22,"(24, 34]","(10, 15]",Male,2,10,2,7,0.200,0.286,0.700,0.781
23,"(24, 34]","(15, 20]",Female,9,7,1,4,1.286,0.250,5.143,6.312
24,"(24, 34]","(15, 20]",Male,6,6,9,16,1.000,0.562,1.778,1.269
25,"(24, 34]","(20, 25]",Female,2,8,6,5,0.250,1.200,0.208,0.208
26,"(24, 34]","(20, 25]",Male,33,30,39,58,1.100,0.672,1.636,0.540
27,"(24, 34]","(25, 30]",Female,5,9,16,26,0.556,0.615,0.903,0.581
28,"(24, 34]","(25, 30]",Male,42,45,42,39,0.933,1.077,0.867,0.271
29,"(24, 34]","(30, 35]",Female,7,7,8,13,1.000,0.615,1.625,1.138
30,"(24, 34]","(30, 35]",Male,28,37,37,31,0.757,1.194,0.634,0.224
31,"(24, 34]","(35, 40]",Female,4,8,9,7,0.500,1.286,0.389,0.309
32,"(24, 34]","(35, 40]",Male,13,7,16,8,1.857,2.000,0.929,0.594
33,"(24, 34]","(40, 45]",Female,4,3,4,3,1.333,1.333,1.000,1.081
34,"(24, 34]","(40, 45]",Male,8,6,10,10,1.333,1.000,1.333,0.937
35,"(24, 34]","(45, 50]",Male,2,1,9,4,2.000,2.250,0.889,1.213
36,"(24, 34]","(50, 55]",Female,12,4,2,1,3.000,2.000,1.500,2.032
