,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.508,1.409,3.000
1,"(5, 10]",0.824,0.305,8.000
2,"(10, 15]",0.790,0.203,13.000
3,"(15, 20]",1.361,0.227,18.000
4,"(20, 25]",1.301,0.235,23.000
5,"(25, 30]",1.396,0.290,28.000
6,"(30, 35]",1.233,0.271,33.000
7,"(35, 40]",0.968,0.215,38.000
8,"(40, 45]",1.325,0.287,43.000
9,"(45, 50]",1.054,0.252,48.000
10,"(50, 55]",1.125,0.264,53.000
11,"(55, 60]",0.967,0.253,58.000
12,"(60, 65]",1.045,0.285,63.000
13,"(65, 70]",1.277,0.353,68.000
14,"(70, 75]",0.772,0.231,73.000
15,"(75, 80]",0.833,0.275,78.000
16,"(80, 85]",1.317,0.415,83.000
17,"(85, 90]",1.481,0.830,88.000
18,"(90, 95]",0.585,0.435,93.000
