,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,44,36,108,114,1.222,0.947,1.290,0.344
1,"(15, 24]","(15, 22]",Male,48,35,402,386,1.371,1.041,1.317,0.314
2,"(15, 24]","(22, 27]",Female,17,13,66,67,1.308,0.985,1.328,0.545
3,"(15, 24]","(22, 27]",Male,15,13,168,132,1.154,1.273,0.907,0.362
4,"(15, 24]","(27, 32]",Female,6,4,26,22,1.500,1.182,1.269,0.900
5,"(15, 24]","(27, 32]",Male,6,6,43,32,1.000,1.344,0.744,0.465
6,"(15, 24]","(32, 37]",Female,7,4,13,15,1.750,0.867,2.019,1.482
7,"(15, 24]","(32, 37]",Male,3,2,20,24,1.500,0.833,1.800,1.734
8,"(15, 24]","(37, 42]",Female,9,1,6,4,9.000,1.500,6.000,7.422
9,"(15, 24]","(37, 42]",Male,5,1,12,12,5.000,1.000,5.000,5.851
10,"(15, 24]","(42, 47]",Male,8,1,14,4,8.000,3.500,2.286,2.751
11,"(15, 24]","(47, 52]",Female,2,1,3,1,2.000,3.000,0.667,1.123
12,"(15, 24]","(47, 52]",Male,3,1,8,6,3.000,1.333,2.250,2.870
13,"(24, 34]","(15, 22]",Female,4,5,10,14,0.800,0.714,1.120,0.885
14,"(24, 34]","(15, 22]",Male,28,17,47,52,1.647,0.904,1.822,0.676
15,"(24, 34]","(22, 27]",Female,6,4,37,45,1.500,0.822,1.824,1.249
16,"(24, 34]","(22, 27]",Male,29,19,102,101,1.526,1.010,1.511,0.500
17,"(24, 34]","(27, 32]",Female,13,8,57,54,1.625,1.056,1.539,0.755
18,"(24, 34]","(27, 32]",Male,27,13,82,71,2.077,1.155,1.798,0.679
19,"(24, 34]","(32, 37]",Female,3,5,34,32,0.600,1.062,0.565,0.436
20,"(24, 34]","(32, 37]",Male,14,10,50,44,1.400,1.136,1.232,0.573
21,"(24, 34]","(37, 42]",Female,4,3,19,12,1.333,1.583,0.842,0.715
22,"(24, 34]","(37, 42]",Male,8,6,29,18,1.333,1.611,0.828,0.513
23,"(24, 34]","(42, 47]",Female,4,6,15,11,0.667,1.364,0.489,0.371
24,"(24, 34]","(42, 47]",Male,4,2,22,14,2.000,1.571,1.273,1.187
25,"(24, 34]","(47, 52]",Female,2,3,13,5,0.667,2.600,0.256,0.270
26,"(24, 34]","(52, 57]",Female,1,1,4,2,1.000,2.000,0.500,0.830
27,"(34, 54]","(15, 22]",Female,2,3,2,9,0.667,0.222,3.000,3.609
28,"(34, 54]","(15, 22]",Male,6,4,15,30,1.500,0.500,3.000,2.162
29,"(34, 54]","(22, 27]",Female,5,12,9,13,0.417,0.692,0.602,0.414
30,"(34, 54]","(22, 27]",Male,2,7,36,50,0.286,0.720,0.397,0.330
31,"(34, 54]","(27, 32]",Female,5,10,16,24,0.500,0.667,0.750,0.478
32,"(34, 54]","(27, 32]",Male,9,10,36,35,0.900,1.029,0.875,0.455
33,"(34, 54]","(32, 37]",Female,7,8,21,35,0.875,0.600,1.458,0.858
34,"(34, 54]","(32, 37]",Male,13,9,44,47,1.444,0.936,1.543,0.747
35,"(34, 54]","(37, 42]",Female,6,4,44,50,1.500,0.880,1.705,1.158
36,"(34, 54]","(37, 42]",Male,14,15,51,53,0.933,0.962,0.970,0.410
37,"(34, 54]","(42, 47]",Female,5,8,50,50,0.625,1.000,0.625,0.379
38,"(34, 54]","(42, 47]",Male,8,9,45,47,0.889,0.957,0.928,0.493
39,"(34, 54]","(47, 52]",Female,3,4,34,39,0.750,0.872,0.860,0.689
40,"(34, 54]","(47, 52]",Male,5,8,32,22,0.625,1.455,0.430,0.273
41,"(34, 54]","(52, 57]",Female,2,2,18,23,1.000,0.783,1.278,1.341
42,"(34, 54]","(52, 57]",Male,3,5,28,14,0.600,2.000,0.300,0.241
43,"(34, 54]","(57, 62]",Female,2,2,15,11,1.000,1.364,0.733,0.790
44,"(34, 54]","(57, 62]",Male,1,2,5,4,0.500,1.250,0.400,0.559
45,"(34, 54]","(62, 67]",Male,1,1,9,5,1.000,1.800,0.556,0.845
46,"(34, 54]","(67, 72]",Female,1,1,2,4,1.000,0.500,2.000,3.318
47,"(34, 54]","(67, 72]",Male,2,1,2,2,2.000,1.000,2.000,3.164
48,"(54, 100]","(27, 32]",Female,2,2,3,2,1.000,1.500,0.667,0.903
49,"(54, 100]","(32, 37]",Female,2,8,3,6,0.250,0.500,0.500,0.531
50,"(54, 100]","(32, 37]",Male,4,5,3,12,0.800,0.250,3.200,2.983
51,"(54, 100]","(37, 42]",Female,2,4,1,3,0.500,0.333,1.500,2.166
52,"(54, 100]","(37, 42]",Male,2,1,6,11,2.000,0.545,3.667,4.864
53,"(54, 100]","(42, 47]",Female,2,5,1,4,0.400,0.250,1.600,2.236
54,"(54, 100]","(42, 47]",Male,1,6,12,20,0.167,0.600,0.278,0.317
55,"(54, 100]","(47, 52]",Female,5,7,2,9,0.714,0.222,3.214,3.144
56,"(54, 100]","(47, 52]",Male,7,5,10,12,1.400,0.833,1.680,1.222
57,"(54, 100]","(52, 57]",Female,3,1,9,13,3.000,0.692,4.333,5.349
58,"(54, 100]","(52, 57]",Male,11,10,4,7,1.100,0.571,1.925,1.474
59,"(54, 100]","(57, 62]",Male,8,8,14,13,1.000,1.077,0.929,0.588
60,"(54, 100]","(62, 67]",Female,2,3,25,21,0.667,1.190,0.560,0.538
61,"(54, 100]","(62, 67]",Male,4,3,6,5,1.333,1.200,1.111,1.084
62,"(54, 100]","(67, 72]",Female,1,1,22,26,1.000,0.846,1.182,1.707
63,"(54, 100]","(67, 72]",Male,8,11,6,7,0.727,0.857,0.848,0.617
64,"(54, 100]","(72, 77]",Female,1,1,18,22,1.000,0.818,1.222,1.773
65,"(54, 100]","(77, 82]",Female,1,1,9,13,1.000,0.692,1.444,2.138
66,"(54, 100]","(77, 82]",Male,4,2,5,4,2.000,1.250,1.600,1.755
67,"(54, 100]","(82, 87]",Female,1,1,15,14,1.000,1.071,0.933,1.366
68,"(54, 100]","(82, 87]",Male,1,2,2,2,0.500,1.000,0.500,0.791
69,"(54, 100]","(87, 92]",Female,1,1,8,1,1.000,8.000,0.125,0.221
