,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.444,0.220,19.000
1,"(22, 27]",1.148,0.221,25.000
2,"(27, 32]",1.206,0.255,30.000
3,"(32, 37]",1.356,0.316,35.000
4,"(37, 42]",1.283,0.341,40.000
5,"(42, 47]",0.786,0.236,45.000
6,"(47, 52]",0.894,0.301,50.000
7,"(52, 57]",1.035,0.454,55.000
8,"(57, 62]",0.788,0.401,60.000
9,"(62, 67]",0.740,0.462,65.000
10,"(67, 72]",1.100,0.621,70.000
11,"(72, 77]",1.222,1.773,75.000
12,"(77, 82]",1.543,1.360,80.000
13,"(82, 87]",0.700,0.752,85.000
14,"(87, 92]",0.125,0.221,90.000
