,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,14,9,23,30,1.556,0.767,2.029,1.038
1,"(15, 24]","(15, 20]",Female,35,33,22,29,1.061,0.759,1.398,0.526
2,"(15, 24]","(15, 20]",Male,92,85,265,306,1.082,0.866,1.250,0.224
3,"(15, 24]","(20, 25]",Female,10,22,23,35,0.455,0.657,0.692,0.324
4,"(15, 24]","(20, 25]",Male,58,60,228,207,0.967,1.101,0.878,0.187
5,"(15, 24]","(25, 30]",Female,4,5,16,24,0.800,0.667,1.200,0.895
6,"(15, 24]","(25, 30]",Male,16,15,52,52,1.067,1.000,1.067,0.440
7,"(15, 24]","(30, 35]",Female,1,2,6,12,0.500,0.500,1.000,1.324
8,"(15, 24]","(30, 35]",Male,13,4,33,16,3.250,2.062,1.576,1.024
9,"(15, 24]","(35, 40]",Female,3,3,2,2,1.000,1.000,1.000,1.292
10,"(15, 24]","(35, 40]",Male,4,4,13,10,1.000,1.300,0.769,0.634
11,"(15, 24]","(40, 45]",Female,3,1,2,4,3.000,0.500,6.000,8.665
12,"(15, 24]","(40, 45]",Male,2,3,14,7,0.667,2.000,0.333,0.342
13,"(15, 24]","(50, 55]",Female,2,1,1,1,2.000,1.000,2.000,3.743
14,"(24, 34]","(0, 5]",Female,1,2,2,2,0.500,1.000,0.500,0.791
15,"(24, 34]","(5, 10]",Female,9,5,4,5,1.800,0.800,2.250,1.966
16,"(24, 34]","(10, 15]",Female,6,9,1,6,0.667,0.167,4.000,4.812
17,"(24, 34]","(15, 20]",Male,16,18,26,30,0.889,0.867,1.026,0.450
18,"(24, 34]","(20, 25]",Female,9,10,17,20,0.900,0.850,1.059,0.601
19,"(24, 34]","(20, 25]",Male,60,57,85,127,1.053,0.669,1.573,0.373
20,"(24, 34]","(25, 30]",Female,3,8,13,23,0.375,0.565,0.663,0.506
21,"(24, 34]","(25, 30]",Male,57,60,84,96,0.950,0.875,1.086,0.264
22,"(24, 34]","(30, 35]",Female,6,6,14,15,1.000,0.933,1.071,0.738
23,"(24, 34]","(30, 35]",Male,37,31,53,56,1.194,0.946,1.261,0.396
24,"(24, 34]","(35, 40]",Female,5,2,10,9,2.500,1.111,2.250,2.151
25,"(24, 34]","(35, 40]",Male,22,12,31,35,1.833,0.886,2.070,0.907
26,"(24, 34]","(40, 45]",Female,5,2,1,1,2.500,1.000,2.500,4.110
27,"(24, 34]","(40, 45]",Male,13,7,22,19,1.857,1.158,1.604,0.908
28,"(24, 34]","(45, 50]",Female,5,3,3,2,1.667,1.500,1.111,1.300
29,"(24, 34]","(45, 50]",Male,6,1,15,13,6.000,1.154,5.200,5.958
30,"(24, 34]","(50, 55]",Male,2,1,10,4,2.000,2.500,0.800,1.089
