,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,3,3,2,1,1.000,2.000,0.500,0.736
1,"(15, 24]","(10, 15]",Male,12,7,9,9,1.714,1.000,1.714,1.151
2,"(15, 24]","(15, 20]",Female,5,10,5,12,0.500,0.417,1.200,0.918
3,"(15, 24]","(15, 20]",Male,22,22,58,84,1.000,0.690,1.448,0.507
4,"(15, 24]","(20, 25]",Female,3,2,3,6,1.500,0.500,3.000,3.467
5,"(15, 24]","(20, 25]",Male,8,10,29,46,0.800,0.630,1.269,0.676
6,"(15, 24]","(25, 30]",Male,2,2,7,8,1.000,0.875,1.143,1.288
7,"(24, 34]","(0, 5]",Female,2,6,2,4,0.333,0.500,0.667,0.794
8,"(24, 34]","(0, 5]",Male,6,3,3,5,2.000,0.600,3.333,3.393
9,"(24, 34]","(5, 10]",Female,4,2,1,5,2.000,0.200,10.000,13.973
10,"(24, 34]","(5, 10]",Male,3,7,2,4,0.429,0.500,0.857,0.950
11,"(24, 34]","(10, 15]",Male,1,1,1,3,1.000,0.333,3.000,5.479
12,"(24, 34]","(15, 20]",Male,3,4,3,9,0.750,0.333,2.250,2.284
13,"(24, 34]","(20, 25]",Female,3,2,3,1,1.500,3.000,0.500,0.736
14,"(24, 34]","(20, 25]",Male,6,8,13,22,0.750,0.591,1.269,0.819
15,"(24, 34]","(25, 30]",Female,2,4,1,2,0.500,0.500,1.000,1.501
16,"(24, 34]","(25, 30]",Male,3,2,14,21,1.500,0.667,2.250,2.199
17,"(24, 34]","(30, 35]",Male,6,2,9,9,3.000,1.000,3.000,2.832
18,"(24, 34]","(35, 40]",Male,1,1,4,4,1.000,1.000,1.000,1.582
19,"(34, 54]","(10, 15]",Female,1,8,2,5,0.125,0.400,0.312,0.422
20,"(34, 54]","(10, 15]",Male,1,1,3,4,1.000,0.750,1.333,2.144
21,"(34, 54]","(15, 20]",Female,2,2,5,4,1.000,1.250,0.800,0.964
22,"(34, 54]","(15, 20]",Male,3,4,1,6,0.750,0.167,4.500,5.957
23,"(34, 54]","(20, 25]",Male,1,7,1,9,0.143,0.111,1.286,1.931
24,"(34, 54]","(25, 30]",Male,2,2,2,9,1.000,0.222,4.500,5.716
25,"(34, 54]","(30, 35]",Male,2,3,4,3,0.667,1.333,0.500,0.596
26,"(34, 54]","(40, 45]",Male,2,3,4,4,0.667,1.000,0.667,0.771
27,"(34, 54]","(45, 50]",Male,4,4,3,1,1.000,3.000,0.333,0.452
28,"(54, 100]","(35, 40]",Male,1,2,1,2,0.500,0.500,1.000,1.733
