,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,299,317,371,443,0.943,0.837,1.126,0.133
1,"(15, 24]","(15, 22]",Male,229,192,894,916,1.193,0.976,1.222,0.146
2,"(15, 24]","(22, 27]",Female,56,59,181,220,0.949,0.823,1.154,0.251
3,"(15, 24]","(22, 27]",Male,54,55,271,208,0.982,1.303,0.754,0.165
4,"(15, 24]","(27, 32]",Female,10,8,38,61,1.250,0.623,2.007,1.043
5,"(15, 24]","(27, 32]",Male,10,3,68,46,3.333,1.478,2.255,1.550
6,"(15, 24]","(32, 37]",Female,9,4,17,18,2.250,0.944,2.382,1.647
7,"(15, 24]","(32, 37]",Male,4,4,22,23,1.000,0.957,1.045,0.804
8,"(15, 24]","(37, 42]",Female,23,13,9,14,1.769,0.643,2.752,1.521
9,"(15, 24]","(37, 42]",Male,15,2,26,11,7.500,2.364,3.173,2.652
10,"(15, 24]","(42, 47]",Female,26,16,5,7,1.625,0.714,2.275,1.520
11,"(15, 24]","(42, 47]",Male,25,10,21,11,2.500,1.909,1.310,0.694
12,"(15, 24]","(47, 52]",Female,14,7,17,8,2.000,2.125,0.941,0.596
13,"(15, 24]","(47, 52]",Male,10,6,23,11,1.667,2.091,0.797,0.506
14,"(15, 24]","(52, 57]",Female,23,8,13,9,2.875,1.444,1.990,1.193
15,"(15, 24]","(52, 57]",Male,7,2,7,4,3.500,1.750,2.000,2.038
16,"(15, 24]","(57, 62]",Male,10,2,11,3,5.000,3.667,1.364,1.382
17,"(15, 24]","(62, 67]",Female,2,1,1,1,2.000,1.000,2.000,3.743
18,"(15, 24]","(77, 82]",Female,2,1,6,3,2.000,2.000,1.000,1.415
19,"(24, 34]","(15, 22]",Female,23,20,28,35,1.150,0.800,1.437,0.575
20,"(24, 34]","(15, 22]",Male,37,40,58,94,0.925,0.617,1.499,0.430
21,"(24, 34]","(22, 27]",Female,39,46,90,108,0.848,0.833,1.017,0.270
22,"(24, 34]","(22, 27]",Male,66,66,165,196,1.000,0.842,1.188,0.249
23,"(24, 34]","(27, 32]",Female,27,33,104,120,0.818,0.867,0.944,0.280
24,"(24, 34]","(27, 32]",Male,52,36,118,120,1.444,0.983,1.469,0.378
25,"(24, 34]","(32, 37]",Female,16,11,86,77,1.455,1.117,1.302,0.553
26,"(24, 34]","(32, 37]",Male,25,12,51,46,2.083,1.109,1.879,0.768
27,"(24, 34]","(37, 42]",Female,9,13,30,36,0.692,0.833,0.831,0.417
28,"(24, 34]","(37, 42]",Male,15,5,30,33,3.000,0.909,3.300,1.904
29,"(24, 34]","(42, 47]",Female,16,3,31,22,5.333,1.409,3.785,2.611
30,"(24, 34]","(42, 47]",Male,10,4,22,17,2.500,1.294,1.932,1.306
31,"(24, 34]","(47, 52]",Female,11,7,18,5,1.571,3.600,0.437,0.306
32,"(24, 34]","(47, 52]",Male,6,4,11,8,1.500,1.375,1.091,0.869
33,"(24, 34]","(52, 57]",Female,14,6,9,8,2.333,1.125,2.074,1.432
34,"(24, 34]","(57, 62]",Female,8,2,7,3,4.000,2.333,1.714,1.801
35,"(24, 34]","(72, 77]",Female,3,2,1,1,1.500,1.000,1.500,2.526
36,"(34, 54]","(15, 22]",Female,29,66,11,52,0.439,0.212,2.077,0.837
37,"(34, 54]","(15, 22]",Male,11,18,10,53,0.611,0.189,3.239,1.676
38,"(34, 54]","(22, 27]",Female,23,46,17,42,0.500,0.405,1.235,0.479
39,"(34, 54]","(22, 27]",Male,10,14,27,61,0.714,0.443,1.614,0.769
40,"(34, 54]","(27, 32]",Female,18,36,20,41,0.500,0.488,1.025,0.410
41,"(34, 54]","(27, 32]",Male,22,38,43,63,0.579,0.683,0.848,0.286
42,"(34, 54]","(32, 37]",Female,18,28,48,63,0.643,0.762,0.844,0.305
43,"(34, 54]","(32, 37]",Male,28,28,49,64,1.000,0.766,1.306,0.433
44,"(34, 54]","(37, 42]",Female,25,31,79,101,0.806,0.782,1.031,0.322
45,"(34, 54]","(37, 42]",Male,42,54,45,53,0.778,0.849,0.916,0.269
46,"(34, 54]","(42, 47]",Female,27,31,87,98,0.871,0.888,0.981,0.300
47,"(34, 54]","(42, 47]",Male,41,58,36,42,0.707,0.857,0.825,0.255
48,"(34, 54]","(47, 52]",Female,22,32,98,120,0.688,0.817,0.842,0.263
49,"(34, 54]","(47, 52]",Male,37,34,42,42,1.088,1.000,1.088,0.355
50,"(34, 54]","(52, 57]",Female,21,16,83,64,1.312,1.297,1.012,0.379
51,"(34, 54]","(52, 57]",Male,17,17,20,19,1.000,1.053,0.950,0.448
52,"(34, 54]","(57, 62]",Female,15,15,50,45,1.000,1.111,0.900,0.380
53,"(34, 54]","(57, 62]",Male,14,4,17,12,3.500,1.417,2.471,1.687
54,"(34, 54]","(62, 67]",Female,19,11,25,16,1.727,1.562,1.105,0.551
55,"(34, 54]","(62, 67]",Male,9,3,15,9,3.000,1.667,1.800,1.423
56,"(34, 54]","(67, 72]",Female,23,14,12,9,1.643,1.333,1.232,0.688
57,"(34, 54]","(67, 72]",Male,11,6,14,1,1.833,14.000,0.131,0.151
58,"(34, 54]","(72, 77]",Female,20,9,11,7,2.222,1.571,1.414,0.891
59,"(34, 54]","(72, 77]",Male,9,4,14,3,2.250,4.667,0.482,0.423
60,"(34, 54]","(77, 82]",Female,11,2,10,3,5.500,3.333,1.650,1.672
61,"(34, 54]","(82, 87]",Female,7,1,5,1,7.000,5.000,1.400,2.144
62,"(54, 100]","(15, 22]",Female,12,43,3,25,0.279,0.120,2.326,1.615
63,"(54, 100]","(15, 22]",Male,2,10,8,19,0.200,0.421,0.475,0.420
64,"(54, 100]","(22, 27]",Female,4,51,4,24,0.078,0.167,0.471,0.353
65,"(54, 100]","(22, 27]",Male,1,12,4,16,0.083,0.250,0.333,0.394
66,"(54, 100]","(27, 32]",Female,9,38,1,26,0.237,0.038,6.158,6.685
67,"(54, 100]","(27, 32]",Male,3,12,9,15,0.250,0.600,0.417,0.322
68,"(54, 100]","(32, 37]",Female,7,53,6,22,0.132,0.273,0.484,0.297
69,"(54, 100]","(32, 37]",Male,5,10,7,21,0.500,0.333,1.500,1.053
70,"(54, 100]","(37, 42]",Female,13,60,5,39,0.217,0.128,1.690,0.959
71,"(54, 100]","(37, 42]",Male,12,22,6,16,0.545,0.375,1.455,0.873
72,"(54, 100]","(42, 47]",Female,21,79,15,47,0.266,0.319,0.833,0.323
73,"(54, 100]","(42, 47]",Male,8,28,10,37,0.286,0.270,1.057,0.570
74,"(54, 100]","(47, 52]",Female,25,87,24,76,0.287,0.316,0.910,0.300
75,"(54, 100]","(47, 52]",Male,21,30,9,25,0.700,0.360,1.944,0.942
76,"(54, 100]","(52, 57]",Female,29,140,51,108,0.207,0.472,0.439,0.119
77,"(54, 100]","(52, 57]",Male,36,61,22,36,0.590,0.611,0.966,0.334
78,"(54, 100]","(57, 62]",Female,33,136,101,196,0.243,0.515,0.471,0.111
79,"(54, 100]","(57, 62]",Male,41,77,22,38,0.532,0.579,0.920,0.307
80,"(54, 100]","(62, 67]",Female,43,134,157,223,0.321,0.704,0.456,0.096
81,"(54, 100]","(62, 67]",Male,35,83,21,28,0.422,0.750,0.562,0.200
82,"(54, 100]","(67, 72]",Female,57,126,181,243,0.452,0.745,0.607,0.118
83,"(54, 100]","(67, 72]",Male,57,119,14,36,0.479,0.389,1.232,0.440
84,"(54, 100]","(72, 77]",Female,57,149,272,351,0.383,0.775,0.494,0.090
85,"(54, 100]","(72, 77]",Male,58,167,31,37,0.347,0.838,0.415,0.121
86,"(54, 100]","(77, 82]",Female,94,137,354,448,0.686,0.790,0.868,0.139
87,"(54, 100]","(77, 82]",Male,83,190,27,28,0.437,0.964,0.453,0.138
88,"(54, 100]","(82, 87]",Female,72,91,321,424,0.791,0.757,1.045,0.189
89,"(54, 100]","(82, 87]",Male,51,127,21,26,0.402,0.808,0.497,0.169
90,"(54, 100]","(87, 92]",Female,31,37,161,178,0.838,0.904,0.926,0.251
91,"(54, 100]","(87, 92]",Male,22,34,11,8,0.647,1.375,0.471,0.255
92,"(54, 100]","(92, 97]",Female,5,6,34,37,0.833,0.919,0.907,0.592
