,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,7,3,2,3,2.333,0.667,3.500,4.009
1,"(15, 24]","(0, 5]",Male,1,2,5,2,0.500,2.500,0.200,0.297
2,"(15, 24]","(5, 10]",Female,10,5,9,7,2.000,1.286,1.556,1.160
3,"(15, 24]","(5, 10]",Male,3,2,4,4,1.500,1.000,1.500,1.734
4,"(15, 24]","(10, 15]",Female,65,46,21,28,1.413,0.750,1.884,0.661
5,"(15, 24]","(10, 15]",Male,65,47,94,74,1.383,1.270,1.089,0.274
6,"(15, 24]","(15, 20]",Female,245,242,128,150,1.012,0.853,1.186,0.188
7,"(15, 24]","(15, 20]",Male,389,317,684,682,1.227,1.003,1.224,0.129
8,"(15, 24]","(20, 25]",Female,112,104,121,124,1.077,0.976,1.104,0.213
9,"(15, 24]","(20, 25]",Male,191,167,401,420,1.144,0.955,1.198,0.163
10,"(15, 24]","(25, 30]",Female,28,16,34,38,1.750,0.895,1.956,0.774
11,"(15, 24]","(25, 30]",Male,28,24,102,69,1.167,1.478,0.789,0.255
12,"(15, 24]","(30, 35]",Female,8,6,11,13,1.333,0.846,1.576,1.071
13,"(15, 24]","(30, 35]",Male,20,12,23,21,1.667,1.095,1.522,0.725
14,"(15, 24]","(35, 40]",Female,7,9,5,6,0.778,0.833,0.933,0.737
15,"(15, 24]","(35, 40]",Male,17,7,26,3,2.429,8.667,0.280,0.213
16,"(15, 24]","(40, 45]",Female,25,14,4,3,1.786,1.333,1.339,1.118
17,"(15, 24]","(40, 45]",Male,20,4,25,6,5.000,4.167,1.200,0.856
18,"(15, 24]","(45, 50]",Female,24,12,6,4,2.000,1.500,1.333,0.984
19,"(15, 24]","(45, 50]",Male,11,6,18,5,1.833,3.600,0.509,0.366
20,"(15, 24]","(50, 55]",Female,28,8,8,2,3.500,4.000,0.875,0.777
21,"(15, 24]","(50, 55]",Male,14,3,14,3,4.667,4.667,1.000,0.901
22,"(15, 24]","(55, 60]",Female,15,6,2,2,2.500,1.000,2.500,2.779
23,"(15, 24]","(55, 60]",Male,11,2,7,3,5.500,2.333,2.357,2.438
24,"(15, 24]","(60, 65]",Male,4,1,7,3,4.000,2.333,1.714,2.254
25,"(15, 24]","(75, 80]",Male,4,1,4,1,4.000,4.000,1.000,1.582
26,"(24, 34]","(0, 5]",Female,6,3,6,6,2.000,1.000,2.000,1.828
27,"(24, 34]","(0, 5]",Male,3,1,6,3,3.000,2.000,1.500,2.032
28,"(24, 34]","(5, 10]",Female,19,10,11,10,1.900,1.100,1.727,1.016
29,"(24, 34]","(5, 10]",Male,8,4,14,9,2.000,1.556,1.286,0.962
30,"(24, 34]","(10, 15]",Female,17,22,14,15,0.773,0.933,0.828,0.410
31,"(24, 34]","(10, 15]",Male,7,5,13,17,1.400,0.765,1.831,1.270
32,"(24, 34]","(15, 20]",Female,12,13,6,14,0.923,0.429,2.154,1.364
33,"(24, 34]","(15, 20]",Male,41,34,42,53,1.206,0.792,1.522,0.479
34,"(24, 34]","(20, 25]",Female,31,29,22,35,1.069,0.629,1.701,0.644
35,"(24, 34]","(20, 25]",Male,144,111,142,162,1.297,0.877,1.480,0.263
36,"(24, 34]","(25, 30]",Female,40,35,49,57,1.143,0.860,1.329,0.408
37,"(24, 34]","(25, 30]",Male,154,144,147,148,1.069,0.993,1.077,0.185
38,"(24, 34]","(30, 35]",Female,24,25,39,41,0.960,0.951,1.009,0.370
39,"(24, 34]","(30, 35]",Male,82,63,92,67,1.302,1.373,0.948,0.225
40,"(24, 34]","(35, 40]",Female,13,8,23,24,1.625,0.958,1.696,0.912
41,"(24, 34]","(35, 40]",Male,27,18,56,42,1.500,1.333,1.125,0.416
42,"(24, 34]","(40, 45]",Female,15,11,14,4,1.364,3.500,0.390,0.270
43,"(24, 34]","(40, 45]",Male,23,9,24,20,2.556,1.200,2.130,1.062
44,"(24, 34]","(45, 50]",Female,15,7,6,3,2.143,2.000,1.071,0.904
45,"(24, 34]","(45, 50]",Male,15,5,16,7,3.000,2.286,1.312,0.904
46,"(24, 34]","(50, 55]",Female,30,6,7,3,5.000,2.333,2.143,1.765
47,"(24, 34]","(50, 55]",Male,10,3,20,10,3.333,2.000,1.667,1.276
48,"(24, 34]","(55, 60]",Female,23,4,7,1,5.750,7.000,0.821,0.985
49,"(24, 34]","(55, 60]",Male,12,3,17,6,4.000,2.833,1.412,1.134
50,"(24, 34]","(60, 65]",Female,18,3,1,1,6.000,1.000,6.000,9.278
51,"(24, 34]","(65, 70]",Female,10,1,5,2,10.000,2.500,4.000,5.370
52,"(24, 34]","(65, 70]",Male,7,1,3,1,7.000,3.000,2.333,3.674
53,"(24, 34]","(75, 80]",Male,4,1,2,1,4.000,2.000,2.000,3.318
54,"(24, 34]","(80, 85]",Female,6,1,2,1,6.000,2.000,3.000,4.901
55,"(34, 54]","(0, 5]",Female,4,2,5,3,2.000,1.667,1.200,1.361
56,"(34, 54]","(0, 5]",Male,4,2,1,3,2.000,0.333,6.000,8.665
57,"(34, 54]","(5, 10]",Female,16,24,8,17,0.667,0.471,1.417,0.764
58,"(34, 54]","(5, 10]",Male,12,11,9,11,1.091,0.818,1.333,0.821
59,"(34, 54]","(10, 15]",Female,34,70,21,61,0.486,0.344,1.411,0.468
60,"(34, 54]","(10, 15]",Male,13,22,22,43,0.591,0.512,1.155,0.508
61,"(34, 54]","(15, 20]",Female,27,56,12,43,0.482,0.279,1.728,0.700
62,"(34, 54]","(15, 20]",Male,19,22,21,40,0.864,0.525,1.645,0.685
63,"(34, 54]","(20, 25]",Female,17,28,12,15,0.607,0.800,0.759,0.377
64,"(34, 54]","(20, 25]",Male,35,37,25,49,0.946,0.510,1.854,0.638
65,"(34, 54]","(25, 30]",Female,13,24,8,22,0.542,0.364,1.490,0.804
66,"(34, 54]","(25, 30]",Male,47,66,46,51,0.712,0.902,0.790,0.224
67,"(34, 54]","(30, 35]",Female,20,28,14,26,0.714,0.538,1.327,0.590
68,"(34, 54]","(30, 35]",Male,66,59,37,46,1.119,0.804,1.391,0.402
69,"(34, 54]","(35, 40]",Female,21,25,40,38,0.840,1.053,0.798,0.300
70,"(34, 54]","(35, 40]",Male,90,94,54,50,0.957,1.080,0.887,0.222
71,"(34, 54]","(40, 45]",Female,41,25,41,41,1.640,1.000,1.640,0.558
72,"(34, 54]","(40, 45]",Male,108,92,43,41,1.174,1.049,1.119,0.297
73,"(34, 54]","(45, 50]",Female,36,19,41,28,1.895,1.464,1.294,0.489
74,"(34, 54]","(45, 50]",Male,111,87,41,29,1.276,1.414,0.902,0.258
75,"(34, 54]","(50, 55]",Female,33,23,51,41,1.435,1.244,1.153,0.400
76,"(34, 54]","(50, 55]",Male,75,53,39,32,1.415,1.219,1.161,0.351
77,"(34, 54]","(55, 60]",Female,29,7,26,21,4.143,1.238,3.346,1.726
78,"(34, 54]","(55, 60]",Male,34,26,21,10,1.308,2.100,0.623,0.291
79,"(34, 54]","(60, 65]",Female,37,19,18,11,1.947,1.636,1.190,0.569
80,"(34, 54]","(60, 65]",Male,20,8,17,7,2.500,2.429,1.029,0.634
81,"(34, 54]","(65, 70]",Female,49,6,11,4,8.167,2.750,2.970,2.163
82,"(34, 54]","(65, 70]",Male,31,4,14,6,7.750,2.333,3.321,2.402
83,"(34, 54]","(70, 75]",Female,49,15,10,4,3.267,2.500,1.307,0.866
84,"(34, 54]","(70, 75]",Male,33,8,11,4,4.125,2.750,1.500,1.059
85,"(34, 54]","(75, 80]",Female,47,11,21,8,4.273,2.625,1.628,0.872
86,"(34, 54]","(75, 80]",Male,31,8,13,3,3.875,4.333,0.894,0.675
87,"(34, 54]","(80, 85]",Male,31,6,9,1,5.167,9.000,0.574,0.658
88,"(34, 54]","(85, 90]",Female,28,5,7,1,5.600,7.000,0.800,0.940
89,"(34, 54]","(85, 90]",Male,16,4,11,1,4.000,11.000,0.364,0.431
90,"(34, 54]","(90, 95]",Female,12,1,2,1,12.000,2.000,6.000,9.648
91,"(54, 100]","(5, 10]",Female,5,18,5,19,0.278,0.263,1.056,0.754
