,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.716,0.836,3.000
1,"(5, 10]",1.445,0.355,8.000
2,"(10, 15]",1.234,0.179,13.000
3,"(15, 20]",1.268,0.101,18.000
4,"(20, 25]",1.291,0.111,23.000
5,"(25, 30]",1.110,0.125,28.000
6,"(30, 35]",1.145,0.160,33.000
7,"(35, 40]",0.850,0.133,38.000
8,"(40, 45]",1.340,0.211,43.000
9,"(45, 50]",1.086,0.184,48.000
10,"(50, 55]",1.257,0.210,53.000
11,"(55, 60]",1.397,0.257,58.000
12,"(60, 65]",1.066,0.198,63.000
13,"(65, 70]",1.265,0.257,68.000
14,"(70, 75]",0.889,0.155,73.000
15,"(75, 80]",1.004,0.160,78.000
16,"(80, 85]",0.970,0.155,83.000
17,"(85, 90]",0.729,0.132,88.000
18,"(90, 95]",1.236,0.432,93.000
19,"(95, 100]",1.150,1.475,98.000
