,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,171,183,310,331,0.934,0.937,0.998,0.141
1,"(15, 24]","(15, 22]",Male,144,126,983,1025,1.143,0.959,1.192,0.166
2,"(15, 24]","(22, 27]",Female,38,37,130,162,1.027,0.802,1.280,0.338
3,"(15, 24]","(22, 27]",Male,40,27,298,294,1.481,1.014,1.462,0.390
4,"(15, 24]","(27, 32]",Female,8,8,47,64,1.000,0.734,1.362,0.733
5,"(15, 24]","(27, 32]",Male,9,5,97,67,1.800,1.448,1.243,0.724
6,"(15, 24]","(32, 37]",Female,10,2,18,14,5.000,1.286,3.889,3.321
7,"(15, 24]","(32, 37]",Male,2,3,31,20,0.667,1.550,0.430,0.412
8,"(15, 24]","(37, 42]",Female,6,7,15,9,0.857,1.667,0.514,0.360
9,"(15, 24]","(42, 47]",Female,9,5,6,3,1.800,2.000,0.900,0.812
10,"(15, 24]","(42, 47]",Male,4,2,12,6,2.000,2.000,1.000,1.001
11,"(15, 24]","(47, 52]",Male,5,1,12,5,5.000,2.400,2.083,2.539
12,"(24, 34]","(15, 22]",Female,15,19,22,39,0.789,0.564,1.400,0.615
13,"(24, 34]","(15, 22]",Male,36,35,85,100,1.029,0.850,1.210,0.344
14,"(24, 34]","(22, 27]",Female,32,28,71,95,1.143,0.747,1.529,0.469
15,"(24, 34]","(22, 27]",Male,56,45,189,235,1.244,0.804,1.547,0.353
16,"(24, 34]","(27, 32]",Female,22,25,82,89,0.880,0.921,0.955,0.319
17,"(24, 34]","(27, 32]",Male,29,24,139,156,1.208,0.891,1.356,0.412
18,"(24, 34]","(32, 37]",Female,13,12,52,57,1.083,0.912,1.188,0.530
19,"(24, 34]","(32, 37]",Male,20,8,67,61,2.500,1.098,2.276,1.040
20,"(24, 34]","(37, 42]",Female,5,5,22,25,1.000,0.880,1.136,0.794
21,"(24, 34]","(37, 42]",Male,12,8,20,20,1.500,1.000,1.500,0.836
22,"(24, 34]","(42, 47]",Female,2,3,16,10,0.667,1.600,0.417,0.416
23,"(24, 34]","(42, 47]",Male,5,4,20,10,1.250,2.000,0.625,0.485
24,"(24, 34]","(47, 52]",Female,4,1,6,2,4.000,3.000,1.333,1.847
25,"(24, 34]","(47, 52]",Male,2,2,15,6,1.000,2.500,0.400,0.445
26,"(24, 34]","(52, 57]",Male,4,1,7,3,4.000,2.333,1.714,2.254
27,"(24, 34]","(57, 62]",Female,5,1,3,1,5.000,3.000,1.667,2.654
28,"(24, 34]","(57, 62]",Male,3,2,4,2,1.500,2.000,0.750,0.944
29,"(34, 54]","(15, 22]",Female,7,15,4,21,0.467,0.190,2.450,1.749
30,"(34, 54]","(15, 22]",Male,3,6,25,50,0.500,0.500,1.000,0.750
31,"(34, 54]","(22, 27]",Female,5,14,17,23,0.357,0.739,0.483,0.296
32,"(34, 54]","(22, 27]",Male,8,8,40,62,1.000,0.645,1.550,0.840
33,"(34, 54]","(27, 32]",Female,12,12,19,37,1.000,0.514,1.947,0.971
34,"(34, 54]","(27, 32]",Male,16,20,47,53,0.800,0.887,0.902,0.355
35,"(34, 54]","(32, 37]",Female,8,11,31,37,0.727,0.838,0.868,0.457
36,"(34, 54]","(32, 37]",Male,18,20,44,66,0.900,0.667,1.350,0.516
37,"(34, 54]","(37, 42]",Female,9,5,39,60,1.800,0.650,2.769,1.652
38,"(34, 54]","(37, 42]",Male,30,27,42,58,1.111,0.724,1.534,0.518
39,"(34, 54]","(42, 47]",Female,5,12,39,47,0.417,0.830,0.502,0.290
40,"(34, 54]","(42, 47]",Male,12,18,46,41,0.667,1.122,0.594,0.257
41,"(34, 54]","(47, 52]",Female,1,6,30,28,0.167,1.071,0.156,0.173
42,"(34, 54]","(47, 52]",Male,11,9,25,24,1.222,1.042,1.173,0.628
43,"(34, 54]","(52, 57]",Female,6,7,20,19,0.857,1.053,0.814,0.524
44,"(34, 54]","(52, 57]",Male,8,6,13,13,1.333,1.000,1.333,0.892
45,"(34, 54]","(57, 62]",Female,3,3,11,11,1.000,1.000,1.000,0.922
46,"(34, 54]","(57, 62]",Male,3,4,7,7,0.750,1.000,0.750,0.700
47,"(34, 54]","(62, 67]",Male,2,3,10,8,0.667,1.250,0.533,0.549
48,"(34, 54]","(72, 77]",Male,3,1,3,1,3.000,3.000,1.000,1.634
49,"(54, 100]","(15, 22]",Male,2,5,2,9,0.400,0.222,1.800,2.063
50,"(54, 100]","(22, 27]",Female,2,4,1,3,0.500,0.333,1.500,2.166
51,"(54, 100]","(22, 27]",Male,1,1,2,7,1.000,0.286,3.500,5.693
52,"(54, 100]","(27, 32]",Male,4,4,1,10,1.000,0.100,10.000,12.659
53,"(54, 100]","(32, 37]",Female,1,6,1,7,0.167,0.143,1.167,1.774
54,"(54, 100]","(37, 42]",Female,3,8,3,7,0.375,0.429,0.875,0.847
55,"(54, 100]","(37, 42]",Male,3,4,3,13,0.750,0.231,3.250,3.244
56,"(54, 100]","(42, 47]",Female,3,10,2,7,0.300,0.286,1.050,1.091
57,"(54, 100]","(42, 47]",Male,4,6,2,7,0.667,0.286,2.333,2.405
58,"(54, 100]","(47, 52]",Female,5,14,7,15,0.357,0.467,0.765,0.532
59,"(54, 100]","(47, 52]",Male,1,6,5,17,0.167,0.294,0.567,0.677
60,"(54, 100]","(52, 57]",Female,3,13,13,19,0.231,0.684,0.337,0.248
61,"(54, 100]","(52, 57]",Male,4,11,8,15,0.364,0.533,0.682,0.499
62,"(54, 100]","(57, 62]",Female,6,17,18,26,0.353,0.692,0.510,0.289
63,"(54, 100]","(57, 62]",Male,6,13,5,4,0.462,1.250,0.369,0.308
64,"(54, 100]","(62, 67]",Female,5,13,18,27,0.385,0.667,0.577,0.352
65,"(54, 100]","(62, 67]",Male,5,8,5,8,0.625,0.625,1.000,0.808
66,"(54, 100]","(67, 72]",Female,6,14,31,33,0.429,0.939,0.456,0.251
67,"(54, 100]","(67, 72]",Male,7,12,2,6,0.583,0.333,1.750,1.656
68,"(54, 100]","(72, 77]",Female,9,12,36,48,0.750,0.750,1.000,0.496
69,"(54, 100]","(72, 77]",Male,7,14,8,7,0.500,1.143,0.438,0.305
70,"(54, 100]","(77, 82]",Female,11,11,42,43,1.000,0.977,1.024,0.492
71,"(54, 100]","(77, 82]",Male,14,22,7,7,0.636,1.000,0.636,0.405
72,"(54, 100]","(82, 87]",Female,5,10,35,43,0.500,0.814,0.614,0.366
73,"(54, 100]","(82, 87]",Male,8,11,6,4,0.727,1.500,0.485,0.386
74,"(54, 100]","(87, 92]",Female,2,1,25,25,2.000,1.000,2.000,2.516
75,"(54, 100]","(92, 97]",Female,2,1,3,1,2.000,3.000,0.667,1.123
