,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.131,0.102,19.000
1,"(22, 27]",1.402,0.174,25.000
2,"(27, 32]",1.241,0.203,30.000
3,"(32, 37]",1.374,0.286,35.000
4,"(37, 42]",1.455,0.318,40.000
5,"(42, 47]",0.681,0.175,45.000
6,"(47, 52]",0.803,0.267,50.000
7,"(52, 57]",0.776,0.260,55.000
8,"(57, 62]",0.615,0.219,60.000
9,"(62, 67]",0.670,0.295,65.000
10,"(67, 72]",0.641,0.305,70.000
11,"(72, 77]",0.770,0.302,75.000
12,"(77, 82]",0.861,0.331,80.000
13,"(82, 87]",0.564,0.269,85.000
14,"(87, 92]",2.000,2.516,90.000
15,"(92, 97]",0.667,1.123,95.000
