,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,3,6,4,3,0.500,1.333,0.375,0.391
1,"(15, 24]","(5, 10]",Female,1,2,3,1,0.500,3.000,0.167,0.281
2,"(15, 24]","(10, 15]",Female,6,8,2,3,0.750,0.667,1.125,1.195
3,"(15, 24]","(10, 15]",Male,17,17,26,24,1.000,1.083,0.923,0.413
4,"(15, 24]","(15, 20]",Female,21,33,23,28,0.636,0.821,0.775,0.310
5,"(15, 24]","(15, 20]",Male,64,70,154,186,0.914,0.828,1.104,0.232
6,"(15, 24]","(20, 25]",Female,11,16,15,13,0.688,1.154,0.596,0.326
7,"(15, 24]","(20, 25]",Male,10,12,77,90,0.833,0.856,0.974,0.446
8,"(15, 24]","(25, 30]",Male,1,3,13,23,0.333,0.565,0.590,0.712
9,"(15, 24]","(30, 35]",Female,1,1,3,1,1.000,3.000,0.333,0.609
10,"(15, 24]","(35, 40]",Female,1,1,1,1,1.000,1.000,1.000,2.001
11,"(15, 24]","(35, 40]",Male,2,1,4,1,2.000,4.000,0.500,0.830
12,"(24, 34]","(0, 5]",Female,1,6,5,6,0.167,0.833,0.200,0.248
13,"(24, 34]","(0, 5]",Male,5,2,7,4,2.500,1.750,1.429,1.495
14,"(24, 34]","(5, 10]",Female,5,3,5,8,1.667,0.625,2.667,2.474
15,"(24, 34]","(5, 10]",Male,2,5,3,5,0.400,0.600,0.667,0.741
16,"(24, 34]","(10, 15]",Female,3,9,3,7,0.333,0.429,0.778,0.747
17,"(24, 34]","(15, 20]",Female,4,6,2,3,0.667,0.667,1.000,1.119
18,"(24, 34]","(15, 20]",Male,4,7,16,22,0.571,0.727,0.786,0.557
19,"(24, 34]","(20, 25]",Female,5,3,1,3,1.667,0.333,5.000,6.836
20,"(24, 34]","(20, 25]",Male,9,8,35,31,1.125,1.129,0.996,0.545
21,"(24, 34]","(25, 30]",Female,3,4,2,4,0.750,0.500,1.500,1.734
22,"(24, 34]","(25, 30]",Male,6,11,22,19,0.545,1.158,0.471,0.282
23,"(24, 34]","(30, 35]",Male,5,5,8,11,1.000,0.727,1.375,1.081
24,"(24, 34]","(35, 40]",Male,2,2,5,2,1.000,2.500,0.400,0.522
25,"(24, 34]","(40, 45]",Male,2,1,3,3,2.000,1.000,2.000,2.946
26,"(34, 54]","(0, 5]",Male,1,3,1,3,0.333,0.333,1.000,1.634
27,"(34, 54]","(5, 10]",Female,2,6,1,5,0.333,0.200,1.667,2.279
28,"(34, 54]","(5, 10]",Male,2,6,4,8,0.333,0.500,0.667,0.681
29,"(34, 54]","(10, 15]",Male,3,4,3,6,0.750,0.500,1.500,1.563
30,"(34, 54]","(15, 20]",Female,4,5,5,8,0.800,0.625,1.280,1.129
31,"(34, 54]","(15, 20]",Male,1,3,3,9,0.333,0.333,1.000,1.334
32,"(34, 54]","(20, 25]",Male,2,4,6,10,0.500,0.600,0.833,0.841
33,"(34, 54]","(25, 30]",Male,1,1,2,4,1.000,0.500,2.000,3.318
34,"(34, 54]","(30, 35]",Male,2,4,8,6,0.500,1.333,0.375,0.383
35,"(34, 54]","(35, 40]",Male,5,2,7,6,2.500,1.167,2.143,2.156
36,"(34, 54]","(40, 45]",Male,5,3,4,5,1.667,0.800,2.083,2.069
37,"(34, 54]","(45, 50]",Male,2,3,5,3,0.667,1.667,0.400,0.468
38,"(54, 100]","(30, 35]",Male,1,3,2,3,0.333,0.667,0.500,0.736
39,"(54, 100]","(45, 50]",Male,1,1,2,1,1.000,2.000,0.500,0.936
40,"(54, 100]","(75, 80]",Male,2,3,2,1,0.667,2.000,0.333,0.509
