,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,11,4,4,4,2.750,1.000,2.750,2.526
1,"(15, 24]","(5, 10]",Female,3,2,1,1,1.500,1.000,1.500,2.526
2,"(15, 24]","(10, 15]",Female,13,16,7,8,0.812,0.875,0.929,0.594
3,"(15, 24]","(10, 15]",Male,36,30,74,62,1.200,1.194,1.005,0.307
4,"(15, 24]","(15, 20]",Female,137,129,72,92,1.062,0.783,1.357,0.279
5,"(15, 24]","(15, 20]",Male,277,253,734,713,1.095,1.029,1.064,0.120
6,"(15, 24]","(20, 25]",Female,74,71,76,83,1.042,0.916,1.138,0.268
7,"(15, 24]","(20, 25]",Male,162,138,537,499,1.174,1.076,1.091,0.153
8,"(15, 24]","(25, 30]",Female,15,16,32,36,0.938,0.889,1.055,0.461
9,"(15, 24]","(25, 30]",Male,37,26,103,78,1.423,1.321,1.078,0.324
10,"(15, 24]","(30, 35]",Female,4,5,10,7,0.800,1.429,0.560,0.467
11,"(15, 24]","(30, 35]",Male,15,12,44,34,1.250,1.294,0.966,0.437
12,"(15, 24]","(35, 40]",Female,7,6,1,3,1.167,0.333,3.500,4.490
13,"(15, 24]","(35, 40]",Male,8,3,34,14,2.667,2.429,1.098,0.823
14,"(15, 24]","(40, 45]",Female,9,2,4,1,4.500,4.000,1.125,1.536
15,"(15, 24]","(40, 45]",Male,13,5,17,9,2.600,1.889,1.376,0.923
16,"(15, 24]","(45, 50]",Male,3,1,11,5,3.000,2.200,1.364,1.739
17,"(15, 24]","(80, 85]",Male,2,1,1,1,2.000,1.000,2.000,3.743
18,"(24, 34]","(0, 5]",Female,4,6,9,6,0.667,1.500,0.444,0.371
19,"(24, 34]","(0, 5]",Male,3,3,10,3,1.000,3.333,0.300,0.315
20,"(24, 34]","(5, 10]",Female,8,9,8,10,0.889,0.800,1.111,0.757
21,"(24, 34]","(10, 15]",Female,10,7,4,9,1.429,0.444,3.214,2.503
22,"(24, 34]","(10, 15]",Male,3,4,11,10,0.750,1.100,0.682,0.601
23,"(24, 34]","(15, 20]",Female,7,10,7,12,0.700,0.583,1.200,0.824
24,"(24, 34]","(15, 20]",Male,37,38,54,73,0.974,0.740,1.316,0.391
25,"(24, 34]","(20, 25]",Female,29,25,25,25,1.160,1.000,1.160,0.460
26,"(24, 34]","(20, 25]",Male,142,115,184,207,1.235,0.889,1.389,0.235
27,"(24, 34]","(25, 30]",Female,25,26,31,44,0.962,0.705,1.365,0.503
28,"(24, 34]","(25, 30]",Male,111,88,195,169,1.261,1.154,1.093,0.201
29,"(24, 34]","(30, 35]",Female,18,15,21,26,1.200,0.808,1.486,0.682
30,"(24, 34]","(30, 35]",Male,54,41,85,72,1.317,1.181,1.116,0.297
31,"(24, 34]","(35, 40]",Female,6,9,9,7,0.667,1.286,0.519,0.379
32,"(24, 34]","(35, 40]",Male,25,18,48,44,1.389,1.091,1.273,0.479
33,"(24, 34]","(40, 45]",Female,4,6,8,11,0.667,0.727,0.917,0.731
34,"(24, 34]","(40, 45]",Male,14,7,29,24,2.000,1.208,1.655,0.896
35,"(24, 34]","(45, 50]",Female,7,1,6,5,7.000,1.200,5.833,7.173
36,"(24, 34]","(45, 50]",Male,8,5,13,9,1.600,1.444,1.108,0.795
37,"(24, 34]","(50, 55]",Female,3,2,6,2,1.500,3.000,0.500,0.613
38,"(24, 34]","(50, 55]",Male,6,2,11,7,3.000,1.571,1.909,1.814
39,"(24, 34]","(60, 65]",Male,2,1,2,1,2.000,2.000,1.000,1.733
40,"(34, 54]","(0, 5]",Female,2,2,2,2,1.000,1.000,1.000,1.415
41,"(34, 54]","(5, 10]",Female,5,2,8,7,2.500,1.143,2.188,2.155
42,"(34, 54]","(5, 10]",Male,1,4,5,5,0.250,1.000,0.250,0.321
43,"(34, 54]","(10, 15]",Female,9,16,7,12,0.562,0.583,0.964,0.612
44,"(34, 54]","(10, 15]",Male,5,6,11,18,0.833,0.611,1.364,0.979
45,"(34, 54]","(15, 20]",Female,8,15,4,10,0.533,0.400,1.333,0.984
46,"(34, 54]","(15, 20]",Male,9,13,10,21,0.692,0.476,1.454,0.845
47,"(34, 54]","(20, 25]",Female,5,9,1,9,0.556,0.111,5.000,5.968
48,"(34, 54]","(20, 25]",Male,18,24,30,46,0.750,0.652,1.150,0.452
49,"(34, 54]","(25, 30]",Female,8,10,8,15,0.800,0.533,1.500,0.971
50,"(34, 54]","(25, 30]",Male,28,30,25,41,0.933,0.610,1.531,0.564
51,"(34, 54]","(30, 35]",Female,8,11,15,18,0.727,0.833,0.873,0.509
52,"(34, 54]","(30, 35]",Male,31,37,54,61,0.838,0.885,0.946,0.294
53,"(34, 54]","(35, 40]",Female,13,12,16,18,1.083,0.889,1.219,0.646
54,"(34, 54]","(35, 40]",Male,58,46,50,44,1.261,1.136,1.110,0.322
55,"(34, 54]","(40, 45]",Female,6,3,17,23,2.000,0.739,2.706,2.104
56,"(34, 54]","(40, 45]",Male,50,46,58,52,1.087,1.115,0.975,0.277
57,"(34, 54]","(45, 50]",Female,11,4,20,16,2.750,1.250,2.200,1.485
58,"(34, 54]","(45, 50]",Male,42,27,29,22,1.556,1.318,1.180,0.447
59,"(34, 54]","(50, 55]",Female,4,2,15,13,2.000,1.154,1.733,1.641
60,"(34, 54]","(50, 55]",Male,16,18,24,18,0.889,1.333,0.667,0.311
61,"(34, 54]","(55, 60]",Female,3,2,6,2,1.500,3.000,0.500,0.613
62,"(34, 54]","(55, 60]",Male,10,7,18,7,1.429,2.571,0.556,0.370
63,"(34, 54]","(60, 65]",Female,5,3,4,2,1.667,2.000,0.833,0.945
64,"(34, 54]","(60, 65]",Male,7,2,12,3,3.500,4.000,0.875,0.902
65,"(34, 54]","(65, 70]",Female,6,2,3,2,3.000,1.500,2.000,2.452
66,"(34, 54]","(65, 70]",Male,2,1,5,2,2.000,2.500,0.800,1.187
67,"(34, 54]","(70, 75]",Female,10,3,1,1,3.333,1.000,3.333,5.202
68,"(34, 54]","(70, 75]",Male,7,1,3,1,7.000,3.000,2.333,3.674
69,"(34, 54]","(80, 85]",Male,3,1,3,1,3.000,3.000,1.000,1.634
70,"(54, 100]","(20, 25]",Male,3,5,1,6,0.600,0.167,3.600,4.697
71,"(54, 100]","(30, 35]",Male,5,7,4,6,0.714,0.667,1.071,0.935
72,"(54, 100]","(35, 40]",Male,1,3,6,7,0.333,0.857,0.389,0.499
73,"(54, 100]","(40, 45]",Female,2,4,6,5,0.500,1.200,0.417,0.441
74,"(54, 100]","(40, 45]",Male,9,11,4,5,0.818,0.800,1.023,0.827
75,"(54, 100]","(45, 50]",Female,2,6,3,2,0.333,1.500,0.222,0.272
76,"(54, 100]","(45, 50]",Male,8,7,6,12,1.143,0.500,2.286,1.649
77,"(54, 100]","(50, 55]",Female,2,1,2,2,2.000,1.000,2.000,3.164
78,"(54, 100]","(50, 55]",Male,14,18,9,11,0.778,0.818,0.951,0.547
79,"(54, 100]","(55, 60]",Female,5,4,5,4,1.250,1.250,1.000,0.950
80,"(54, 100]","(55, 60]",Male,25,23,11,10,1.087,1.100,0.988,0.520
81,"(54, 100]","(60, 65]",Female,4,6,7,8,0.667,0.875,0.762,0.632
82,"(54, 100]","(60, 65]",Male,25,22,6,4,1.136,1.500,0.758,0.538
83,"(54, 100]","(65, 70]",Female,7,4,8,7,1.750,1.143,1.531,1.247
84,"(54, 100]","(65, 70]",Male,30,23,7,5,1.304,1.400,0.932,0.605
85,"(54, 100]","(70, 75]",Female,14,4,13,5,3.500,2.600,1.346,1.043
86,"(54, 100]","(70, 75]",Male,40,34,2,6,1.176,0.333,3.529,3.002
87,"(54, 100]","(75, 80]",Female,10,8,16,5,1.250,3.200,0.391,0.273
88,"(54, 100]","(75, 80]",Male,52,51,8,6,1.020,1.333,0.765,0.441
89,"(54, 100]","(80, 85]",Female,12,7,21,13,1.714,1.615,1.061,0.631
90,"(54, 100]","(80, 85]",Male,43,34,3,2,1.265,1.500,0.843,0.795
91,"(54, 100]","(85, 90]",Female,19,6,15,8,3.167,1.875,1.689,1.086
92,"(54, 100]","(85, 90]",Male,31,23,2,2,1.348,1.000,1.348,1.400
93,"(54, 100]","(90, 95]",Female,11,4,5,5,2.750,1.000,2.750,2.371
