,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,4,3,3,2,1.333,1.500,0.889,1.059
1,"(15, 24]","(0, 5]",Male,2,1,7,5,2.000,1.400,1.429,1.941
2,"(15, 24]","(10, 15]",Female,9,8,5,10,1.125,0.500,2.250,1.651
3,"(15, 24]","(10, 15]",Male,16,20,22,20,0.800,1.100,0.727,0.334
4,"(15, 24]","(15, 20]",Female,25,37,22,25,0.676,0.880,0.768,0.302
5,"(15, 24]","(15, 20]",Male,80,81,177,220,0.988,0.805,1.228,0.238
6,"(15, 24]","(20, 25]",Female,15,17,14,17,0.882,0.824,1.071,0.544
7,"(15, 24]","(20, 25]",Male,19,20,108,117,0.950,0.923,1.029,0.361
8,"(15, 24]","(25, 30]",Female,2,1,8,4,2.000,2.000,1.000,1.370
9,"(15, 24]","(25, 30]",Male,9,5,21,23,1.800,0.913,1.971,1.254
10,"(15, 24]","(30, 35]",Male,3,3,11,8,1.000,1.375,0.727,0.684
11,"(15, 24]","(35, 40]",Male,2,1,8,6,2.000,1.333,1.500,2.009
12,"(24, 34]","(0, 5]",Male,5,2,5,4,2.500,1.250,2.000,2.147
13,"(24, 34]","(5, 10]",Female,4,8,4,4,0.500,1.000,0.500,0.468
14,"(24, 34]","(5, 10]",Male,1,3,2,3,0.333,0.667,0.500,0.736
15,"(24, 34]","(15, 20]",Female,4,4,4,9,1.000,0.444,2.250,2.091
16,"(24, 34]","(15, 20]",Male,12,7,13,16,1.714,0.812,2.110,1.280
17,"(24, 34]","(20, 25]",Female,7,7,1,6,1.000,0.167,6.000,7.237
18,"(24, 34]","(20, 25]",Male,10,16,37,41,0.625,0.902,0.693,0.322
19,"(24, 34]","(25, 30]",Female,7,5,5,5,1.400,1.000,1.400,1.209
20,"(24, 34]","(25, 30]",Male,16,12,33,35,1.333,0.943,1.414,0.644
21,"(24, 34]","(30, 35]",Female,4,4,3,2,1.000,1.500,0.667,0.771
22,"(24, 34]","(30, 35]",Male,8,9,14,12,0.889,1.167,0.762,0.478
23,"(24, 34]","(35, 40]",Male,3,2,7,6,1.500,1.167,1.286,1.376
24,"(24, 34]","(40, 45]",Male,2,1,4,6,2.000,0.667,3.000,4.156
25,"(34, 54]","(0, 5]",Female,3,1,2,1,3.000,2.000,1.500,2.526
26,"(34, 54]","(0, 5]",Male,1,3,1,2,0.333,0.500,0.667,1.123
27,"(34, 54]","(5, 10]",Female,3,5,4,7,0.600,0.571,1.050,1.012
28,"(34, 54]","(5, 10]",Male,3,7,5,5,0.429,1.000,0.429,0.402
29,"(34, 54]","(10, 15]",Female,2,8,5,10,0.250,0.500,0.500,0.482
30,"(34, 54]","(10, 15]",Male,1,6,1,2,0.167,0.500,0.333,0.545
31,"(34, 54]","(15, 20]",Female,2,11,1,3,0.182,0.333,0.545,0.757
32,"(34, 54]","(20, 25]",Male,1,1,5,10,1.000,0.500,2.000,3.035
33,"(34, 54]","(25, 30]",Male,3,3,5,11,1.000,0.455,2.200,2.156
34,"(34, 54]","(30, 35]",Male,2,4,6,6,0.500,1.000,0.500,0.521
35,"(34, 54]","(35, 40]",Male,2,2,5,6,1.000,0.833,1.200,1.404
36,"(34, 54]","(40, 45]",Male,2,3,2,8,0.667,0.250,2.667,3.223
37,"(34, 54]","(45, 50]",Male,3,2,4,4,1.500,1.000,1.500,1.734
38,"(34, 54]","(50, 55]",Male,3,4,4,1,0.750,4.000,0.188,0.254
39,"(54, 100]","(15, 20]",Male,1,2,2,4,0.500,0.500,1.000,1.501
40,"(54, 100]","(50, 55]",Male,2,1,1,2,2.000,0.500,4.000,6.931
41,"(54, 100]","(55, 60]",Male,4,3,1,1,1.333,1.000,1.333,2.144
