,Age,R,DeltaR
0,2.5,1.1624025585424091,0.2654812177092757
1,7.5,1.1575532417718892,0.177685270929767
2,12.5,1.084937827668314,0.1014177804196282
3,17.5,1.2115982958626959,0.042046266955900725
4,22.5,1.1995304691287647,0.049560062627285635
5,27.5,1.2128277402180343,0.06532309985591331
6,32.5,1.1889587207700552,0.07568653924068182
7,37.5,1.1152304717098518,0.07716164775464514
8,42.5,1.122310973086588,0.08059526262103398
9,47.5,1.0773922882491314,0.08473748252320218
10,52.5,0.9554645219637431,0.07861237921032548
11,57.5,0.8805013632231846,0.07855077057795107
12,62.5,0.8076600528198536,0.07647696901910946
13,67.5,0.9391021211328774,0.0932031231317101
14,72.5,0.6796604930584722,0.06409682298044739
15,77.5,0.8599910004276888,0.07667059671682756
16,82.5,0.9211505976181674,0.08951906900127594
17,87.5,0.8162110741854409,0.10866851323578566
18,92.5,1.1324496794816066,0.3023286803457308
19,97.5,1.15,1.4754003693913051
