,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.2427482353046513,0.10720015562179686
4,22.5,1.2491342245687496,0.13446871893606444
5,27.5,1.1808811546890963,0.1612951498827156
6,32.5,1.2355763952248862,0.21450297617342404
7,37.5,1.2766789340681715,0.223634199935502
8,42.5,0.8687147556010911,0.17657692097606523
9,47.5,1.0442375605297165,0.26269957623167006
10,52.5,0.8980123225088167,0.3098505891811312
11,57.5,0.7886437710442461,0.3316266971873082
12,62.5,2.383944625405001,2.7954111912880975
13,67.5,0.6986108735857013,0.5450273549773113
14,72.5,0.6666666666666666,0.5617019455892102
15,77.5,1.0895971299547362,1.1719611255513436
16,82.5,1.0,inf
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
