,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,628,606,673,800,1.036,0.841,1.232,0.113
1,"(15, 24]","(15, 22]",Male,486,365,1367,1299,1.332,1.052,1.265,0.119
2,"(15, 24]","(22, 27]",Female,108,84,273,307,1.286,0.889,1.446,0.253
3,"(15, 24]","(22, 27]",Male,85,72,300,212,1.181,1.415,0.834,0.159
4,"(15, 24]","(27, 32]",Female,19,13,79,85,1.462,0.929,1.573,0.622
5,"(15, 24]","(27, 32]",Male,18,7,71,49,2.571,1.449,1.775,0.861
6,"(15, 24]","(32, 37]",Female,27,17,25,31,1.588,0.806,1.969,0.813
7,"(15, 24]","(32, 37]",Male,18,14,38,24,1.286,1.583,0.812,0.361
8,"(15, 24]","(37, 42]",Female,59,32,15,12,1.844,1.250,1.475,0.661
9,"(15, 24]","(37, 42]",Male,44,16,48,18,2.750,2.667,1.031,0.418
10,"(15, 24]","(42, 47]",Female,82,36,22,17,2.278,1.294,1.760,0.674
11,"(15, 24]","(42, 47]",Male,48,15,34,18,3.200,1.889,1.694,0.709
12,"(15, 24]","(47, 52]",Female,44,22,27,11,2.000,2.455,0.815,0.363
13,"(15, 24]","(47, 52]",Male,22,13,43,19,1.692,2.263,0.748,0.335
14,"(15, 24]","(52, 57]",Female,41,17,24,7,2.412,3.429,0.703,0.366
15,"(15, 24]","(52, 57]",Male,23,7,17,9,3.286,1.889,1.739,1.042
16,"(15, 24]","(57, 62]",Female,21,6,11,3,3.500,3.667,0.955,0.764
17,"(15, 24]","(57, 62]",Male,19,5,20,5,3.800,4.000,0.950,0.675
18,"(15, 24]","(62, 67]",Female,15,3,4,2,5.000,2.000,2.500,2.684
19,"(15, 24]","(62, 67]",Male,6,1,11,2,6.000,5.500,1.091,1.447
20,"(15, 24]","(72, 77]",Male,4,1,9,1,4.000,9.000,0.444,0.683
21,"(15, 24]","(77, 82]",Female,6,1,5,3,6.000,1.667,3.600,4.697
22,"(15, 24]","(77, 82]",Male,8,2,4,1,4.000,4.000,1.000,1.370
23,"(24, 34]","(15, 22]",Female,42,41,35,45,1.024,0.778,1.317,0.420
24,"(24, 34]","(15, 22]",Male,74,63,83,99,1.175,0.838,1.401,0.326
25,"(24, 34]","(22, 27]",Female,58,64,141,142,0.906,0.993,0.913,0.203
26,"(24, 34]","(22, 27]",Male,121,111,174,184,1.090,0.946,1.153,0.203
27,"(24, 34]","(27, 32]",Female,50,41,176,199,1.220,0.884,1.379,0.331
28,"(24, 34]","(27, 32]",Male,102,71,150,121,1.437,1.240,1.159,0.236
29,"(24, 34]","(32, 37]",Female,28,21,126,126,1.333,1.000,1.333,0.425
30,"(24, 34]","(32, 37]",Male,45,23,68,53,1.957,1.283,1.525,0.486
31,"(24, 34]","(37, 42]",Female,19,14,56,53,1.357,1.057,1.284,0.519
32,"(24, 34]","(37, 42]",Male,22,14,37,32,1.571,1.156,1.359,0.573
33,"(24, 34]","(42, 47]",Female,27,6,38,27,4.500,1.407,3.197,1.660
34,"(24, 34]","(42, 47]",Male,13,8,32,22,1.625,1.455,1.117,0.592
35,"(24, 34]","(47, 52]",Female,29,22,25,15,1.318,1.667,0.791,0.344
36,"(24, 34]","(47, 52]",Male,17,10,26,15,1.700,1.733,0.981,0.506
37,"(24, 34]","(52, 57]",Female,32,12,23,11,2.667,2.091,1.275,0.640
38,"(24, 34]","(52, 57]",Male,6,4,20,11,1.500,1.818,0.825,0.617
39,"(24, 34]","(57, 62]",Female,21,8,14,4,2.625,3.500,0.750,0.528
40,"(24, 34]","(57, 62]",Male,7,2,20,4,3.500,5.000,0.700,0.681
41,"(24, 34]","(62, 67]",Female,4,1,10,1,4.000,10.000,0.400,0.614
42,"(24, 34]","(72, 77]",Female,6,3,4,2,2.000,2.000,1.000,1.119
43,"(24, 34]","(77, 82]",Female,2,1,4,2,2.000,2.000,1.000,1.501
44,"(34, 54]","(15, 22]",Female,70,116,41,106,0.603,0.387,1.560,0.380
45,"(34, 54]","(15, 22]",Male,28,39,59,104,0.718,0.567,1.266,0.381
46,"(34, 54]","(22, 27]",Female,46,76,33,63,0.605,0.524,1.156,0.334
47,"(34, 54]","(22, 27]",Male,26,30,41,71,0.867,0.577,1.501,0.504
48,"(34, 54]","(27, 32]",Female,35,57,34,52,0.614,0.654,0.939,0.293
49,"(34, 54]","(27, 32]",Male,57,57,70,75,1.000,0.933,1.071,0.274
50,"(34, 54]","(32, 37]",Female,37,47,85,99,0.787,0.859,0.917,0.247
51,"(34, 54]","(32, 37]",Male,61,49,63,61,1.245,1.033,1.205,0.322
52,"(34, 54]","(37, 42]",Female,44,49,166,154,0.898,1.078,0.833,0.201
53,"(34, 54]","(37, 42]",Male,100,91,76,72,1.099,1.056,1.041,0.234
54,"(34, 54]","(42, 47]",Female,52,53,160,191,0.981,0.838,1.171,0.267
55,"(34, 54]","(42, 47]",Male,94,82,61,60,1.146,1.017,1.128,0.272
56,"(34, 54]","(47, 52]",Female,45,45,230,240,1.000,0.958,1.043,0.246
57,"(34, 54]","(47, 52]",Male,85,78,58,38,1.090,1.526,0.714,0.190
58,"(34, 54]","(52, 57]",Female,49,37,205,174,1.324,1.178,1.124,0.277
59,"(34, 54]","(52, 57]",Male,48,33,57,42,1.455,1.357,1.072,0.330
60,"(34, 54]","(57, 62]",Female,44,33,102,79,1.333,1.291,1.033,0.288
61,"(34, 54]","(57, 62]",Male,30,12,27,20,2.500,1.350,1.852,0.841
62,"(34, 54]","(62, 67]",Female,37,26,63,35,1.423,1.800,0.791,0.265
63,"(34, 54]","(62, 67]",Male,23,7,25,15,3.286,1.667,1.971,1.072
64,"(34, 54]","(67, 72]",Female,42,20,31,19,2.100,1.632,1.287,0.517
65,"(34, 54]","(67, 72]",Male,24,14,30,6,1.714,5.000,0.343,0.193
66,"(34, 54]","(72, 77]",Female,46,19,25,11,2.421,2.273,1.065,0.486
67,"(34, 54]","(72, 77]",Male,17,4,36,7,4.250,5.143,0.826,0.574
