,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.291,0.075,19.000
1,"(22, 27]",1.114,0.095,25.000
2,"(27, 32]",1.180,0.127,30.000
3,"(32, 37]",1.191,0.145,35.000
4,"(37, 42]",1.083,0.127,40.000
5,"(42, 47]",1.282,0.147,45.000
6,"(47, 52]",0.926,0.105,50.000
7,"(52, 57]",0.871,0.094,55.000
8,"(57, 62]",0.809,0.088,60.000
9,"(62, 67]",0.657,0.073,65.000
10,"(67, 72]",0.747,0.082,70.000
11,"(72, 77]",0.682,0.071,75.000
12,"(77, 82]",0.743,0.078,80.000
13,"(82, 87]",0.841,0.108,85.000
14,"(87, 92]",0.766,0.146,90.000
15,"(92, 97]",1.485,0.791,95.000
