,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,343,337,503,544,1.018,0.925,1.101,0.122
1,"(15, 24]","(15, 22]",Male,326,251,1285,1186,1.299,1.083,1.199,0.127
2,"(15, 24]","(22, 27]",Female,65,58,196,196,1.121,1.000,1.121,0.239
3,"(15, 24]","(22, 27]",Male,67,34,346,270,1.971,1.281,1.538,0.355
4,"(15, 24]","(27, 32]",Female,19,13,76,70,1.462,1.086,1.346,0.538
5,"(15, 24]","(27, 32]",Male,14,9,107,67,1.556,1.597,0.974,0.446
6,"(15, 24]","(32, 37]",Female,19,8,26,23,2.375,1.130,2.101,1.076
7,"(15, 24]","(32, 37]",Male,14,12,36,22,1.167,1.636,0.713,0.342
8,"(15, 24]","(37, 42]",Female,15,7,14,12,2.143,1.167,1.837,1.112
9,"(15, 24]","(37, 42]",Male,21,11,27,17,1.909,1.588,1.202,0.585
10,"(15, 24]","(42, 47]",Female,21,14,11,5,1.500,2.200,0.682,0.438
11,"(15, 24]","(42, 47]",Male,11,7,24,8,1.571,3.000,0.524,0.332
12,"(15, 24]","(47, 52]",Female,8,3,8,7,2.667,1.143,2.333,1.992
13,"(15, 24]","(47, 52]",Male,7,2,29,5,3.500,5.800,0.603,0.566
14,"(15, 24]","(52, 57]",Female,7,5,5,3,1.400,1.667,0.840,0.787
15,"(15, 24]","(52, 57]",Male,1,1,8,4,1.000,2.000,0.500,0.771
16,"(15, 24]","(57, 62]",Female,1,1,2,1,1.000,2.000,0.500,0.936
17,"(15, 24]","(62, 67]",Male,5,3,10,2,1.667,5.000,0.333,0.355
18,"(24, 34]","(15, 22]",Female,24,28,31,39,0.857,0.795,1.078,0.400
19,"(24, 34]","(15, 22]",Male,57,60,118,127,0.950,0.929,1.022,0.236
20,"(24, 34]","(22, 27]",Female,48,38,98,127,1.263,0.772,1.637,0.426
21,"(24, 34]","(22, 27]",Male,82,74,198,172,1.108,1.151,0.963,0.190
22,"(24, 34]","(27, 32]",Female,28,23,109,128,1.217,0.852,1.430,0.449
