,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.2273892138322853,0.05457892768332351
4,22.5,1.1382933744890245,0.07488255303832843
5,27.5,1.1492045805499693,0.09799202990594594
6,32.5,1.1782040070203128,0.11077411287554677
7,37.5,1.099629743528083,0.10780432111144392
8,42.5,1.1885319146458704,0.11622955804769168
9,47.5,0.9219126947785284,0.09000983415990711
10,52.5,0.8658153744159645,0.08345421502950179
11,57.5,0.8224702867459276,0.08189705464251125
12,62.5,0.6731728137445302,0.06857282431367379
13,67.5,0.7379459375665974,0.07501541198154525
14,72.5,0.7060917967226904,0.06791308470961079
15,77.5,0.7779538065562491,0.07632389819495324
16,82.5,0.8709838082066964,0.10480597040954275
17,87.5,0.758507059458293,0.1387051673081717
18,92.5,1.4866475811727573,0.7370930013686603
19,97.5,1.0,inf
