,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,25,28,58,58,0.893,1.000,0.893,0.300
1,"(15, 24]","(15, 22]",Male,19,21,103,142,0.905,0.725,1.247,0.431
2,"(15, 24]","(22, 27]",Female,5,5,26,34,1.000,0.765,1.308,0.897
3,"(15, 24]","(22, 27]",Male,5,6,32,34,0.833,0.941,0.885,0.580
4,"(15, 24]","(32, 37]",Male,4,4,2,3,1.000,0.667,1.500,1.734
5,"(15, 24]","(37, 42]",Female,4,1,3,1,4.000,3.000,1.333,2.144
6,"(15, 24]","(37, 42]",Male,1,1,3,1,1.000,3.000,0.333,0.609
7,"(15, 24]","(52, 57]",Female,2,1,1,2,2.000,0.500,4.000,6.931
8,"(24, 34]","(15, 22]",Female,3,4,4,3,0.750,1.333,0.562,0.608
9,"(24, 34]","(15, 22]",Male,9,10,7,11,0.900,0.636,1.414,0.946
10,"(24, 34]","(22, 27]",Female,2,5,12,13,0.400,0.923,0.433,0.403
11,"(24, 34]","(22, 27]",Male,10,13,26,29,0.769,0.897,0.858,0.431
12,"(24, 34]","(27, 32]",Female,6,4,18,23,1.500,0.783,1.917,1.380
13,"(24, 34]","(27, 32]",Male,7,8,21,18,0.875,1.167,0.750,0.458
14,"(24, 34]","(32, 37]",Male,2,2,9,5,1.000,1.800,0.556,0.637
15,"(24, 34]","(37, 42]",Female,2,4,6,6,0.500,1.000,0.500,0.521
16,"(24, 34]","(37, 42]",Male,1,2,3,8,0.500,0.375,1.333,1.867
17,"(24, 34]","(42, 47]",Female,1,2,5,6,0.500,0.833,0.600,0.820
18,"(24, 34]","(47, 52]",Male,1,1,2,1,1.000,2.000,0.500,0.936
19,"(34, 54]","(15, 22]",Female,2,4,1,2,0.500,0.500,1.000,1.501
20,"(34, 54]","(22, 27]",Female,3,3,3,5,1.000,0.600,1.667,1.828
21,"(34, 54]","(22, 27]",Male,6,5,6,7,1.200,0.857,1.400,1.153
22,"(34, 54]","(27, 32]",Male,3,4,8,5,0.750,1.600,0.469,0.447
23,"(34, 54]","(32, 37]",Female,4,6,5,10,0.667,0.500,1.333,1.131
24,"(34, 54]","(32, 37]",Male,5,4,6,7,1.250,0.857,1.458,1.273
25,"(34, 54]","(37, 42]",Male,8,7,8,7,1.143,1.143,1.000,0.734
26,"(34, 54]","(42, 47]",Female,4,4,8,5,1.000,1.600,0.625,0.569
27,"(34, 54]","(42, 47]",Male,9,6,5,4,1.500,1.250,1.200,1.025
28,"(34, 54]","(47, 52]",Female,1,2,9,13,0.500,0.692,0.722,0.939
29,"(34, 54]","(47, 52]",Male,4,6,9,7,0.667,1.286,0.519,0.425
30,"(34, 54]","(52, 57]",Female,2,1,7,6,2.000,1.167,1.714,2.308
31,"(34, 54]","(52, 57]",Male,3,1,2,4,3.000,0.500,6.000,8.665
32,"(34, 54]","(67, 72]",Female,1,1,3,2,1.000,1.500,0.667,1.123
33,"(54, 100]","(37, 42]",Male,2,1,1,1,2.000,1.000,2.000,3.743
34,"(54, 100]","(42, 47]",Male,1,2,2,3,0.500,0.667,0.750,1.146
35,"(54, 100]","(47, 52]",Male,1,3,2,2,0.333,1.000,0.333,0.509
36,"(54, 100]","(52, 57]",Male,4,3,3,4,1.333,0.750,1.778,1.922
37,"(54, 100]","(57, 62]",Female,4,9,9,6,0.444,1.500,0.296,0.237
38,"(54, 100]","(57, 62]",Male,1,3,2,2,0.333,1.000,0.333,0.509
39,"(54, 100]","(62, 67]",Male,3,2,2,1,1.500,2.000,0.750,1.146
40,"(54, 100]","(72, 77]",Female,1,1,9,4,1.000,2.250,0.444,0.683
41,"(54, 100]","(77, 82]",Male,4,2,2,1,2.000,2.000,1.000,1.501
