,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,30,34,76,96,0.882,0.792,1.115,0.332
1,"(15, 24]","(15, 22]",Male,31,35,201,224,0.886,0.897,0.987,0.266
2,"(15, 24]","(22, 27]",Female,6,6,45,53,1.000,0.849,1.178,0.723
3,"(15, 24]","(22, 27]",Male,7,6,58,65,1.167,0.892,1.307,0.768
4,"(15, 24]","(27, 32]",Female,3,4,13,21,0.750,0.619,1.212,1.021
5,"(15, 24]","(32, 37]",Female,2,1,8,6,2.000,1.333,1.500,2.009
6,"(15, 24]","(32, 37]",Male,3,2,8,5,1.500,1.600,0.938,1.010
7,"(15, 24]","(42, 47]",Male,1,1,4,2,1.000,2.000,0.500,0.830
8,"(24, 34]","(15, 22]",Female,1,6,6,10,0.167,0.600,0.278,0.333
9,"(24, 34]","(15, 22]",Male,9,12,16,17,0.750,0.941,0.797,0.450
10,"(24, 34]","(22, 27]",Female,4,6,17,31,0.667,0.548,1.216,0.868
11,"(24, 34]","(22, 27]",Male,7,16,32,44,0.438,0.727,0.602,0.308
12,"(24, 34]","(27, 32]",Female,5,9,17,30,0.556,0.567,0.980,0.625
13,"(24, 34]","(27, 32]",Male,8,16,30,27,0.500,1.111,0.450,0.230
14,"(24, 34]","(32, 37]",Female,3,1,14,15,3.000,0.933,3.214,3.902
15,"(24, 34]","(32, 37]",Male,7,3,21,11,2.333,1.909,1.222,0.960
16,"(24, 34]","(37, 42]",Male,2,1,5,6,2.000,0.833,2.400,3.281
17,"(24, 34]","(42, 47]",Female,1,2,3,1,0.500,3.000,0.167,0.281
18,"(34, 54]","(15, 22]",Male,1,4,3,8,0.250,0.375,0.667,0.872
19,"(34, 54]","(22, 27]",Female,2,2,2,7,1.000,0.286,3.500,4.490
20,"(34, 54]","(22, 27]",Male,1,1,7,12,1.000,0.583,1.714,2.559
21,"(34, 54]","(27, 32]",Male,4,6,10,10,0.667,1.000,0.667,0.525
22,"(34, 54]","(32, 37]",Female,2,4,10,14,0.500,0.714,0.700,0.673
23,"(34, 54]","(32, 37]",Male,5,7,10,21,0.714,0.476,1.500,1.053
24,"(34, 54]","(37, 42]",Female,4,4,11,10,1.000,1.100,0.909,0.757
25,"(34, 54]","(37, 42]",Male,8,6,11,16,1.333,0.688,1.939,1.297
26,"(34, 54]","(42, 47]",Female,1,1,11,5,1.000,2.200,0.455,0.688
27,"(34, 54]","(42, 47]",Male,3,4,6,11,0.750,0.545,1.375,1.263
28,"(34, 54]","(47, 52]",Female,2,2,8,8,1.000,1.000,1.000,1.119
29,"(34, 54]","(47, 52]",Male,4,1,7,1,4.000,7.000,0.571,0.884
30,"(54, 100]","(52, 57]",Male,1,3,3,5,0.333,0.600,0.556,0.760
31,"(54, 100]","(57, 62]",Female,1,1,2,2,1.000,1.000,1.000,1.733
32,"(54, 100]","(62, 67]",Male,1,1,1,1,1.000,1.000,1.000,2.001
