,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.0065176516840553,0.14205950489724026
4,22.5,1.0119610805624386,0.20541720707268177
5,27.5,0.7742180410671851,0.1996845341702799
6,32.5,1.251317697054437,0.37658663712783347
7,37.5,1.1657029148608047,0.4004847206223226
8,42.5,0.7663160389293242,0.31606253822480856
9,47.5,0.5965099951899888,0.29800865230517376
10,52.5,1.919233715612258,1.1563626771482993
11,57.5,0.36057299539182763,0.23671322878429854
12,62.5,0.8338814106508993,1.012752563257296
13,67.5,0.6666666666666666,1.1226621799857561
14,72.5,0.4444444444444444,0.6832906741677834
15,77.5,1.0,1.5008331019803633
16,82.5,1.0,inf
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
