,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,676,658,742,890,1.027,0.834,1.232,0.110
1,"(15, 24]","(15, 22]",Male,503,399,1636,1669,1.261,0.980,1.286,0.116
2,"(15, 24]","(22, 27]",Female,121,97,319,375,1.247,0.851,1.466,0.240
3,"(15, 24]","(22, 27]",Male,94,88,445,361,1.068,1.233,0.867,0.149
4,"(15, 24]","(27, 32]",Female,21,16,99,99,1.312,1.000,1.312,0.478
5,"(15, 24]","(27, 32]",Male,21,10,95,78,2.100,1.218,1.724,0.718
6,"(15, 24]","(32, 37]",Female,28,21,28,35,1.333,0.800,1.667,0.646
7,"(15, 24]","(32, 37]",Male,18,11,64,42,1.636,1.524,1.074,0.466
8,"(15, 24]","(37, 42]",Female,58,33,18,15,1.758,1.200,1.465,0.608
9,"(15, 24]","(37, 42]",Male,44,15,57,24,2.933,2.375,1.235,0.480
10,"(15, 24]","(42, 47]",Female,83,36,20,16,2.306,1.250,1.844,0.726
11,"(15, 24]","(42, 47]",Male,49,16,44,18,3.062,2.444,1.253,0.507
12,"(15, 24]","(47, 52]",Female,48,23,29,13,2.087,2.231,0.936,0.395
13,"(15, 24]","(47, 52]",Male,22,14,49,22,1.571,2.227,0.706,0.304
14,"(15, 24]","(52, 57]",Female,39,17,25,8,2.294,3.125,0.734,0.368
15,"(15, 24]","(52, 57]",Male,25,8,19,9,3.125,2.111,1.480,0.852
16,"(15, 24]","(57, 62]",Female,21,6,12,3,3.500,4.000,0.875,0.696
17,"(15, 24]","(57, 62]",Male,18,5,20,7,3.600,2.857,1.260,0.846
18,"(15, 24]","(62, 67]",Female,14,3,5,2,4.667,2.500,1.867,1.964
19,"(15, 24]","(62, 67]",Male,6,1,11,2,6.000,5.500,1.091,1.447
20,"(15, 24]","(72, 77]",Male,4,1,9,1,4.000,9.000,0.444,0.683
21,"(15, 24]","(77, 82]",Female,6,1,5,3,6.000,1.667,3.600,4.697
22,"(15, 24]","(77, 82]",Male,8,2,4,1,4.000,4.000,1.000,1.370
23,"(24, 34]","(15, 22]",Female,43,43,48,64,1.000,0.750,1.333,0.390
24,"(24, 34]","(15, 22]",Male,81,70,123,170,1.157,0.724,1.599,0.332
25,"(24, 34]","(22, 27]",Female,68,79,167,191,0.861,0.874,0.984,0.200
26,"(24, 34]","(22, 27]",Male,134,117,260,306,1.145,0.850,1.348,0.216
27,"(24, 34]","(27, 32]",Female,55,49,192,215,1.122,0.893,1.257,0.284
28,"(24, 34]","(27, 32]",Male,113,77,199,187,1.468,1.064,1.379,0.257
29,"(24, 34]","(32, 37]",Female,28,25,151,141,1.120,1.071,1.046,0.317
30,"(24, 34]","(32, 37]",Male,47,26,100,85,1.808,1.176,1.537,0.445
31,"(24, 34]","(37, 42]",Female,21,13,60,57,1.615,1.053,1.535,0.616
32,"(24, 34]","(37, 42]",Male,30,15,49,55,2.000,0.891,2.245,0.843
33,"(24, 34]","(42, 47]",Female,26,6,41,30,4.333,1.367,3.171,1.633
34,"(24, 34]","(42, 47]",Male,14,8,47,30,1.750,1.567,1.117,0.562
35,"(24, 34]","(47, 52]",Female,28,20,27,16,1.400,1.688,0.830,0.359
36,"(24, 34]","(47, 52]",Male,19,10,31,19,1.900,1.632,1.165,0.571
37,"(24, 34]","(52, 57]",Female,32,12,25,13,2.667,1.923,1.387,0.671
38,"(24, 34]","(52, 57]",Male,6,4,24,11,1.500,2.182,0.688,0.511
39,"(24, 34]","(57, 62]",Female,21,8,14,2,2.625,7.000,0.375,0.324
40,"(24, 34]","(57, 62]",Male,7,2,21,5,3.500,4.200,0.833,0.787
41,"(24, 34]","(62, 67]",Female,4,1,12,1,4.000,12.000,0.333,0.509
42,"(24, 34]","(72, 77]",Female,6,3,4,3,2.000,1.333,1.500,1.563
43,"(24, 34]","(77, 82]",Female,2,1,4,2,2.000,2.000,1.000,1.501
44,"(34, 54]","(15, 22]",Female,70,116,41,111,0.603,0.369,1.634,0.396
45,"(34, 54]","(15, 22]",Male,29,40,62,118,0.725,0.525,1.380,0.406
46,"(34, 54]","(22, 27]",Female,48,78,36,70,0.615,0.514,1.197,0.335
47,"(34, 54]","(22, 27]",Male,29,29,55,104,1.000,0.529,1.891,0.596
48,"(34, 54]","(27, 32]",Female,41,64,37,64,0.641,0.578,1.108,0.323
49,"(34, 54]","(27, 32]",Male,62,68,79,110,0.912,0.718,1.270,0.298
50,"(34, 54]","(32, 37]",Female,41,51,92,118,0.804,0.780,1.031,0.265
51,"(34, 54]","(32, 37]",Male,66,58,78,94,1.138,0.830,1.371,0.331
52,"(34, 54]","(37, 42]",Female,46,53,172,172,0.868,1.000,0.868,0.203
53,"(34, 54]","(37, 42]",Male,108,102,104,107,1.059,0.972,1.089,0.219
54,"(34, 54]","(42, 47]",Female,55,60,184,212,0.917,0.868,1.056,0.230
55,"(34, 54]","(42, 47]",Male,104,91,76,85,1.143,0.894,1.278,0.280
56,"(34, 54]","(47, 52]",Female,48,50,253,260,0.960,0.973,0.987,0.223
57,"(34, 54]","(47, 52]",Male,92,83,67,56,1.108,1.196,0.926,0.224
58,"(34, 54]","(52, 57]",Female,49,38,211,174,1.289,1.213,1.063,0.260
59,"(34, 54]","(52, 57]",Male,49,37,63,47,1.324,1.340,0.988,0.292
60,"(34, 54]","(57, 62]",Female,43,35,111,83,1.229,1.337,0.919,0.252
61,"(34, 54]","(57, 62]",Male,30,12,32,27,2.500,1.185,2.109,0.913
62,"(34, 54]","(62, 67]",Female,38,26,66,42,1.462,1.571,0.930,0.303
63,"(34, 54]","(62, 67]",Male,22,7,33,18,3.143,1.833,1.714,0.902
64,"(34, 54]","(67, 72]",Female,42,19,30,19,2.211,1.579,1.400,0.569
65,"(34, 54]","(67, 72]",Male,23,14,31,6,1.643,5.167,0.318,0.179
66,"(34, 54]","(72, 77]",Female,45,19,25,11,2.368,2.273,1.042,0.476
67,"(34, 54]","(72, 77]",Male,17,4,36,7,4.250,5.143,0.826,0.574
68,"(34, 54]","(77, 82]",Female,20,4,15,4,5.000,3.750,1.333,1.049
69,"(34, 54]","(77, 82]",Male,18,6,14,4,3.000,3.500,0.857,0.633
70,"(34, 54]","(82, 87]",Female,9,2,13,6,4.500,2.167,2.077,1.923
71,"(34, 54]","(87, 92]",Female,2,1,8,2,2.000,4.000,0.500,0.729
72,"(54, 100]","(15, 22]",Female,19,73,7,51,0.260,0.137,1.896,0.912
73,"(54, 100]","(15, 22]",Male,9,27,9,55,0.333,0.164,2.037,1.078
74,"(54, 100]","(22, 27]",Female,9,77,6,39,0.117,0.154,0.760,0.429
75,"(54, 100]","(22, 27]",Male,6,21,6,23,0.286,0.261,1.095,0.716
76,"(54, 100]","(27, 32]",Female,24,76,10,39,0.316,0.256,1.232,0.527
77,"(54, 100]","(27, 32]",Male,7,22,16,30,0.318,0.533,0.597,0.319
78,"(54, 100]","(32, 37]",Female,24,105,10,41,0.229,0.244,0.937,0.395
79,"(54, 100]","(32, 37]",Male,11,25,13,41,0.440,0.317,1.388,0.672
80,"(54, 100]","(37, 42]",Female,36,111,13,63,0.324,0.206,1.572,0.571
81,"(54, 100]","(37, 42]",Male,16,40,18,42,0.400,0.429,0.933,0.384
82,"(54, 100]","(42, 47]",Female,47,142,28,85,0.331,0.329,1.005,0.281
83,"(54, 100]","(42, 47]",Male,23,47,25,63,0.489,0.397,1.233,0.433
84,"(54, 100]","(47, 52]",Female,57,177,46,132,0.322,0.348,0.924,0.217
85,"(54, 100]","(47, 52]",Male,38,65,21,61,0.585,0.344,1.698,0.559
