,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,419,403,609,707,1.040,0.861,1.207,0.123
1,"(15, 24]","(15, 22]",Male,391,295,1864,1871,1.325,0.996,1.330,0.130
2,"(15, 24]","(22, 27]",Female,81,76,263,296,1.066,0.889,1.200,0.225
3,"(15, 24]","(22, 27]",Male,87,51,584,515,1.706,1.134,1.504,0.290
4,"(15, 24]","(27, 32]",Female,27,17,108,99,1.588,1.091,1.456,0.500
5,"(15, 24]","(27, 32]",Male,19,8,176,132,2.375,1.333,1.781,0.783
6,"(15, 24]","(32, 37]",Female,24,9,35,32,2.667,1.094,2.438,1.131
7,"(15, 24]","(32, 37]",Male,18,13,69,43,1.385,1.605,0.863,0.359
8,"(15, 24]","(37, 42]",Female,17,11,21,18,1.545,1.167,1.325,0.669
9,"(15, 24]","(37, 42]",Male,26,15,45,31,1.733,1.452,1.194,0.481
10,"(15, 24]","(42, 47]",Female,22,14,14,11,1.571,1.273,1.235,0.655
11,"(15, 24]","(42, 47]",Male,16,7,45,16,2.286,2.812,0.813,0.440
12,"(15, 24]","(47, 52]",Female,11,3,8,8,3.667,1.000,3.667,3.016
13,"(15, 24]","(47, 52]",Male,8,2,37,9,4.000,4.111,0.973,0.851
14,"(15, 24]","(52, 57]",Female,7,5,5,4,1.400,1.250,1.120,0.999
15,"(15, 24]","(52, 57]",Male,1,1,13,3,1.000,4.333,0.231,0.358
16,"(15, 24]","(57, 62]",Female,1,1,3,1,1.000,3.000,0.333,0.609
17,"(15, 24]","(62, 67]",Male,5,3,10,2,1.667,5.000,0.333,0.355
18,"(24, 34]","(15, 22]",Female,34,35,51,66,0.971,0.773,1.257,0.388
19,"(24, 34]","(15, 22]",Male,68,73,209,231,0.932,0.905,1.030,0.206
20,"(24, 34]","(22, 27]",Female,67,58,144,180,1.155,0.800,1.444,0.314
21,"(24, 34]","(22, 27]",Male,116,103,393,416,1.126,0.945,1.192,0.191
22,"(24, 34]","(27, 32]",Female,40,39,153,165,1.026,0.927,1.106,0.284
23,"(24, 34]","(27, 32]",Male,67,49,274,263,1.367,1.042,1.312,0.279
24,"(24, 34]","(32, 37]",Female,23,22,101,110,1.045,0.918,1.139,0.378
25,"(24, 34]","(32, 37]",Male,40,32,106,112,1.250,0.946,1.321,0.367
26,"(24, 34]","(37, 42]",Female,15,9,44,43,1.667,1.023,1.629,0.775
27,"(24, 34]","(37, 42]",Male,21,12,48,39,1.750,1.231,1.422,0.603
28,"(24, 34]","(42, 47]",Female,7,9,29,18,0.778,1.611,0.483,0.284
29,"(24, 34]","(42, 47]",Male,14,6,42,25,2.333,1.680,1.389,0.766
30,"(24, 34]","(47, 52]",Female,13,7,17,9,1.857,1.889,0.983,0.616
31,"(24, 34]","(47, 52]",Male,11,5,35,13,2.200,2.692,0.817,0.516
32,"(24, 34]","(52, 57]",Female,8,3,10,4,2.667,2.500,1.067,0.960
33,"(24, 34]","(52, 57]",Male,5,1,17,4,5.000,4.250,1.176,1.446
34,"(24, 34]","(57, 62]",Female,7,2,11,5,3.500,2.200,1.591,1.539
35,"(24, 34]","(57, 62]",Male,8,3,14,7,2.667,2.000,1.333,1.096
36,"(24, 34]","(62, 67]",Female,1,1,2,1,1.000,2.000,0.500,0.936
37,"(24, 34]","(67, 72]",Male,1,1,1,1,1.000,1.000,1.000,2.001
38,"(34, 54]","(15, 22]",Female,25,44,18,49,0.568,0.367,1.547,0.581
39,"(34, 54]","(15, 22]",Male,11,10,67,110,1.100,0.609,1.806,0.842
40,"(34, 54]","(22, 27]",Female,22,30,36,49,0.733,0.735,0.998,0.359
41,"(34, 54]","(22, 27]",Male,13,20,98,133,0.650,0.737,0.882,0.338
42,"(34, 54]","(27, 32]",Female,20,26,38,69,0.769,0.551,1.397,0.507
43,"(34, 54]","(27, 32]",Male,40,42,97,112,0.952,0.866,1.100,0.292
44,"(34, 54]","(32, 37]",Female,27,23,64,95,1.174,0.674,1.743,0.576
45,"(34, 54]","(32, 37]",Male,52,58,92,124,0.897,0.742,1.208,0.291
46,"(34, 54]","(37, 42]",Female,11,15,98,135,0.733,0.726,1.010,0.426
47,"(34, 54]","(37, 42]",Male,61,59,119,133,1.034,0.895,1.156,0.263
48,"(34, 54]","(42, 47]",Female,19,22,93,113,0.864,0.823,1.049,0.364
49,"(34, 54]","(42, 47]",Male,51,47,105,92,1.085,1.141,0.951,0.240
50,"(34, 54]","(47, 52]",Female,15,14,75,76,1.071,0.987,1.086,0.444
51,"(34, 54]","(47, 52]",Male,38,42,76,66,0.905,1.152,0.786,0.224
52,"(34, 54]","(52, 57]",Female,10,12,56,55,0.833,1.018,0.818,0.386
53,"(34, 54]","(52, 57]",Male,21,15,46,44,1.400,1.045,1.339,0.538
54,"(34, 54]","(57, 62]",Female,9,5,26,26,1.800,1.000,1.800,1.125
55,"(34, 54]","(57, 62]",Male,16,9,17,13,1.778,1.308,1.359,0.759
56,"(34, 54]","(62, 67]",Female,14,4,20,14,3.500,1.429,2.450,1.635
57,"(34, 54]","(62, 67]",Male,4,4,14,12,1.000,1.167,0.857,0.695
58,"(34, 54]","(67, 72]",Female,6,3,11,2,2.000,5.500,0.364,0.380
59,"(34, 54]","(67, 72]",Male,7,6,15,3,1.167,5.000,0.233,0.197
60,"(34, 54]","(72, 77]",Female,7,2,10,7,3.500,1.429,2.450,2.309
61,"(34, 54]","(72, 77]",Male,5,3,7,3,1.667,2.333,0.714,0.719
62,"(34, 54]","(77, 82]",Female,3,1,8,5,3.000,1.600,1.875,2.416
63,"(34, 54]","(82, 87]",Female,3,1,1,2,3.000,0.500,6.000,10.104
64,"(54, 100]","(15, 22]",Female,1,16,3,15,0.062,0.200,0.312,0.378
65,"(54, 100]","(15, 22]",Male,2,5,9,20,0.400,0.450,0.889,0.826
66,"(54, 100]","(22, 27]",Female,2,6,1,3,0.333,0.333,1.000,1.415
67,"(54, 100]","(22, 27]",Male,4,2,4,16,2.000,0.250,8.000,8.256
68,"(54, 100]","(27, 32]",Female,2,13,3,5,0.154,0.600,0.256,0.270
69,"(54, 100]","(27, 32]",Male,2,4,6,19,0.500,0.316,1.583,1.561
70,"(54, 100]","(32, 37]",Female,4,12,5,12,0.333,0.417,0.800,0.629
71,"(54, 100]","(32, 37]",Male,2,8,7,18,0.250,0.389,0.643,0.584
72,"(54, 100]","(37, 42]",Female,3,14,6,14,0.214,0.429,0.500,0.402
73,"(54, 100]","(37, 42]",Male,4,6,7,19,0.667,0.368,1.810,1.419
74,"(54, 100]","(42, 47]",Female,9,22,6,17,0.409,0.353,1.159,0.719
75,"(54, 100]","(42, 47]",Male,14,20,16,19,0.700,0.842,0.831,0.406
76,"(54, 100]","(47, 52]",Female,12,25,16,25,0.480,0.640,0.750,0.358
77,"(54, 100]","(47, 52]",Male,8,21,17,31,0.381,0.548,0.695,0.358
78,"(54, 100]","(52, 57]",Female,16,33,29,42,0.485,0.690,0.702,0.275
79,"(54, 100]","(52, 57]",Male,26,33,23,24,0.788,0.958,0.822,0.325
80,"(54, 100]","(57, 62]",Female,12,30,40,58,0.400,0.690,0.580,0.233
81,"(54, 100]","(57, 62]",Male,20,22,21,21,0.909,1.000,0.909,0.400
82,"(54, 100]","(62, 67]",Female,12,23,55,68,0.522,0.809,0.645,0.260
83,"(54, 100]","(62, 67]",Male,13,25,16,21,0.520,0.762,0.683,0.327
84,"(54, 100]","(67, 72]",Female,15,27,70,81,0.556,0.864,0.643,0.234
85,"(54, 100]","(67, 72]",Male,20,27,12,19,0.741,0.632,1.173,0.557
86,"(54, 100]","(72, 77]",Female,19,25,85,106,0.760,0.802,0.948,0.323
87,"(54, 100]","(72, 77]",Male,23,29,15,14,0.793,1.071,0.740,0.346
88,"(54, 100]","(77, 82]",Female,21,21,96,103,1.000,0.932,1.073,0.368
89,"(54, 100]","(77, 82]",Male,31,38,12,13,0.816,0.923,0.884,0.416
90,"(54, 100]","(82, 87]",Female,11,14,74,90,0.786,0.822,0.956,0.416
91,"(54, 100]","(82, 87]",Male,23,22,8,9,1.045,0.889,1.176,0.673
92,"(54, 100]","(87, 92]",Female,3,5,40,41,0.600,0.976,0.615,0.470
93,"(54, 100]","(87, 92]",Male,5,4,3,2,1.250,1.500,0.833,0.945
94,"(54, 100]","(92, 97]",Female,3,1,6,3,3.000,2.000,1.500,2.032
