,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.2893973687378266,0.05406989175856996
4,22.5,1.2286935605385083,0.07165860316303359
5,27.5,1.261131527047162,0.09526921922298981
6,32.5,1.2579617073438523,0.10682556924357586
7,37.5,1.1984225453632793,0.10498036790735454
8,42.5,1.1376754542294976,0.10096433203025099
9,47.5,0.9627468894336855,0.08826297964355091
10,52.5,0.8635541673071939,0.08022756383926767
11,57.5,0.8389587023964286,0.08163370337495622
12,62.5,0.6772662594884588,0.06815502184273092
13,67.5,0.7480938376885116,0.07541375792065394
14,72.5,0.7178330041466473,0.06860438563159019
15,77.5,0.770641783878466,0.07541545708698474
16,82.5,0.8702174328952799,0.10444895099452181
17,87.5,0.7713707235380785,0.1405288574303732
18,92.5,1.4866475811727573,0.7370930013686603
19,97.5,1.0,inf
