,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,2,2,1,1,1.000,1.000,1.000,1.733
1,"(15, 24]","(10, 15]",Male,70,72,67,101,0.972,0.663,1.466,0.345
2,"(15, 24]","(15, 20]",Female,7,7,2,11,1.000,0.182,5.500,5.157
3,"(15, 24]","(15, 20]",Male,485,439,556,735,1.105,0.756,1.460,0.146
4,"(15, 24]","(20, 25]",Female,8,5,5,11,1.600,0.455,3.520,2.768
5,"(15, 24]","(20, 25]",Male,244,206,360,420,1.184,0.857,1.382,0.178
6,"(15, 24]","(25, 30]",Male,50,50,78,69,1.000,1.130,0.885,0.234
7,"(15, 24]","(30, 35]",Male,20,20,20,23,1.000,0.870,1.150,0.509
8,"(15, 24]","(35, 40]",Male,11,4,9,9,2.750,1.000,2.750,2.068
9,"(15, 24]","(40, 45]",Male,5,1,5,3,5.000,1.667,3.000,3.953
10,"(15, 24]","(45, 50]",Male,3,1,5,3,3.000,1.667,1.800,2.461
11,"(15, 24]","(50, 55]",Male,2,1,3,1,2.000,3.000,0.667,1.123
12,"(24, 34]","(0, 5]",Male,3,2,9,9,1.500,1.000,1.500,1.543
13,"(24, 34]","(5, 10]",Male,2,3,13,20,0.667,0.650,1.026,1.006
14,"(24, 34]","(10, 15]",Male,8,13,7,13,0.615,0.538,1.143,0.744
15,"(24, 34]","(15, 20]",Male,130,149,62,103,0.872,0.602,1.449,0.300
16,"(24, 34]","(20, 25]",Female,2,3,2,4,0.667,0.500,1.333,1.679
17,"(24, 34]","(20, 25]",Male,279,284,139,175,0.982,0.794,1.237,0.186
18,"(24, 34]","(25, 30]",Female,3,2,1,1,1.500,1.000,1.500,2.526
19,"(24, 34]","(25, 30]",Male,250,217,111,151,1.152,0.735,1.567,0.256
20,"(24, 34]","(30, 35]",Female,1,2,1,5,0.500,0.200,2.500,4.110
21,"(24, 34]","(30, 35]",Male,120,94,59,62,1.277,0.952,1.342,0.313
22,"(24, 34]","(35, 40]",Male,48,32,13,15,1.500,0.867,1.731,0.770
23,"(24, 34]","(40, 45]",Male,16,7,8,8,2.286,1.000,2.286,1.547
24,"(24, 34]","(45, 50]",Male,8,6,4,4,1.333,1.000,1.333,1.188
25,"(24, 34]","(50, 55]",Male,2,2,4,4,1.000,1.000,1.000,1.226
26,"(34, 54]","(0, 5]",Male,2,1,2,3,2.000,0.667,3.000,4.585
27,"(34, 54]","(5, 10]",Male,2,4,4,6,0.500,0.667,0.750,0.811
28,"(34, 54]","(10, 15]",Male,3,14,7,21,0.214,0.333,0.643,0.497
29,"(34, 54]","(15, 20]",Male,20,34,10,22,0.588,0.455,1.294,0.617
30,"(34, 54]","(20, 25]",Male,39,45,24,29,0.867,0.828,1.047,0.372
31,"(34, 54]","(25, 30]",Male,93,101,12,23,0.921,0.522,1.765,0.683
32,"(34, 54]","(30, 35]",Male,90,123,27,31,0.732,0.871,0.840,0.253
33,"(34, 54]","(35, 40]",Male,82,67,18,21,1.224,0.857,1.428,0.520
34,"(34, 54]","(40, 45]",Female,1,1,1,1,1.000,1.000,1.000,2.001
35,"(34, 54]","(40, 45]",Male,84,70,13,8,1.200,1.625,0.738,0.355
36,"(34, 54]","(45, 50]",Male,40,36,6,6,1.111,1.000,1.111,0.693
37,"(34, 54]","(50, 55]",Male,11,10,4,1,1.100,4.000,0.275,0.330
38,"(54, 100]","(15, 20]",Male,1,2,1,3,0.500,0.333,1.500,2.526
39,"(54, 100]","(50, 55]",Male,2,4,1,1,0.500,1.000,0.500,0.830
40,"(54, 100]","(60, 65]",Male,1,2,1,1,0.500,1.000,0.500,0.936
