,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.215,0.079,19.000
1,"(22, 27]",1.251,0.115,25.000
2,"(27, 32]",1.338,0.142,30.000
3,"(32, 37]",1.404,0.166,35.000
4,"(37, 42]",1.023,0.122,40.000
5,"(42, 47]",1.271,0.171,45.000
6,"(47, 52]",1.196,0.168,50.000
7,"(52, 57]",0.998,0.136,55.000
8,"(57, 62]",0.765,0.095,60.000
9,"(62, 67]",0.817,0.096,65.000
10,"(67, 72]",0.758,0.080,70.000
11,"(72, 77]",0.862,0.087,75.000
12,"(77, 82]",0.834,0.097,80.000
13,"(82, 87]",1.160,0.190,85.000
14,"(87, 92]",0.737,0.257,90.000
15,"(92, 97]",0.632,0.924,95.000
