,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.048,0.105,3.000
1,"(5, 10]",1.028,0.105,8.000
2,"(10, 15]",0.997,0.080,13.000
3,"(15, 20]",1.236,0.078,18.000
4,"(20, 25]",1.125,0.101,23.000
5,"(25, 30]",1.247,0.154,28.000
6,"(30, 35]",1.234,0.195,33.000
7,"(35, 40]",1.279,0.240,38.000
8,"(40, 45]",1.315,0.268,43.000
9,"(45, 50]",0.914,0.188,48.000
10,"(50, 55]",1.224,0.285,53.000
11,"(55, 60]",0.947,0.229,58.000
12,"(60, 65]",0.895,0.228,63.000
13,"(65, 70]",1.253,0.336,68.000
14,"(70, 75]",0.806,0.242,73.000
15,"(75, 80]",0.898,0.322,78.000
16,"(80, 85]",0.496,0.250,83.000
17,"(85, 90]",0.768,0.594,88.000
18,"(90, 95]",2.500,3.493,93.000
