,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.962,0.072,3.000
1,"(5, 10]",1.065,0.089,8.000
2,"(10, 15]",1.081,0.058,13.000
3,"(15, 20]",1.282,0.048,18.000
4,"(20, 25]",1.265,0.048,23.000
5,"(25, 30]",1.296,0.057,28.000
6,"(30, 35]",1.333,0.068,33.000
7,"(35, 40]",1.176,0.069,38.000
8,"(40, 45]",1.130,0.075,43.000
9,"(45, 50]",1.226,0.090,48.000
10,"(50, 55]",1.277,0.097,53.000
11,"(55, 60]",1.231,0.102,58.000
12,"(60, 65]",1.000,0.082,63.000
13,"(65, 70]",0.926,0.078,68.000
14,"(70, 75]",1.061,0.090,73.000
15,"(75, 80]",0.916,0.087,78.000
16,"(80, 85]",0.881,0.099,83.000
17,"(85, 90]",0.955,0.158,88.000
18,"(90, 95]",1.313,0.371,93.000
19,"(95, 100]",0.845,0.664,98.000
