,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.078,0.315,3.000
1,"(5, 10]",0.785,0.222,8.000
2,"(10, 15]",1.198,0.169,13.000
3,"(15, 20]",1.203,0.086,18.000
4,"(20, 25]",1.294,0.105,23.000
5,"(25, 30]",1.106,0.117,28.000
6,"(30, 35]",1.052,0.131,33.000
7,"(35, 40]",1.261,0.173,38.000
8,"(40, 45]",1.146,0.167,43.000
9,"(45, 50]",1.241,0.209,48.000
10,"(50, 55]",1.139,0.225,53.000
11,"(55, 60]",0.952,0.257,58.000
12,"(60, 65]",0.973,0.278,63.000
13,"(65, 70]",1.138,0.393,68.000
14,"(70, 75]",1.737,0.549,73.000
15,"(75, 80]",0.826,0.282,78.000
16,"(80, 85]",0.948,0.325,83.000
17,"(85, 90]",1.202,0.468,88.000
18,"(90, 95]",0.938,0.757,93.000
