,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.222,0.319,3.000
1,"(5, 10]",0.986,0.204,8.000
2,"(10, 15]",1.097,0.190,13.000
3,"(15, 20]",1.191,0.159,18.000
4,"(20, 25]",1.257,0.240,23.000
5,"(25, 30]",1.171,0.280,28.000
6,"(30, 35]",1.400,0.391,33.000
7,"(35, 40]",1.007,0.355,38.000
8,"(40, 45]",0.688,0.247,43.000
9,"(45, 50]",1.547,0.614,48.000
10,"(50, 55]",0.988,0.469,53.000
11,"(55, 60]",1.349,0.902,58.000
12,"(60, 65]",1.689,1.141,63.000
13,"(65, 70]",0.921,1.015,68.000
14,"(70, 75]",0.460,0.424,73.000
15,"(75, 80]",0.354,0.354,78.000
16,"(80, 85]",3.000,5.479,83.000
