,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,51,44,43,41,1.159,1.049,1.105,0.336
1,"(15, 24]","(0, 5]",Male,43,17,56,38,2.529,1.474,1.716,0.616
2,"(15, 24]","(5, 10]",Female,13,16,14,18,0.812,0.778,1.045,0.542
3,"(15, 24]","(5, 10]",Male,12,6,37,23,2.000,1.609,1.243,0.707
4,"(15, 24]","(10, 15]",Female,114,121,40,44,0.942,0.909,1.036,0.269
5,"(15, 24]","(10, 15]",Male,306,243,540,518,1.259,1.042,1.208,0.141
6,"(15, 24]","(15, 20]",Female,322,372,174,294,0.866,0.592,1.463,0.193
7,"(15, 24]","(15, 20]",Male,1204,1035,3584,4025,1.163,0.890,1.306,0.091
8,"(15, 24]","(20, 25]",Female,127,145,176,267,0.876,0.659,1.329,0.217
9,"(15, 24]","(20, 25]",Male,549,421,2196,2423,1.304,0.906,1.439,0.125
10,"(15, 24]","(25, 30]",Female,40,41,77,120,0.976,0.642,1.520,0.411
11,"(15, 24]","(25, 30]",Male,151,77,617,621,1.961,0.994,1.974,0.314
12,"(15, 24]","(30, 35]",Female,22,17,42,47,1.294,0.894,1.448,0.564
13,"(15, 24]","(30, 35]",Male,73,43,304,214,1.698,1.421,1.195,0.260
14,"(15, 24]","(35, 40]",Female,20,18,16,20,1.111,0.800,1.389,0.652
15,"(15, 24]","(35, 40]",Male,73,35,180,119,2.086,1.513,1.379,0.334
16,"(15, 24]","(40, 45]",Female,31,14,20,21,2.214,0.952,2.325,1.050
17,"(15, 24]","(40, 45]",Male,43,22,170,94,1.955,1.809,1.081,0.320
18,"(15, 24]","(45, 50]",Female,21,14,13,6,1.500,2.167,0.692,0.418
19,"(15, 24]","(45, 50]",Male,26,12,106,61,2.167,1.738,1.247,0.483
20,"(15, 24]","(50, 55]",Female,13,1,14,9,13.000,1.556,8.357,9.388
21,"(15, 24]","(50, 55]",Male,17,9,80,42,1.889,1.905,0.992,0.453
22,"(15, 24]","(55, 60]",Female,9,3,9,1,3.000,9.000,0.333,0.416
23,"(15, 24]","(55, 60]",Male,8,4,48,16,2.000,3.000,0.667,0.453
24,"(15, 24]","(60, 65]",Female,6,1,7,4,6.000,1.750,3.429,4.285
25,"(15, 24]","(60, 65]",Male,8,1,36,15,8.000,2.400,3.333,3.685
26,"(15, 24]","(65, 70]",Female,5,4,5,1,1.250,5.000,0.250,0.321
27,"(15, 24]","(65, 70]",Male,4,1,32,4,4.000,8.000,0.500,0.619
28,"(15, 24]","(70, 75]",Male,8,3,15,5,2.667,3.000,0.889,0.758
29,"(15, 24]","(75, 80]",Male,4,1,9,3,4.000,3.000,1.333,1.737
30,"(24, 34]","(0, 5]",Female,55,67,60,58,0.821,1.034,0.794,0.209
31,"(24, 34]","(0, 5]",Male,67,72,112,98,0.931,1.143,0.814,0.183
32,"(24, 34]","(5, 10]",Female,63,65,54,74,0.969,0.730,1.328,0.341
33,"(24, 34]","(5, 10]",Male,62,46,86,87,1.348,0.989,1.363,0.344
34,"(24, 34]","(10, 15]",Female,48,69,31,48,0.696,0.646,1.077,0.325
35,"(24, 34]","(10, 15]",Male,29,30,93,119,0.967,0.782,1.237,0.370
36,"(24, 34]","(15, 20]",Female,35,57,20,33,0.614,0.606,1.013,0.364
37,"(24, 34]","(15, 20]",Male,200,198,376,563,1.010,0.668,1.512,0.197
38,"(24, 34]","(20, 25]",Female,61,73,56,91,0.836,0.615,1.358,0.337
39,"(24, 34]","(20, 25]",Male,540,524,984,1372,1.031,0.717,1.437,0.129
40,"(24, 34]","(25, 30]",Female,74,78,100,147,0.949,0.680,1.395,0.298
41,"(24, 34]","(25, 30]",Male,530,481,1080,1253,1.102,0.862,1.278,0.116
42,"(24, 34]","(30, 35]",Female,52,49,107,161,1.061,0.665,1.597,0.384
43,"(24, 34]","(30, 35]",Male,332,280,649,692,1.186,0.938,1.264,0.139
44,"(24, 34]","(35, 40]",Female,23,25,62,84,0.920,0.738,1.246,0.421
45,"(24, 34]","(35, 40]",Male,135,102,364,335,1.324,1.087,1.218,0.194
46,"(24, 34]","(40, 45]",Female,25,15,38,38,1.667,1.000,1.667,0.670
47,"(24, 34]","(40, 45]",Male,70,44,217,172,1.591,1.262,1.261,0.282
48,"(24, 34]","(45, 50]",Female,28,14,29,29,2.000,1.000,2.000,0.845
49,"(24, 34]","(45, 50]",Male,39,25,161,113,1.560,1.425,1.095,0.316
50,"(24, 34]","(50, 55]",Female,29,14,10,11,2.071,0.909,2.279,1.247
