,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Male,5,1,3,5,5.000,0.600,8.333,10.979
1,"(15, 24]","(5, 10]",Male,1,3,11,16,0.333,0.688,0.485,0.592
2,"(15, 24]","(10, 15]",Female,2,2,1,2,1.000,0.500,2.000,3.164
3,"(15, 24]","(10, 15]",Male,78,78,74,107,1.000,0.692,1.446,0.327
4,"(15, 24]","(15, 20]",Female,8,11,4,12,0.727,0.333,2.182,1.621
5,"(15, 24]","(15, 20]",Male,597,553,599,800,1.080,0.749,1.442,0.136
6,"(15, 24]","(20, 25]",Female,9,5,6,13,1.800,0.462,3.900,2.911
7,"(15, 24]","(20, 25]",Male,306,274,395,467,1.117,0.846,1.320,0.157
8,"(15, 24]","(25, 30]",Female,2,1,3,7,2.000,0.429,4.667,6.564
9,"(15, 24]","(25, 30]",Male,63,66,86,79,0.955,1.089,0.877,0.211
10,"(15, 24]","(30, 35]",Male,26,22,21,27,1.182,0.778,1.519,0.628
11,"(15, 24]","(35, 40]",Male,15,7,10,10,2.143,1.000,2.143,1.375
12,"(15, 24]","(40, 45]",Male,13,4,5,4,3.250,1.250,2.600,2.295
13,"(15, 24]","(45, 50]",Male,4,1,9,4,4.000,2.250,1.778,2.258
14,"(15, 24]","(50, 55]",Male,4,1,4,2,4.000,2.000,2.000,2.830
15,"(24, 34]","(0, 5]",Male,7,3,11,9,2.333,1.222,1.909,1.575
16,"(24, 34]","(5, 10]",Male,3,5,17,20,0.600,0.850,0.706,0.567
17,"(24, 34]","(10, 15]",Male,11,20,12,20,0.550,0.600,0.917,0.482
18,"(24, 34]","(15, 20]",Male,163,185,68,115,0.881,0.591,1.490,0.288
19,"(24, 34]","(20, 25]",Female,2,3,3,5,0.667,0.600,1.111,1.300
20,"(24, 34]","(20, 25]",Male,388,403,161,213,0.963,0.756,1.274,0.173
21,"(24, 34]","(25, 30]",Female,5,3,2,1,1.667,2.000,0.833,1.189
22,"(24, 34]","(25, 30]",Male,373,344,127,177,1.084,0.718,1.511,0.222
23,"(24, 34]","(30, 35]",Female,2,2,2,6,1.000,0.333,3.000,3.876
24,"(24, 34]","(30, 35]",Male,214,165,69,77,1.297,0.896,1.447,0.292
25,"(24, 34]","(35, 40]",Female,3,1,1,3,3.000,0.333,9.000,14.704
26,"(24, 34]","(35, 40]",Male,80,63,18,26,1.270,0.692,1.834,0.648
27,"(24, 34]","(40, 45]",Male,42,27,10,11,1.556,0.909,1.711,0.863
28,"(24, 34]","(45, 50]",Male,17,13,5,5,1.308,1.000,1.308,0.959
29,"(24, 34]","(50, 55]",Male,6,2,6,7,3.000,0.857,3.500,3.463
30,"(34, 54]","(0, 5]",Male,2,1,4,6,2.000,0.667,3.000,4.156
31,"(34, 54]","(5, 10]",Male,3,7,5,13,0.429,0.385,1.114,0.969
32,"(34, 54]","(10, 15]",Male,9,24,9,36,0.375,0.250,1.500,0.814
33,"(34, 54]","(15, 20]",Male,36,66,17,39,0.545,0.436,1.251,0.451
34,"(34, 54]","(20, 25]",Female,1,2,1,1,0.500,1.000,0.500,0.936
35,"(34, 54]","(20, 25]",Male,85,120,31,43,0.708,0.721,0.983,0.275
36,"(34, 54]","(25, 30]",Male,170,199,16,28,0.854,0.571,1.495,0.499
37,"(34, 54]","(30, 35]",Female,2,1,2,2,2.000,1.000,2.000,3.164
38,"(34, 54]","(30, 35]",Male,229,271,37,44,0.845,0.841,1.005,0.247
39,"(34, 54]","(35, 40]",Female,3,6,3,2,0.500,1.500,0.333,0.385
40,"(34, 54]","(35, 40]",Male,323,340,25,38,0.950,0.658,1.444,0.395
41,"(34, 54]","(40, 45]",Female,4,3,4,3,1.333,1.333,1.000,1.081
42,"(34, 54]","(40, 45]",Male,420,382,20,22,1.099,0.909,1.209,0.388
43,"(34, 54]","(45, 50]",Male,291,262,12,16,1.111,0.750,1.481,0.584
44,"(34, 54]","(50, 55]",Male,156,130,10,6,1.200,1.667,0.720,0.383
45,"(34, 54]","(60, 65]",Male,7,7,2,2,1.000,1.000,1.000,1.135
46,"(54, 100]","(15, 20]",Male,2,7,3,8,0.286,0.375,0.762,0.800
47,"(54, 100]","(25, 30]",Male,3,11,3,5,0.273,0.600,0.455,0.445
48,"(54, 100]","(35, 40]",Male,13,13,1,5,1.000,0.200,5.000,5.823
49,"(54, 100]","(50, 55]",Male,124,128,4,3,0.969,1.333,0.727,0.564
50,"(54, 100]","(55, 60]",Male,99,94,3,1,1.053,3.000,0.351,0.409
51,"(54, 100]","(60, 65]",Male,65,56,1,4,1.161,0.250,4.643,5.265
