,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.330,0.047,19.000
1,"(22, 27]",1.241,0.051,25.000
2,"(27, 32]",1.299,0.062,30.000
3,"(32, 37]",1.276,0.069,35.000
4,"(37, 42]",1.229,0.075,40.000
5,"(42, 47]",1.109,0.075,45.000
6,"(47, 52]",0.979,0.072,50.000
7,"(52, 57]",0.945,0.071,55.000
8,"(57, 62]",0.951,0.072,60.000
9,"(62, 67]",0.812,0.063,65.000
10,"(67, 72]",0.891,0.071,70.000
11,"(72, 77]",0.839,0.071,75.000
12,"(77, 82]",0.893,0.087,80.000
13,"(82, 87]",1.057,0.150,85.000
14,"(87, 92]",0.737,0.214,90.000
15,"(92, 97]",1.152,0.952,95.000
