,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,79,88,92,93,0.898,0.989,0.907,0.199
1,"(15, 24]","(0, 5]",Male,60,46,69,60,1.304,1.150,1.134,0.304
2,"(15, 24]","(5, 10]",Female,29,46,26,38,0.630,0.684,0.921,0.324
3,"(15, 24]","(5, 10]",Male,28,35,32,30,0.800,1.067,0.750,0.272
4,"(15, 24]","(10, 15]",Female,111,168,58,99,0.661,0.586,1.128,0.239
5,"(15, 24]","(10, 15]",Male,256,350,384,501,0.731,0.766,0.954,0.112
6,"(15, 24]","(15, 20]",Female,277,393,174,347,0.705,0.501,1.406,0.185
7,"(15, 24]","(15, 20]",Male,629,736,1738,2429,0.855,0.716,1.194,0.096
8,"(15, 24]","(20, 25]",Female,74,103,87,134,0.718,0.649,1.107,0.234
9,"(15, 24]","(20, 25]",Male,145,190,676,883,0.763,0.766,0.997,0.131
10,"(15, 24]","(25, 30]",Female,19,17,23,41,1.118,0.561,1.992,0.850
11,"(15, 24]","(25, 30]",Male,44,46,172,204,0.957,0.843,1.134,0.272
12,"(15, 24]","(30, 35]",Female,12,12,16,20,1.000,0.800,1.250,0.663
13,"(15, 24]","(30, 35]",Male,23,15,61,69,1.533,0.884,1.734,0.657
14,"(15, 24]","(35, 40]",Female,11,10,6,7,1.100,0.857,1.283,0.910
15,"(15, 24]","(35, 40]",Male,16,17,27,25,0.941,1.080,0.871,0.391
16,"(15, 24]","(40, 45]",Female,15,13,4,2,1.154,2.000,0.577,0.546
17,"(15, 24]","(40, 45]",Male,24,8,33,24,3.000,1.375,2.182,1.071
18,"(15, 24]","(45, 50]",Female,8,4,9,4,2.000,2.250,0.889,0.764
19,"(15, 24]","(45, 50]",Male,10,10,23,11,1.000,2.091,0.478,0.278
20,"(15, 24]","(50, 55]",Female,9,2,1,2,4.500,0.500,9.000,13.084
21,"(15, 24]","(50, 55]",Male,12,4,15,8,3.000,1.875,1.600,1.162
22,"(15, 24]","(55, 60]",Female,4,4,5,1,1.000,5.000,0.200,0.261
23,"(15, 24]","(55, 60]",Male,8,5,12,2,1.600,6.000,0.267,0.255
24,"(15, 24]","(60, 65]",Male,3,1,5,1,3.000,5.000,0.600,0.955
25,"(15, 24]","(65, 70]",Male,6,2,6,3,3.000,2.000,1.500,1.622
26,"(24, 34]","(0, 5]",Female,109,139,93,131,0.784,0.710,1.105,0.213
27,"(24, 34]","(0, 5]",Male,97,101,107,115,0.960,0.930,1.032,0.208
28,"(24, 34]","(5, 10]",Female,106,151,102,163,0.702,0.626,1.122,0.208
29,"(24, 34]","(5, 10]",Male,62,102,104,134,0.608,0.776,0.783,0.167
30,"(24, 34]","(10, 15]",Female,57,101,39,81,0.564,0.481,1.172,0.305
31,"(24, 34]","(10, 15]",Male,41,66,54,90,0.621,0.600,1.035,0.277
32,"(24, 34]","(15, 20]",Female,27,56,10,46,0.482,0.217,2.218,0.939
33,"(24, 34]","(15, 20]",Male,75,134,170,296,0.560,0.574,0.975,0.176
34,"(24, 34]","(20, 25]",Female,29,50,30,68,0.580,0.441,1.315,0.426
35,"(24, 34]","(20, 25]",Male,84,127,237,391,0.661,0.606,1.091,0.186
36,"(24, 34]","(25, 30]",Female,23,54,26,38,0.426,0.684,0.623,0.224
37,"(24, 34]","(25, 30]",Male,78,84,162,253,0.929,0.640,1.450,0.280
38,"(24, 34]","(30, 35]",Female,13,11,22,22,1.182,1.000,1.182,0.604
39,"(24, 34]","(30, 35]",Male,36,37,121,136,0.973,0.890,1.094,0.295
40,"(24, 34]","(35, 40]",Female,10,15,10,18,0.667,0.556,1.200,0.684
41,"(24, 34]","(35, 40]",Male,17,26,45,57,0.654,0.789,0.828,0.309
42,"(24, 34]","(40, 45]",Female,7,9,6,12,0.778,0.500,1.556,1.107
43,"(24, 34]","(40, 45]",Male,9,12,27,31,0.750,0.871,0.861,0.444
44,"(24, 34]","(45, 50]",Female,11,9,4,2,1.222,2.000,0.611,0.597
