,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,9,7,10,12,1.286,0.833,1.543,1.023
1,"(15, 24]","(15, 20]",Female,32,36,15,28,0.889,0.536,1.659,0.672
2,"(15, 24]","(15, 20]",Male,60,64,131,133,0.938,0.985,0.952,0.213
3,"(15, 24]","(20, 25]",Female,10,17,31,33,0.588,0.939,0.626,0.296
4,"(15, 24]","(20, 25]",Male,34,37,96,108,0.919,0.889,1.034,0.290
5,"(15, 24]","(25, 30]",Female,6,10,5,13,0.600,0.385,1.560,1.153
6,"(15, 24]","(25, 30]",Male,10,10,25,16,1.000,1.562,0.640,0.353
7,"(15, 24]","(30, 35]",Male,7,4,6,8,1.750,0.750,2.333,1.934
8,"(15, 24]","(35, 40]",Male,3,1,7,5,3.000,1.400,2.143,2.776
9,"(15, 24]","(50, 55]",Male,4,1,2,1,4.000,2.000,2.000,3.318
10,"(24, 34]","(0, 5]",Male,1,1,2,1,1.000,2.000,0.500,0.936
11,"(24, 34]","(5, 10]",Female,2,4,2,3,0.500,0.667,0.750,0.944
12,"(24, 34]","(15, 20]",Female,2,2,1,6,1.000,0.167,6.000,8.837
13,"(24, 34]","(15, 20]",Male,10,14,12,17,0.714,0.706,1.012,0.569
14,"(24, 34]","(20, 25]",Female,6,14,8,6,0.429,1.333,0.321,0.235
15,"(24, 34]","(20, 25]",Male,34,33,40,55,1.030,0.727,1.417,0.460
16,"(24, 34]","(25, 30]",Female,5,4,11,15,1.250,0.733,1.705,1.331
17,"(24, 34]","(25, 30]",Male,32,29,45,55,1.103,0.818,1.349,0.445
18,"(24, 34]","(30, 35]",Female,3,7,13,9,0.429,1.444,0.297,0.242
19,"(24, 34]","(30, 35]",Male,27,19,22,19,1.421,1.158,1.227,0.535
20,"(24, 34]","(35, 40]",Female,1,3,6,5,0.333,1.200,0.278,0.362
21,"(24, 34]","(35, 40]",Male,6,3,11,12,2.000,0.917,2.182,1.795
22,"(24, 34]","(40, 45]",Male,5,1,7,4,5.000,1.750,2.857,3.609
23,"(24, 34]","(45, 50]",Female,1,3,2,2,0.333,1.000,0.333,0.509
24,"(24, 34]","(45, 50]",Male,1,1,5,3,1.000,1.667,0.600,0.955
25,"(24, 34]","(50, 55]",Male,3,1,3,1,3.000,3.000,1.000,1.634
26,"(34, 54]","(10, 15]",Female,2,4,1,1,0.500,1.000,0.500,0.830
27,"(34, 54]","(10, 15]",Male,5,3,1,5,1.667,0.200,8.333,10.979
28,"(34, 54]","(15, 20]",Female,4,5,1,2,0.800,0.500,1.600,2.236
29,"(34, 54]","(15, 20]",Male,2,5,5,13,0.400,0.385,1.040,1.029
30,"(34, 54]","(20, 25]",Female,1,3,1,3,0.333,0.333,1.000,1.634
31,"(34, 54]","(20, 25]",Male,6,10,6,18,0.600,0.333,1.800,1.262
32,"(34, 54]","(25, 30]",Female,4,5,1,6,0.800,0.167,4.800,6.108
33,"(34, 54]","(25, 30]",Male,7,11,6,11,0.636,0.545,1.167,0.820
34,"(34, 54]","(30, 35]",Female,2,2,1,5,1.000,0.200,5.000,7.420
35,"(34, 54]","(30, 35]",Male,7,11,13,22,0.636,0.591,1.077,0.645
36,"(34, 54]","(35, 40]",Female,2,6,5,6,0.333,0.833,0.400,0.407
37,"(34, 54]","(35, 40]",Male,14,10,14,16,1.400,0.875,1.600,0.888
38,"(34, 54]","(40, 45]",Female,3,3,7,5,1.000,1.400,0.714,0.719
39,"(34, 54]","(40, 45]",Male,7,12,19,16,0.583,1.188,0.491,0.288
40,"(34, 54]","(45, 50]",Female,2,3,11,8,0.667,1.375,0.485,0.497
41,"(34, 54]","(45, 50]",Male,12,11,12,14,1.091,0.857,1.273,0.733
42,"(34, 54]","(50, 55]",Female,3,2,6,6,1.500,1.000,1.500,1.622
43,"(34, 54]","(50, 55]",Male,9,11,8,9,0.818,0.889,0.920,0.611
44,"(34, 54]","(55, 60]",Female,1,1,1,1,1.000,1.000,1.000,2.001
45,"(54, 100]","(20, 25]",Male,1,1,1,5,1.000,0.200,5.000,8.948
46,"(54, 100]","(30, 35]",Male,3,2,2,5,1.500,0.400,3.750,4.647
47,"(54, 100]","(40, 45]",Male,2,2,3,4,1.000,0.750,1.333,1.679
48,"(54, 100]","(45, 50]",Male,3,5,2,4,0.600,0.500,1.200,1.361
49,"(54, 100]","(50, 55]",Male,5,8,5,9,0.625,0.556,1.125,0.899
50,"(54, 100]","(55, 60]",Female,2,4,2,4,0.500,0.500,1.000,1.226
51,"(54, 100]","(55, 60]",Male,3,5,7,4,0.600,1.750,0.343,0.330
52,"(54, 100]","(60, 65]",Male,6,6,3,3,1.000,1.000,1.000,1.001
53,"(54, 100]","(65, 70]",Male,9,8,2,2,1.125,1.000,1.125,1.252
54,"(54, 100]","(70, 75]",Male,4,2,1,3,2.000,0.333,6.000,8.665
55,"(54, 100]","(75, 80]",Male,11,7,5,2,1.571,2.500,0.629,0.608
56,"(54, 100]","(80, 85]",Female,4,1,3,3,4.000,1.000,4.000,5.541
57,"(54, 100]","(80, 85]",Male,12,8,2,2,1.500,1.000,1.500,1.651
58,"(54, 100]","(85, 90]",Female,5,2,3,3,2.500,1.000,2.500,2.925
