,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,16,12,29,29,1.333,1.000,1.333,0.622
1,"(15, 24]","(15, 22]",Male,14,9,100,80,1.556,1.250,1.244,0.567
2,"(15, 24]","(22, 27]",Female,5,7,27,29,0.714,0.931,0.767,0.495
3,"(15, 24]","(22, 27]",Male,4,2,30,28,2.000,1.071,1.867,1.692
4,"(15, 24]","(32, 37]",Male,4,1,8,2,4.000,4.000,1.000,1.370
5,"(15, 24]","(42, 47]",Male,2,1,2,1,2.000,2.000,1.000,1.733
6,"(24, 34]","(15, 22]",Male,8,7,9,9,1.143,1.000,1.143,0.802
7,"(24, 34]","(22, 27]",Female,4,1,13,16,4.000,0.812,4.923,5.808
8,"(24, 34]","(22, 27]",Male,13,4,28,26,3.250,1.077,3.018,1.917
9,"(24, 34]","(27, 32]",Female,3,1,19,22,3.000,0.864,3.474,4.160
10,"(24, 34]","(27, 32]",Male,8,7,22,19,1.143,1.158,0.987,0.599
11,"(24, 34]","(32, 37]",Female,1,1,11,14,1.000,0.786,1.273,1.873
12,"(24, 34]","(32, 37]",Male,6,7,13,11,0.857,1.182,0.725,0.502
13,"(24, 34]","(37, 42]",Male,4,1,11,3,4.000,3.667,1.091,1.413
14,"(24, 34]","(47, 52]",Female,1,2,5,1,0.500,5.000,0.100,0.164
15,"(34, 54]","(22, 27]",Male,6,1,7,10,6.000,0.700,8.571,10.185
16,"(34, 54]","(27, 32]",Female,2,3,6,3,0.667,2.000,0.333,0.385
17,"(34, 54]","(27, 32]",Male,2,5,14,14,0.400,1.000,0.400,0.368
18,"(34, 54]","(32, 37]",Female,2,2,3,12,1.000,0.250,4.000,4.765
19,"(34, 54]","(32, 37]",Male,7,9,12,15,0.778,0.800,0.972,0.620
20,"(34, 54]","(37, 42]",Male,6,10,16,10,0.600,1.600,0.375,0.246
21,"(34, 54]","(42, 47]",Female,1,2,17,13,0.500,1.308,0.382,0.489
22,"(34, 54]","(42, 47]",Male,4,3,11,11,1.333,1.000,1.333,1.168
23,"(34, 54]","(47, 52]",Female,1,2,12,14,0.500,0.857,0.583,0.751
24,"(34, 54]","(47, 52]",Male,2,2,17,12,1.000,1.417,0.706,0.755
25,"(34, 54]","(57, 62]",Female,1,2,5,2,0.500,2.500,0.200,0.297
26,"(34, 54]","(57, 62]",Male,1,1,6,1,1.000,6.000,0.167,0.297
27,"(34, 54]","(72, 77]",Female,1,1,1,1,1.000,1.000,1.000,2.001
28,"(54, 100]","(42, 47]",Male,1,2,5,5,0.500,1.000,0.500,0.690
29,"(54, 100]","(47, 52]",Male,2,1,4,2,2.000,2.000,1.000,1.501
30,"(54, 100]","(52, 57]",Male,3,3,3,4,1.000,0.750,1.333,1.492
31,"(54, 100]","(57, 62]",Female,1,1,4,8,1.000,0.500,2.000,3.084
32,"(54, 100]","(62, 67]",Male,1,2,5,1,0.500,5.000,0.100,0.164
33,"(54, 100]","(67, 72]",Male,1,5,3,5,0.200,0.600,0.333,0.439
34,"(54, 100]","(77, 82]",Male,1,4,2,2,0.250,1.000,0.250,0.375
