,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.000,1.733,8.000
1,"(10, 15]",2.656,1.687,13.000
2,"(15, 20]",1.350,0.368,18.000
3,"(20, 25]",1.766,0.457,23.000
4,"(25, 30]",1.878,0.600,28.000
5,"(30, 35]",1.189,0.459,33.000
6,"(35, 40]",1.276,0.500,38.000
7,"(40, 45]",0.846,0.409,43.000
8,"(45, 50]",1.555,0.726,48.000
9,"(50, 55]",1.200,0.661,53.000
10,"(55, 60]",0.700,0.445,58.000
11,"(60, 65]",2.036,1.355,63.000
12,"(65, 70]",0.727,0.987,68.000
13,"(70, 75]",4.000,6.003,73.000
14,"(75, 80]",0.500,0.736,78.000
