,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,16,17,27,20,0.941,1.350,0.697,0.320
1,"(15, 24]","(15, 22]",Male,15,10,57,48,1.500,1.188,1.263,0.575
2,"(15, 24]","(22, 27]",Female,6,3,19,17,2.000,1.118,1.789,1.402
3,"(15, 24]","(22, 27]",Male,5,4,27,17,1.250,1.588,0.787,0.583
4,"(24, 34]","(15, 22]",Male,2,2,7,9,1.000,0.778,1.286,1.441
5,"(24, 34]","(22, 27]",Female,5,3,12,10,1.667,1.200,1.389,1.178
6,"(24, 34]","(22, 27]",Male,3,5,17,17,0.600,1.000,0.600,0.485
7,"(24, 34]","(27, 32]",Female,2,1,9,13,2.000,0.692,2.889,3.756
8,"(24, 34]","(27, 32]",Male,3,2,14,14,1.500,1.000,1.500,1.484
9,"(24, 34]","(32, 37]",Female,4,2,11,11,2.000,1.000,2.000,1.933
10,"(24, 34]","(32, 37]",Male,2,1,4,5,2.000,0.800,2.500,3.493
11,"(34, 54]","(22, 27]",Male,1,1,7,12,1.000,0.583,1.714,2.559
12,"(34, 54]","(27, 32]",Male,4,2,6,8,2.000,0.750,2.667,2.725
13,"(34, 54]","(32, 37]",Female,1,1,3,6,1.000,0.500,2.000,3.164
14,"(34, 54]","(32, 37]",Male,4,5,2,4,0.800,0.500,1.600,1.755
15,"(34, 54]","(37, 42]",Female,1,2,3,6,0.500,0.500,1.000,1.415
16,"(34, 54]","(37, 42]",Male,5,6,5,5,0.833,1.000,0.833,0.731
17,"(34, 54]","(42, 47]",Female,1,2,3,4,0.500,0.750,0.667,0.963
18,"(34, 54]","(47, 52]",Male,3,3,7,2,1.000,3.500,0.286,0.327
19,"(34, 54]","(52, 57]",Female,1,1,11,4,1.000,2.750,0.364,0.557
20,"(34, 54]","(52, 57]",Male,2,1,1,2,2.000,0.500,4.000,6.931
21,"(34, 54]","(57, 62]",Male,1,2,3,1,0.500,3.000,0.167,0.281
22,"(54, 100]","(52, 57]",Female,1,2,1,1,0.500,1.000,0.500,0.936
23,"(54, 100]","(57, 62]",Female,1,2,1,2,0.500,0.500,1.000,1.733
24,"(54, 100]","(57, 62]",Male,2,2,1,4,1.000,0.250,4.000,6.003
25,"(54, 100]","(62, 67]",Female,1,1,3,2,1.000,1.500,0.667,1.123
26,"(54, 100]","(62, 67]",Male,1,1,3,2,1.000,1.500,0.667,1.123
27,"(54, 100]","(72, 77]",Male,1,1,1,1,1.000,1.000,1.000,2.001
28,"(54, 100]","(77, 82]",Female,2,1,1,1,2.000,1.000,2.000,3.743
