,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.5615267220465405,0.7448788705106961
4,22.5,1.4051488876222575,0.6573196349436852
5,27.5,0.7766263572372761,0.43331900162409137
6,32.5,0.8546662108390439,0.5469799813170527
7,37.5,1.0,inf
8,42.5,0.8878409724179431,0.8602970309264468
9,47.5,1.1404031169559241,0.836764851445165
10,52.5,1.1409317140897548,0.8617453448607466
11,57.5,1.0,inf
12,62.5,1.0,inf
13,67.5,1.0,inf
14,72.5,1.0,inf
15,77.5,1.0,inf
16,82.5,1.0,inf
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
