,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.168,0.146,19.000
1,"(22, 27]",1.315,0.236,25.000
2,"(27, 32]",1.452,0.356,30.000
3,"(32, 37]",1.629,0.438,35.000
4,"(37, 42]",1.693,0.513,40.000
5,"(42, 47]",0.823,0.350,45.000
6,"(47, 52]",1.066,0.542,50.000
7,"(52, 57]",1.206,0.499,55.000
8,"(57, 62]",0.906,0.387,60.000
9,"(62, 67]",0.998,0.332,65.000
10,"(67, 72]",0.923,0.380,70.000
11,"(72, 77]",0.699,0.252,75.000
12,"(77, 82]",1.011,0.463,80.000
13,"(82, 87]",0.518,0.386,85.000
14,"(87, 92]",2.000,3.743,90.000
