,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,5,5,8,0.400,0.625,0.640,0.649
1,"(15, 24]","(0, 5]",Male,2,4,2,2,0.500,1.000,0.500,0.662
2,"(15, 24]","(5, 10]",Female,2,1,2,1,2.000,2.000,1.000,1.733
3,"(15, 24]","(10, 15]",Female,10,6,2,3,1.667,0.667,2.500,2.625
4,"(15, 24]","(10, 15]",Male,15,12,14,12,1.250,1.167,1.071,0.594
5,"(15, 24]","(15, 20]",Female,11,9,10,15,1.222,0.667,1.833,1.117
6,"(15, 24]","(15, 20]",Male,19,24,50,93,0.792,0.538,1.472,0.526
7,"(15, 24]","(20, 25]",Female,4,3,1,5,1.333,0.200,6.667,8.909
8,"(15, 24]","(20, 25]",Male,9,8,28,43,1.125,0.651,1.728,0.942
9,"(15, 24]","(25, 30]",Male,5,2,4,6,2.500,0.667,3.750,3.967
10,"(15, 24]","(35, 40]",Male,2,1,2,2,2.000,1.000,2.000,3.164
11,"(24, 34]","(0, 5]",Female,5,6,4,1,0.833,4.000,0.208,0.265
12,"(24, 34]","(0, 5]",Male,1,3,3,3,0.333,1.000,0.333,0.472
13,"(24, 34]","(10, 15]",Male,3,7,2,3,0.429,0.667,0.643,0.736
14,"(24, 34]","(15, 20]",Male,2,2,4,8,1.000,0.500,2.000,2.347
15,"(24, 34]","(20, 25]",Female,2,1,1,3,2.000,0.333,6.000,10.104
16,"(24, 34]","(20, 25]",Male,2,3,10,18,0.667,0.556,1.200,1.195
17,"(24, 34]","(25, 30]",Male,7,5,7,9,1.400,0.778,1.800,1.393
18,"(24, 34]","(35, 40]",Male,1,2,2,4,0.500,0.500,1.000,1.501
19,"(34, 54]","(0, 5]",Female,2,3,2,3,0.667,0.667,1.000,1.292
20,"(34, 54]","(0, 5]",Male,1,2,2,2,0.500,1.000,0.500,0.791
21,"(34, 54]","(5, 10]",Female,3,4,3,4,0.750,0.750,1.000,1.081
22,"(34, 54]","(5, 10]",Male,2,5,3,4,0.400,0.750,0.533,0.605
23,"(34, 54]","(10, 15]",Female,2,4,2,6,0.500,0.333,1.500,1.787
24,"(34, 54]","(10, 15]",Male,1,9,2,8,0.111,0.250,0.444,0.586
25,"(34, 54]","(15, 20]",Male,1,3,4,5,0.333,0.800,0.417,0.557
26,"(34, 54]","(20, 25]",Male,2,3,1,6,0.667,0.167,4.000,5.660
27,"(34, 54]","(25, 30]",Male,2,3,3,5,0.667,0.600,1.111,1.300
28,"(34, 54]","(35, 40]",Male,3,3,2,2,1.000,1.000,1.000,1.292
29,"(34, 54]","(40, 45]",Female,1,1,3,2,1.000,1.500,0.667,1.123
30,"(34, 54]","(40, 45]",Male,2,2,4,3,1.000,1.333,0.750,0.944
31,"(54, 100]","(60, 65]",Female,1,2,1,1,0.500,1.000,0.500,0.936
32,"(54, 100]","(80, 85]",Male,1,2,1,1,0.500,1.000,0.500,0.936
