,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,3,2,3,0.667,0.667,1.000,1.292
1,"(15, 24]","(10, 15]",Female,3,10,3,3,0.300,1.000,0.300,0.315
2,"(15, 24]","(10, 15]",Male,6,18,11,14,0.333,0.786,0.424,0.264
3,"(15, 24]","(15, 20]",Female,8,11,13,22,0.727,0.591,1.231,0.718
4,"(15, 24]","(15, 20]",Male,20,31,50,79,0.645,0.633,1.019,0.349
5,"(15, 24]","(20, 25]",Female,5,6,2,1,0.833,2.000,0.417,0.570
6,"(15, 24]","(20, 25]",Male,2,7,21,28,0.286,0.750,0.381,0.325
7,"(24, 34]","(0, 5]",Female,4,5,2,2,0.800,1.000,0.800,0.964
8,"(24, 34]","(0, 5]",Male,2,5,4,1,0.400,4.000,0.100,0.140
9,"(24, 34]","(5, 10]",Female,3,1,5,4,3.000,1.250,2.400,3.207
10,"(24, 34]","(5, 10]",Male,1,1,1,4,1.000,0.250,4.000,7.214
11,"(24, 34]","(10, 15]",Female,1,2,1,3,0.500,0.333,1.500,2.526
12,"(24, 34]","(15, 20]",Male,4,5,1,5,0.800,0.200,4.000,5.142
13,"(24, 34]","(20, 25]",Male,2,3,4,9,0.667,0.444,1.500,1.641
14,"(24, 34]","(25, 30]",Male,2,3,6,12,0.667,0.500,1.333,1.389
15,"(24, 34]","(30, 35]",Female,1,1,3,1,1.000,3.000,0.333,0.609
16,"(24, 34]","(45, 50]",Male,1,1,1,1,1.000,1.000,1.000,2.001
17,"(34, 54]","(0, 5]",Female,1,1,1,3,1.000,0.333,3.000,5.479
18,"(34, 54]","(10, 15]",Female,1,2,1,3,0.500,0.333,1.500,2.526
19,"(34, 54]","(20, 25]",Female,2,1,3,2,2.000,1.500,1.333,2.038
20,"(34, 54]","(40, 45]",Male,1,1,2,2,1.000,1.000,1.000,1.733
