,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,59,83,56,75,0.711,0.747,0.952,0.238
1,"(15, 24]","(15, 22]",Male,38,37,114,145,1.027,0.786,1.306,0.349
2,"(15, 24]","(22, 27]",Female,11,10,20,33,1.100,0.606,1.815,0.950
3,"(15, 24]","(22, 27]",Male,4,6,27,38,0.667,0.711,0.938,0.652
4,"(15, 24]","(27, 32]",Female,1,3,15,13,0.333,1.154,0.289,0.351
5,"(15, 24]","(27, 32]",Male,2,1,11,10,2.000,1.100,1.818,2.366
6,"(15, 24]","(32, 37]",Female,2,3,1,1,0.667,1.000,0.667,1.123
7,"(15, 24]","(32, 37]",Male,2,1,8,2,2.000,4.000,0.500,0.729
8,"(15, 24]","(37, 42]",Female,6,1,2,2,6.000,1.000,6.000,8.837
9,"(15, 24]","(37, 42]",Male,8,3,1,3,2.667,0.333,8.000,10.716
10,"(15, 24]","(42, 47]",Male,4,3,1,1,1.333,1.000,1.333,2.144
11,"(15, 24]","(47, 52]",Female,3,1,6,4,3.000,1.500,2.000,2.648
12,"(24, 34]","(15, 22]",Female,5,5,2,5,1.000,0.400,2.500,2.625
13,"(24, 34]","(15, 22]",Male,9,7,10,13,1.286,0.769,1.671,1.100
14,"(24, 34]","(22, 27]",Female,9,10,7,18,0.900,0.389,2.314,1.486
15,"(24, 34]","(22, 27]",Male,6,5,22,26,1.200,0.846,1.418,0.955
16,"(24, 34]","(27, 32]",Female,1,2,21,32,0.500,0.656,0.762,0.958
17,"(24, 34]","(27, 32]",Male,10,5,14,16,2.000,0.875,2.286,1.510
18,"(24, 34]","(32, 37]",Female,2,1,11,11,2.000,1.000,2.000,2.596
19,"(24, 34]","(32, 37]",Male,1,1,2,6,1.000,0.333,3.000,4.901
20,"(24, 34]","(37, 42]",Female,3,3,6,7,1.000,0.857,1.167,1.154
21,"(24, 34]","(37, 42]",Male,2,2,5,2,1.000,2.500,0.400,0.522
22,"(24, 34]","(42, 47]",Female,4,1,4,3,4.000,1.333,3.000,4.065
23,"(24, 34]","(47, 52]",Female,2,2,3,1,1.000,3.000,0.333,0.509
24,"(34, 54]","(15, 22]",Female,8,19,4,13,0.421,0.308,1.368,0.974
25,"(34, 54]","(15, 22]",Male,1,5,2,8,0.200,0.250,0.800,1.081
26,"(34, 54]","(22, 27]",Female,3,8,2,10,0.375,0.200,1.875,1.931
27,"(34, 54]","(22, 27]",Male,3,4,2,4,0.750,0.500,1.500,1.734
28,"(34, 54]","(27, 32]",Male,4,3,4,6,1.333,0.667,2.000,2.002
29,"(34, 54]","(32, 37]",Female,7,5,12,12,1.400,1.000,1.400,1.002
30,"(34, 54]","(32, 37]",Male,8,7,9,13,1.143,0.692,1.651,1.118
31,"(34, 54]","(37, 42]",Female,6,6,22,20,1.000,1.100,0.909,0.597
32,"(34, 54]","(37, 42]",Male,9,8,5,14,1.125,0.357,3.150,2.250
33,"(34, 54]","(42, 47]",Female,4,1,25,23,4.000,1.087,3.680,4.254
34,"(34, 54]","(42, 47]",Male,6,6,5,8,1.000,0.625,1.600,1.301
35,"(34, 54]","(47, 52]",Female,6,2,20,26,3.000,0.769,3.900,3.395
36,"(34, 54]","(47, 52]",Male,7,2,6,6,3.500,1.000,3.500,3.463
37,"(34, 54]","(52, 57]",Female,9,2,19,23,4.500,0.826,5.447,4.589
38,"(34, 54]","(57, 62]",Female,5,5,11,9,1.000,1.222,0.818,0.636
39,"(34, 54]","(57, 62]",Male,5,2,3,1,2.500,3.000,0.833,1.189
40,"(34, 54]","(62, 67]",Female,5,5,2,4,1.000,0.500,2.000,2.147
41,"(34, 54]","(67, 72]",Female,5,1,2,2,5.000,1.000,5.000,7.420
42,"(34, 54]","(72, 77]",Female,3,2,3,1,1.500,3.000,0.500,0.736
43,"(54, 100]","(32, 37]",Female,1,12,1,3,0.083,0.333,0.250,0.389
44,"(54, 100]","(37, 42]",Female,2,8,1,4,0.250,0.250,1.000,1.370
45,"(54, 100]","(37, 42]",Male,2,8,2,3,0.250,0.667,0.375,0.453
46,"(54, 100]","(42, 47]",Female,9,21,3,6,0.429,0.500,0.857,0.697
47,"(54, 100]","(47, 52]",Female,6,18,1,6,0.333,0.167,2.000,2.359
48,"(54, 100]","(52, 57]",Female,6,20,15,20,0.300,0.750,0.400,0.232
49,"(54, 100]","(52, 57]",Male,3,5,4,5,0.600,0.800,0.750,0.745
50,"(54, 100]","(57, 62]",Female,9,17,23,42,0.529,0.548,0.967,0.473
51,"(54, 100]","(57, 62]",Male,7,15,4,8,0.467,0.500,0.933,0.715
52,"(54, 100]","(62, 67]",Female,6,26,35,53,0.231,0.660,0.349,0.176
53,"(54, 100]","(67, 72]",Female,8,21,57,52,0.381,1.096,0.348,0.160
54,"(54, 100]","(67, 72]",Male,15,31,8,6,0.484,1.333,0.363,0.228
55,"(54, 100]","(72, 77]",Female,21,29,60,85,0.724,0.706,1.026,0.345
56,"(54, 100]","(72, 77]",Male,18,35,5,3,0.514,1.667,0.309,0.243
57,"(54, 100]","(77, 82]",Female,15,27,70,87,0.556,0.805,0.690,0.251
58,"(54, 100]","(77, 82]",Male,14,25,8,6,0.560,1.333,0.420,0.267
59,"(54, 100]","(82, 87]",Female,14,11,54,62,1.273,0.871,1.461,0.653
60,"(54, 100]","(82, 87]",Male,7,12,2,3,0.583,0.667,0.875,0.902
61,"(54, 100]","(87, 92]",Female,4,2,10,12,2.000,0.833,2.400,2.322
