,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Male,1,1,1,2,1.000,0.500,2.000,3.743
1,"(15, 24]","(5, 10]",Female,3,1,1,1,3.000,1.000,3.000,5.479
2,"(15, 24]","(10, 15]",Female,5,3,1,2,1.667,0.500,3.333,4.756
3,"(15, 24]","(10, 15]",Male,4,3,3,4,1.333,0.750,1.778,1.922
4,"(15, 24]","(15, 20]",Female,9,5,5,6,1.800,0.833,2.160,1.782
5,"(15, 24]","(15, 20]",Male,9,20,36,50,0.450,0.720,0.625,0.287
6,"(15, 24]","(20, 25]",Female,3,1,4,3,3.000,1.333,2.250,3.117
7,"(15, 24]","(20, 25]",Male,3,3,17,19,1.000,0.895,1.118,0.987
8,"(15, 24]","(25, 30]",Male,1,1,4,1,1.000,4.000,0.250,0.451
9,"(24, 34]","(5, 10]",Female,1,4,1,2,0.250,0.500,0.500,0.830
10,"(24, 34]","(15, 20]",Male,2,2,4,6,1.000,0.667,1.500,1.787
11,"(24, 34]","(20, 25]",Male,2,2,7,7,1.000,1.000,1.000,1.135
12,"(34, 54]","(5, 10]",Male,1,3,1,3,0.333,0.333,1.000,1.634
13,"(34, 54]","(15, 20]",Female,1,1,1,2,1.000,0.500,2.000,3.743
14,"(34, 54]","(20, 25]",Male,1,1,2,2,1.000,1.000,1.000,1.733
15,"(34, 54]","(35, 40]",Male,1,3,1,1,0.333,1.000,0.333,0.609
16,"(54, 100]","(65, 70]",Male,1,1,1,1,1.000,1.000,1.000,2.001
