,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.824,1.648,3.000
1,"(5, 10]",0.667,0.794,8.000
2,"(10, 15]",1.254,0.491,13.000
3,"(15, 20]",1.391,0.254,18.000
4,"(20, 25]",1.201,0.259,23.000
5,"(25, 30]",1.040,0.330,28.000
6,"(30, 35]",0.923,0.382,33.000
7,"(35, 40]",0.884,0.394,38.000
8,"(40, 45]",1.113,0.641,43.000
9,"(45, 50]",2.336,1.616,48.000
10,"(50, 55]",0.859,0.654,53.000
11,"(55, 60]",0.640,0.446,58.000
12,"(60, 65]",0.621,0.613,63.000
13,"(70, 75]",0.565,0.585,73.000
14,"(80, 85]",1.800,2.738,83.000
