,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.084,0.194,19.000
1,"(22, 27]",1.067,0.300,25.000
2,"(27, 32]",0.808,0.375,30.000
3,"(32, 37]",1.318,0.599,35.000
4,"(37, 42]",0.697,0.342,40.000
5,"(42, 47]",1.554,0.783,45.000
6,"(47, 52]",1.462,0.780,50.000
7,"(52, 57]",0.265,0.174,55.000
8,"(57, 62]",1.011,0.445,60.000
9,"(62, 67]",0.760,0.296,65.000
10,"(67, 72]",0.843,0.326,70.000
11,"(72, 77]",0.592,0.220,75.000
12,"(77, 82]",0.558,0.252,80.000
13,"(82, 87]",0.796,0.386,85.000
14,"(87, 92]",0.562,0.427,90.000
15,"(92, 97]",1.250,1.958,95.000
