,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,4,5,5,8,0.800,0.625,1.280,1.129
1,"(15, 24]","(15, 20]",Female,8,7,5,5,1.143,1.000,1.143,0.936
2,"(15, 24]","(15, 20]",Male,10,9,34,45,1.111,0.756,1.471,0.757
3,"(15, 24]","(20, 25]",Male,4,4,19,19,1.000,1.000,1.000,0.780
4,"(24, 34]","(5, 10]",Female,2,2,2,2,1.000,1.000,1.000,1.415
5,"(24, 34]","(10, 15]",Female,1,1,1,1,1.000,1.000,1.000,2.001
6,"(24, 34]","(10, 15]",Male,1,2,1,2,0.500,0.500,1.000,1.733
7,"(24, 34]","(15, 20]",Male,2,2,5,4,1.000,1.250,0.800,0.964
8,"(24, 34]","(20, 25]",Male,1,2,5,5,0.500,1.000,0.500,0.690
9,"(24, 34]","(25, 30]",Male,3,1,3,3,3.000,1.000,3.000,4.245
10,"(34, 54]","(10, 15]",Male,1,3,1,2,0.333,0.500,0.667,1.123
11,"(34, 54]","(30, 35]",Male,1,1,3,3,1.000,1.000,1.000,1.634
