,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,36,43,54,72,0.837,0.750,1.116,0.327
1,"(15, 24]","(15, 22]",Male,36,14,156,140,2.571,1.114,2.308,0.783
2,"(15, 24]","(22, 27]",Female,5,5,20,23,1.000,0.870,1.150,0.810
3,"(15, 24]","(22, 27]",Male,6,4,36,32,1.500,1.125,1.333,0.922
4,"(15, 24]","(27, 32]",Female,1,2,9,12,0.500,0.750,0.667,0.868
5,"(15, 24]","(27, 32]",Male,1,1,12,9,1.000,1.333,0.750,1.112
6,"(15, 24]","(37, 42]",Female,1,1,2,3,1.000,0.667,1.500,2.526
7,"(15, 24]","(37, 42]",Male,1,1,4,2,1.000,2.000,0.500,0.830
8,"(15, 24]","(42, 47]",Female,1,1,2,2,1.000,1.000,1.000,1.733
9,"(24, 34]","(15, 22]",Female,9,5,1,3,1.800,0.333,5.400,6.930
10,"(24, 34]","(15, 22]",Male,5,7,14,11,0.714,1.273,0.561,0.400
11,"(24, 34]","(22, 27]",Female,8,6,11,15,1.333,0.733,1.818,1.222
12,"(24, 34]","(22, 27]",Male,10,10,30,32,1.000,0.938,1.067,0.551
13,"(24, 34]","(27, 32]",Female,5,11,10,14,0.455,0.714,0.636,0.434
14,"(24, 34]","(27, 32]",Male,6,10,16,14,0.600,1.143,0.525,0.333
15,"(24, 34]","(32, 37]",Female,1,1,12,11,1.000,1.091,0.917,1.352
16,"(24, 34]","(37, 42]",Male,1,3,3,2,0.333,1.500,0.222,0.327
17,"(24, 34]","(42, 47]",Female,1,1,5,2,1.000,2.500,0.400,0.658
18,"(34, 54]","(22, 27]",Female,4,4,3,1,1.000,3.000,0.333,0.452
19,"(34, 54]","(27, 32]",Female,1,3,4,7,0.333,0.571,0.583,0.767
20,"(34, 54]","(32, 37]",Female,1,1,6,8,1.000,0.750,1.333,2.020
21,"(34, 54]","(37, 42]",Male,5,4,10,11,1.250,0.909,1.375,1.103
22,"(34, 54]","(42, 47]",Female,2,5,5,4,0.400,1.250,0.320,0.344
23,"(34, 54]","(42, 47]",Male,1,3,5,7,0.333,0.714,0.467,0.605
24,"(34, 54]","(47, 52]",Male,1,2,4,2,0.500,2.000,0.250,0.375
25,"(34, 54]","(52, 57]",Male,1,2,2,2,0.500,1.000,0.500,0.791
26,"(54, 100]","(52, 57]",Female,1,2,1,2,0.500,0.500,1.000,1.733
27,"(54, 100]","(57, 62]",Female,2,2,6,8,1.000,0.750,1.333,1.517
28,"(54, 100]","(62, 67]",Female,1,2,2,4,0.500,0.500,1.000,1.501
29,"(54, 100]","(67, 72]",Female,2,2,1,5,1.000,0.200,5.000,7.420
30,"(54, 100]","(77, 82]",Female,2,2,4,3,1.000,1.333,0.750,0.944
31,"(54, 100]","(77, 82]",Male,1,1,2,1,1.000,2.000,0.500,0.936
