,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,36,36,51,44,1.000,1.159,0.863,0.273
1,"(15, 24]","(15, 22]",Male,28,25,98,89,1.120,1.101,1.017,0.321
2,"(15, 24]","(22, 27]",Female,6,3,20,21,2.000,0.952,2.100,1.627
3,"(15, 24]","(22, 27]",Male,2,5,23,18,0.400,1.278,0.313,0.280
4,"(15, 24]","(27, 32]",Male,2,1,8,1,2.000,8.000,0.250,0.405
5,"(15, 24]","(32, 37]",Female,1,1,1,1,1.000,1.000,1.000,2.001
6,"(15, 24]","(37, 42]",Female,3,2,2,2,1.500,1.000,1.500,2.032
7,"(15, 24]","(37, 42]",Male,5,2,2,1,2.500,2.000,1.250,1.855
8,"(15, 24]","(42, 47]",Male,4,1,2,1,4.000,2.000,2.000,3.318
9,"(24, 34]","(15, 22]",Male,4,6,7,9,0.667,0.778,0.857,0.703
10,"(24, 34]","(22, 27]",Female,7,2,18,10,3.500,1.800,1.944,1.740
11,"(24, 34]","(22, 27]",Male,12,15,13,19,0.800,0.684,1.169,0.621
12,"(24, 34]","(27, 32]",Female,2,5,12,17,0.400,0.706,0.567,0.521
13,"(24, 34]","(27, 32]",Male,9,6,4,5,1.500,0.800,1.875,1.602
14,"(24, 34]","(32, 37]",Female,1,2,14,9,0.500,1.556,0.321,0.417
15,"(24, 34]","(32, 37]",Male,2,2,8,3,1.000,2.667,0.375,0.453
16,"(24, 34]","(37, 42]",Female,1,1,6,1,1.000,6.000,0.167,0.297
17,"(24, 34]","(37, 42]",Male,1,1,4,2,1.000,2.000,0.500,0.830
18,"(24, 34]","(42, 47]",Female,5,2,5,4,2.500,1.250,2.000,2.147
19,"(34, 54]","(15, 22]",Female,4,8,4,2,0.500,2.000,0.250,0.265
20,"(34, 54]","(15, 22]",Male,2,1,1,4,2.000,0.250,8.000,13.273
21,"(34, 54]","(27, 32]",Female,2,4,4,3,0.500,1.333,0.375,0.433
22,"(34, 54]","(27, 32]",Male,2,2,3,4,1.000,0.750,1.333,1.679
23,"(34, 54]","(32, 37]",Female,3,4,1,8,0.750,0.125,6.000,7.848
24,"(34, 54]","(32, 37]",Male,8,4,5,4,2.000,1.250,1.600,1.455
25,"(34, 54]","(37, 42]",Female,2,2,11,14,1.000,0.786,1.273,1.374
26,"(34, 54]","(37, 42]",Male,5,3,5,3,1.667,1.667,1.000,1.034
27,"(34, 54]","(42, 47]",Female,6,4,11,13,1.500,0.846,1.773,1.358
28,"(34, 54]","(42, 47]",Male,4,5,2,3,0.800,0.667,1.200,1.361
29,"(34, 54]","(47, 52]",Female,3,4,17,17,0.750,1.000,0.750,0.629
30,"(34, 54]","(47, 52]",Male,5,6,3,2,0.833,1.500,0.556,0.609
31,"(34, 54]","(52, 57]",Female,3,5,14,9,0.600,1.556,0.386,0.327
32,"(34, 54]","(52, 57]",Male,4,6,2,1,0.667,2.000,0.333,0.462
33,"(34, 54]","(57, 62]",Female,1,1,10,10,1.000,1.000,1.000,1.484
34,"(34, 54]","(57, 62]",Male,3,1,1,2,3.000,0.500,6.000,10.104
35,"(34, 54]","(62, 67]",Female,1,1,4,2,1.000,2.000,0.500,0.830
36,"(34, 54]","(67, 72]",Female,3,3,1,1,1.000,1.000,1.000,1.634
37,"(34, 54]","(67, 72]",Male,1,2,3,1,0.500,3.000,0.167,0.281
38,"(54, 100]","(22, 27]",Female,1,5,1,3,0.200,0.333,0.600,0.955
39,"(54, 100]","(37, 42]",Female,3,11,1,6,0.273,0.167,1.636,2.066
40,"(54, 100]","(37, 42]",Male,1,2,2,2,0.500,1.000,0.500,0.791
41,"(54, 100]","(42, 47]",Male,2,2,2,5,1.000,0.400,2.500,3.262
42,"(54, 100]","(47, 52]",Female,3,12,2,4,0.250,0.500,0.500,0.541
43,"(54, 100]","(47, 52]",Male,3,4,1,3,0.750,0.333,2.250,3.117
44,"(54, 100]","(52, 57]",Female,6,20,7,10,0.300,0.700,0.429,0.291
45,"(54, 100]","(52, 57]",Male,5,6,4,6,0.833,0.667,1.250,1.108
46,"(54, 100]","(57, 62]",Female,6,14,14,28,0.429,0.500,0.857,0.505
47,"(54, 100]","(57, 62]",Male,2,12,2,3,0.167,0.667,0.250,0.298
48,"(54, 100]","(62, 67]",Female,8,12,24,27,0.667,0.889,0.750,0.404
49,"(54, 100]","(62, 67]",Male,11,18,1,6,0.611,0.167,3.667,4.206
50,"(54, 100]","(67, 72]",Female,11,13,23,31,0.846,0.742,1.140,0.566
51,"(54, 100]","(67, 72]",Male,8,21,2,2,0.381,1.000,0.381,0.413
52,"(54, 100]","(72, 77]",Female,5,15,39,42,0.333,0.929,0.359,0.203
53,"(54, 100]","(72, 77]",Male,10,14,4,3,0.714,1.333,0.536,0.466
54,"(54, 100]","(77, 82]",Female,4,10,45,52,0.400,0.865,0.462,0.290
55,"(54, 100]","(77, 82]",Male,17,26,6,3,0.654,2.000,0.327,0.253
56,"(54, 100]","(82, 87]",Female,8,6,42,52,1.333,0.808,1.651,0.959
57,"(54, 100]","(82, 87]",Male,5,10,3,2,0.500,1.500,0.333,0.355
58,"(54, 100]","(87, 92]",Female,2,3,11,23,0.667,0.478,1.394,1.373
