,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.363,1.303,8.000
1,"(10, 15]",2.225,1.050,13.000
2,"(15, 20]",0.931,0.214,18.000
3,"(20, 25]",1.126,0.284,23.000
4,"(25, 30]",0.635,0.225,28.000
5,"(30, 35]",1.637,0.815,33.000
6,"(35, 40]",0.950,0.537,38.000
7,"(40, 45]",1.562,0.866,43.000
8,"(45, 50]",0.615,0.366,48.000
9,"(50, 55]",1.082,0.728,53.000
10,"(55, 60]",1.150,0.769,58.000
11,"(60, 65]",0.966,0.495,63.000
12,"(65, 70]",1.171,0.732,68.000
13,"(70, 75]",0.722,0.383,73.000
14,"(75, 80]",0.905,0.397,78.000
15,"(80, 85]",1.092,0.475,83.000
16,"(85, 90]",1.924,1.023,88.000
